Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
DIY & Tools,20,2.47,B0001P0DLU,2024-10-26,,7.99,6.33,6.33,11.640211640211643,2,fbm,14377,18,898,3.8333333333333335,2.5300000000000007,103,2,7.99,Loctite 194088 AA 319 Rear View Mirror/Phone/Radio Aerial Bonder Adhesive Glue,100+ bought in past month,3.6,921,8,10,921,N/A,100.0
DIY & Tools,20,2.47,B0001P0DLU,2024-10-27,,7.99,6.33,6.33,11.640211640211643,2,fbm,23654,,,3.8333333333333335,2.5300000000000007,101,1,6.0,Loctite 194088 AA 319 Rear View Mirror/Phone/Radio Aerial Bonder Adhesive Glue,100+ bought in past month,3.6,921,8,10,921,N/A,100.0
DIY & Tools,20,2.47,B0001P0DLU,2024-10-28,,7.99,6.33,6.33,11.640211640211643,2,fbm,23213,18,898,3.8333333333333335,2.5300000000000007,101,2,7.99,Loctite 194088 AA 319 Rear View Mirror/Phone/Radio Aerial Bonder Adhesive Glue,100+ bought in past month,3.6,921,8,10,921,N/A,100.0
DIY & Tools,20,2.47,B0001P0DLU,2024-10-29,,7.95,6.33,6.33,11.640211640211643,2,fbm,20918,19,898,3.8333333333333335,2.5300000000000007,100,5,7.674000000000001,Loctite 194088 AA 319 Rear View Mirror/Phone/Radio Aerial Bonder Adhesive Glue,100+ bought in past month,3.6,921,8,10,921,N/A,100.0
DIY & Tools,20,2.47,B0001P0DLU,2024-10-30,,7.49,6.33,6.33,11.640211640211643,2,fbm,19480,19,898,3.8333333333333335,2.5300000000000007,95,5,7.49,Loctite 194088 AA 319 Rear View Mirror/Phone/Radio Aerial Bonder Adhesive Glue,100+ bought in past month,3.6,921,8,10,921,N/A,100.0
DIY & Tools,20,2.47,B0001P0DLU,2024-10-31,,7.49,6.33,6.33,11.640211640211643,2,fbm,18898,19,898,3.8333333333333335,2.5300000000000007,90,1,7.49,Loctite 194088 AA 319 Rear View Mirror/Phone/Radio Aerial Bonder Adhesive Glue,100+ bought in past month,3.6,921,8,10,921,N/A,100.0
DIY & Tools,20,2.47,B0001P0DLU,2024-11-01,,7.49,6.33,6.33,11.640211640211643,2,fbm,21105,17,898,3.8333333333333335,2.5300000000000007,89,3,7.489999999999999,Loctite 194088 AA 319 Rear View Mirror/Phone/Radio Aerial Bonder Adhesive Glue,100+ bought in past month,3.6,921,8,10,921,N/A,100.0
DIY & Tools,20,2.47,B0001P0DLU,2024-11-02,,7.49,6.33,6.33,11.640211640211643,2,fbm,23331,17,898,3.8333333333333335,2.5300000000000007,86,0,0.0,Loctite 194088 AA 319 Rear View Mirror/Phone/Radio Aerial Bonder Adhesive Glue,100+ bought in past month,3.6,921,8,10,921,N/A,100.0
DIY & Tools,20,2.47,B0001P0DLU,2024-11-03,,7.49,6.33,6.33,11.640211640211643,2,fbm,23402,19,898,3.8333333333333335,2.5300000000000007,86,3,5.6175,Loctite 194088 AA 319 Rear View Mirror/Phone/Radio Aerial Bonder Adhesive Glue,100+ bought in past month,3.6,921,8,10,921,N/A,100.0
DIY & Tools,20,2.47,B0001P0DLU,2024-11-04,,7.49,6.33,6.33,11.640211640211643,2,fbm,23134,20,899,3.8333333333333335,2.5300000000000007,83,0,0.0,Loctite 194088 AA 319 Rear View Mirror/Phone/Radio Aerial Bonder Adhesive Glue,100+ bought in past month,3.6,921,8,10,921,N/A,100.0
DIY & Tools,20,2.47,B0001P0DLU,2024-11-05,,7.49,6.33,6.33,11.640211640211643,2,fbm,32046,20,899,3.8333333333333335,2.5300000000000007,81,1,2.5,Loctite 194088 AA 319 Rear View Mirror/Phone/Radio Aerial Bonder Adhesive Glue,100+ bought in past month,3.6,921,8,10,921,N/A,100.0
DIY & Tools,20,2.47,B0001P0DLU,2024-11-06,,7.49,6.33,6.33,11.640211640211643,2,fbm,16055,20,899,3.8333333333333335,2.5300000000000007,79,0,0.0,Loctite 194088 AA 319 Rear View Mirror/Phone/Radio Aerial Bonder Adhesive Glue,100+ bought in past month,3.6,921,8,10,921,N/A,100.0
DIY & Tools,20,2.47,B0001P0DLU,2024-11-07,,6.42,6.33,6.33,11.640211640211643,2,fbm,23587,21,899,3.8333333333333335,2.5300000000000007,79,4,6.08,Loctite 194088 AA 319 Rear View Mirror/Phone/Radio Aerial Bonder Adhesive Glue,100+ bought in past month,3.6,921,8,10,921,N/A,100.0
DIY & Tools,20,2.47,B0001P0DLU,2024-11-08,,6.42,6.33,6.33,11.640211640211643,2,fbm,16027,21,899,3.8333333333333335,2.5300000000000007,75,2,6.57,Loctite 194088 AA 319 Rear View Mirror/Phone/Radio Aerial Bonder Adhesive Glue,100+ bought in past month,3.6,921,8,10,921,N/A,100.0
DIY & Tools,20,2.47,B0001P0DLU,2024-11-09,,6.44,6.33,6.33,11.640211640211643,2,fbm,21899,21,899,3.8333333333333335,2.5300000000000007,75,5,5.6850000000000005,Loctite 194088 AA 319 Rear View Mirror/Phone/Radio Aerial Bonder Adhesive Glue,100+ bought in past month,3.6,921,8,10,921,N/A,100.0
DIY & Tools,20,2.47,B0001P0DLU,2024-11-10,,6.44,5.69,5.69,0.35273368606702754,0,fbm,20787,21,899,3.8333333333333335,0.07666666666666844,70,5,5.59,Loctite 194088 AA 319 Rear View Mirror/Phone/Radio Aerial Bonder Adhesive Glue,100+ bought in past month,3.6,921,8,10,921,N/A,100.0
