Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Grocery,0,2.76,B000I4OEVO,2024-11-15,8.62,7.29,7.15,7.15,-1.1065006915629332,-5,fbm,52101,8,899,0.0,0.0,2,0,0.0,Tiptree Green Gooseberry Conserve 340g,,4.5,939,0,10,939,N/A,100.0
Grocery,0,2.76,B000I4OEVO,2024-11-16,8.62,7.29,7.15,7.15,-1.1065006915629332,-5,fbm,37670,12,921,0.0,0.0,5,1,7.31,Tiptree Green Gooseberry Conserve 340g,,4.5,939,0,10,939,N/A,100.0
Grocery,0,2.76,B000I4OEVO,2024-11-17,8.62,7.29,7.15,7.15,-1.1065006915629332,-5,fbm,22548,12,921,0.0,0.0,4,1,7.31,Tiptree Green Gooseberry Conserve 340g,,4.5,939,0,10,939,N/A,100.0
Grocery,0,2.76,B000I4OEVO,2024-11-18,8.62,7.29,7.15,7.15,-1.1065006915629332,-5,fbm,22548,12,921,0.0,0.0,6,1,7.31,Tiptree Green Gooseberry Conserve 340g,,4.5,939,0,10,939,N/A,100.0
Grocery,0,2.76,B000I4OEVO,2024-11-19,8.62,7.29,7.15,7.15,-1.1065006915629332,-5,fbm,48335,13,921,0.0,0.0,9,2,3.645,Tiptree Green Gooseberry Conserve 340g,,4.5,939,0,10,939,N/A,100.0
Grocery,0,2.76,B000I4OEVO,2024-11-20,8.62,7.29,7.15,7.15,-1.1065006915629332,-5,fbm,15509,13,921,0.0,0.0,7,2,7.31,Tiptree Green Gooseberry Conserve 340g,,4.5,939,0,10,939,N/A,100.0
Grocery,0,2.76,B000I4OEVO,2024-11-21,8.62,7.29,7.15,7.15,-1.1065006915629332,-5,fbm,30918,13,922,0.0,0.0,4,3,5.6275,Tiptree Green Gooseberry Conserve 340g,,4.5,939,0,10,939,N/A,100.0
Grocery,0,2.76,B000I4OEVO,2024-11-22,8.62,7.29,7.15,7.15,-1.1065006915629332,-5,fbm,32601,13,922,0.0,0.0,1,1,7.73,Tiptree Green Gooseberry Conserve 340g,,4.5,939,0,10,939,N/A,100.0
Grocery,0,2.76,B000I4OEVO,2024-11-23,8.62,7.29,7.15,7.15,-1.1065006915629332,-5,fbm,35670,13,922,0.0,0.0,1,1,7.45,Tiptree Green Gooseberry Conserve 340g,,4.5,939,0,10,939,N/A,100.0
Grocery,0,2.76,B000I4OEVO,2024-12-09,8.97,7.16,7.15,7.15,-1.1065006915629332,-5,fbm,30011,9,926,0.0,0.0,11,0,0.0,Tiptree Green Gooseberry Conserve 340g,,4.5,939,0,10,939,N/A,100.0
Grocery,0,2.76,B000I4OEVO,2024-12-10,8.97,7.16,7.15,7.15,-1.1065006915629332,-5,fbm,30011,9,926,0.0,0.0,11,4,7.74,Tiptree Green Gooseberry Conserve 340g,,4.5,939,0,10,939,N/A,100.0
Grocery,0,2.76,B000I4OEVO,2024-12-11,8.97,7.16,7.15,7.15,-1.1065006915629332,-5,fbm,25077,8,926,0.0,0.0,7,5,6.211111111111111,Tiptree Green Gooseberry Conserve 340g,,4.5,939,0,10,939,N/A,100.0
Grocery,0,2.76,B000I4OEVO,2024-12-12,8.97,7.16,7.15,7.15,-1.1065006915629332,-5,fbm,21840,8,926,0.0,0.0,2,2,7.67,Tiptree Green Gooseberry Conserve 340g,,4.5,939,0,10,939,N/A,100.0
Grocery,0,2.76,B000I4OEVO,2025-02-19,,6.89,6.78,6.78,-6.224066390041496,-5,fbm,30239,10,936,0.0,0.0,4,1,6.89,Tiptree Green Gooseberry Conserve 340g,,4.5,939,0,10,939,N/A,100.0
Grocery,0,2.76,B000I4OEVO,2025-02-20,,6.92,6.78,6.78,-6.224066390041496,-5,fbm,33065,10,936,0.0,0.0,11,2,3.445,Tiptree Green Gooseberry Conserve 340g,,4.5,939,0,10,939,N/A,100.0
Grocery,0,2.76,B000I4OEVO,2025-02-21,,6.89,6.78,6.78,-6.224066390041496,-5,fbm,28155,10,936,0.0,0.0,9,2,6.9,Tiptree Green Gooseberry Conserve 340g,,4.5,939,0,10,939,N/A,100.0
Grocery,0,2.76,B000I4OEVO,2025-02-21,,6.92,6.78,6.78,-6.224066390041496,-5,fbm,28155,10,936,0.0,0.0,9,2,6.9,Tiptree Green Gooseberry Conserve 340g,,4.5,939,0,10,939,N/A,100.0
Grocery,0,2.76,B000I4OEVO,2025-02-22,,6.89,6.78,6.78,-6.224066390041496,-5,fbm,31995,10,936,0.0,0.0,7,1,6.91,Tiptree Green Gooseberry Conserve 340g,,4.5,939,0,10,939,N/A,100.0
Grocery,0,2.76,B000I4OEVO,2025-02-22,,6.92,6.78,6.78,-6.224066390041496,-5,fbm,31995,10,936,0.0,0.0,7,1,6.91,Tiptree Green Gooseberry Conserve 340g,,4.5,939,0,10,939,N/A,100.0
Grocery,0,2.76,B000I4OEVO,2025-02-23,,6.89,6.78,6.78,-6.224066390041496,-5,fbm,14143,10,936,0.0,0.0,10,1,6.89,Tiptree Green Gooseberry Conserve 340g,,4.5,939,0,10,939,N/A,100.0
Grocery,0,2.76,B000I4OEVO,2025-02-24,,6.92,6.78,6.78,-6.224066390041496,-5,fbm,23622,10,936,0.0,0.0,13,0,0.0,Tiptree Green Gooseberry Conserve 340g,,4.5,939,0,10,939,N/A,100.0
Grocery,0,2.76,B000I4OEVO,2025-02-25,,6.89,6.78,6.78,-6.224066390041496,-5,fbm,29166,10,936,0.0,0.0,13,0,0.0,Tiptree Green Gooseberry Conserve 340g,,4.5,939,0,10,939,N/A,100.0
Grocery,0,2.76,B000I4OEVO,2025-02-25,,6.92,6.78,6.78,-6.224066390041496,-5,fbm,29166,10,936,0.0,0.0,13,0,0.0,Tiptree Green Gooseberry Conserve 340g,,4.5,939,0,10,939,N/A,100.0
