Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
DIY & Tools,20,2.93,B000MQ663C,2025-02-27,7.63,8.04,7.53,7.53,11.887072808320948,2,fbm,48269,10,2093.0,0.23333333333333334,0.18666666666666662,2,0,0.0,Draper 79579 230mm Spirit Level,,4.6,2093,0,10,2097,N/A,99.80925131139723
DIY & Tools,20,2.93,B000MQ663C,2025-02-28,7.63,8.04,7.53,7.53,11.887072808320948,2,fbm,75996,11,2093.0,0.23333333333333334,0.18666666666666662,2,0,0.0,Draper 79579 230mm Spirit Level,,4.6,2093,0,10,2097,N/A,99.80925131139723
DIY & Tools,20,2.93,B000MQ663C,2025-03-01,7.63,8.04,7.53,7.53,11.887072808320948,2,fbm,64905,10,2093.0,0.23333333333333334,0.18666666666666662,3,0,0.0,Draper 79579 230mm Spirit Level,,4.6,2093,0,10,2097,N/A,99.80925131139723
DIY & Tools,20,2.93,B000MQ663C,2025-03-02,7.63,8.04,7.53,7.53,11.887072808320948,2,fbm,84164,10,2093.0,0.23333333333333334,0.18666666666666662,5,0,0.0,Draper 79579 230mm Spirit Level,,4.6,2093,0,10,2097,N/A,99.80925131139723
DIY & Tools,20,2.93,B000MQ663C,2025-03-03,7.63,8.04,7.53,7.53,11.887072808320948,2,fbm,45183,10,2093.0,0.23333333333333334,0.18666666666666662,5,1,8.04,Draper 79579 230mm Spirit Level,,4.6,2093,0,10,2097,N/A,99.80925131139723
DIY & Tools,20,2.93,B000MQ663C,2025-03-04,7.63,8.04,7.53,7.53,11.887072808320948,2,fbm,81524,10,2093.0,0.23333333333333334,0.18666666666666662,5,0,0.0,Draper 79579 230mm Spirit Level,,4.6,2093,0,10,2097,N/A,99.80925131139723
DIY & Tools,20,2.93,B000MQ663C,2025-03-05,7.63,8.04,7.53,7.53,11.887072808320948,2,fbm,94378,10,2093.0,0.23333333333333334,0.18666666666666662,5,0,0.0,Draper 79579 230mm Spirit Level,,4.6,2093,0,10,2097,N/A,99.80925131139723
DIY & Tools,20,2.93,B000MQ663C,2025-03-06,7.57,8.04,7.53,7.53,11.887072808320948,2,fbm,94378,10,2095.0,0.23333333333333334,0.18666666666666662,5,1,8.04,Draper 79579 230mm Spirit Level,,4.6,2093,0,10,2097,N/A,99.80925131139723
DIY & Tools,20,2.93,B000MQ663C,2025-03-07,7.63,8.04,7.53,7.53,11.887072808320948,2,fbm,17373,11,2096.0,0.23333333333333334,0.18666666666666662,4,1,8.04,Draper 79579 230mm Spirit Level,,4.6,2093,0,10,2097,N/A,99.80925131139723
DIY & Tools,20,2.93,B000MQ663C,2025-03-08,7.63,8.04,7.53,7.53,11.887072808320948,2,fbm,17373,11,2096.0,0.23333333333333334,0.18666666666666662,3,0,0.0,Draper 79579 230mm Spirit Level,,4.6,2093,0,10,2097,N/A,99.80925131139723
DIY & Tools,20,2.93,B000MQ663C,2025-03-09,7.63,8.04,7.53,7.53,11.887072808320948,2,fbm,54369,10,2096.0,0.23333333333333334,0.18666666666666662,3,0,0.0,Draper 79579 230mm Spirit Level,,4.6,2093,0,10,2097,N/A,99.80925131139723
DIY & Tools,20,2.93,B000MQ663C,2025-03-10,7.63,8.04,7.53,7.53,11.887072808320948,2,fbm,87090,10,2096.0,0.23333333333333334,0.18666666666666662,3,0,0.0,Draper 79579 230mm Spirit Level,,4.6,2093,0,10,2097,N/A,99.80925131139723
DIY & Tools,20,2.93,B000MQ663C,2025-03-11,7.63,8.04,7.53,7.53,11.887072808320948,2,fbm,57246,10,2096.0,0.23333333333333334,0.18666666666666662,3,0,0.0,Draper 79579 230mm Spirit Level,,4.6,2093,0,10,2097,N/A,99.80925131139723
DIY & Tools,20,2.93,B000MQ663C,2025-03-12,7.63,8.04,7.53,7.53,11.887072808320948,2,fbm,75307,10,2096.0,0.23333333333333334,0.18666666666666662,3,0,0.0,Draper 79579 230mm Spirit Level,,4.6,2093,0,10,2097,N/A,99.80925131139723
