Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Health & Personal Care,20,6.9,B000Q351JG,2025-03-28,17.0,15.49,17.18,15.49,263.61502347417843,5,fba,9599,3.0,1964.0,2.0,22.46,4,0,0.0,Jojoba Blending Oil,50+ bought in past month,4.6,317,0,10,1966,N/A,16.12410986775178
Health & Personal Care,20,6.9,B000Q351JG,2025-03-29,17.0,15.49,17.18,15.49,263.61502347417843,5,fba,8031,3.0,1964.0,2.0,22.46,6,0,0.0,Jojoba Blending Oil,50+ bought in past month,4.6,317,0,10,1966,N/A,16.12410986775178
Health & Personal Care,20,6.9,B000Q351JG,2025-03-31,17.0,15.49,17.18,15.49,263.61502347417843,5,fba,11518,3.0,1965.0,2.0,22.46,6,0,0.0,Jojoba Blending Oil,50+ bought in past month,4.6,317,0,10,1966,N/A,16.12410986775178
Health & Personal Care,20,6.9,B000Q351JG,2025-04-01,17.0,15.49,17.18,15.49,263.61502347417843,5,fba,12928,3.0,1965.0,2.0,22.46,6,0,0.0,Jojoba Blending Oil,50+ bought in past month,4.6,317,0,10,1966,N/A,16.12410986775178
Health & Personal Care,20,6.9,B000Q351JG,2025-04-02,17.0,15.49,17.18,15.49,263.61502347417843,5,fba,12647,3.0,1965.0,2.0,22.46,6,0,0.0,Jojoba Blending Oil,50+ bought in past month,4.6,317,0,10,1966,N/A,16.12410986775178
Health & Personal Care,20,6.9,B000Q351JG,2025-04-03,17.0,15.49,17.18,15.49,263.61502347417843,5,fba,12253,3.0,1966.0,2.0,22.46,6,0,0.0,Jojoba Blending Oil,50+ bought in past month,4.6,317,0,10,1966,N/A,16.12410986775178
Health & Personal Care,20,6.9,B000Q351JG,2025-04-04,17.0,15.49,,15.49,263.61502347417843,5,fba,12948,3.0,1966.0,2.0,22.46,6,0,0.0,Jojoba Blending Oil,50+ bought in past month,4.6,317,0,10,1966,N/A,16.12410986775178
Health & Personal Care,20,6.9,B000Q351JG,2025-04-05,17.0,15.49,,15.49,263.61502347417843,5,fba,11707,3.0,1966.0,2.0,22.46,6,0,0.0,Jojoba Blending Oil,50+ bought in past month,4.6,317,0,10,1966,N/A,16.12410986775178
Health & Personal Care,20,6.9,B000Q351JG,2025-04-06,15.0,15.49,,15.0,252.11267605633805,5,amazon,11707,3.0,1966.0,2.0,21.48,6,0,0.0,Jojoba Blending Oil,50+ bought in past month,4.6,317,0,10,1966,N/A,16.12410986775178
Health & Personal Care,20,6.9,B000Q351JG,2025-04-07,15.0,15.49,,15.0,252.11267605633805,5,amazon,11267,3.0,1966.0,2.0,21.48,6,0,0.0,Jojoba Blending Oil,50+ bought in past month,4.6,317,0,10,1966,N/A,16.12410986775178
Health & Personal Care,20,6.9,B000Q351JG,2025-04-08,15.0,15.49,,15.0,252.11267605633805,5,amazon,11040,,,2.0,21.48,6,0,0.0,Jojoba Blending Oil,50+ bought in past month,4.6,317,0,10,1966,N/A,16.12410986775178
