Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
DIY & Tools,20,1.38,B001OXH0X2,2025-03-28,,4.95,4.59,4.59,2.684563758389264,0,fbm,4950,20,564,18.333333333333332,2.200000000000002,9,0,0.0,"Solvite SLVTHRIFT Wallpaper & Border Paste, Set of 1",500+ bought in past month,4.4,569,4,10,569,N/A,100.0
DIY & Tools,20,1.38,B001OXH0X2,2025-03-29,,4.94,4.59,4.59,2.684563758389264,0,fbm,5915,21,565,18.333333333333332,2.200000000000002,30,0,0.0,"Solvite SLVTHRIFT Wallpaper & Border Paste, Set of 1",500+ bought in past month,4.4,569,4,10,569,N/A,100.0
DIY & Tools,20,1.38,B001OXH0X2,2025-03-31,,4.94,4.25,4.25,-4.921700223713641,-5,fbm,7487,21,566,0.0,0.0,43,0,0.0,"Solvite SLVTHRIFT Wallpaper & Border Paste, Set of 1",500+ bought in past month,4.4,569,4,10,569,N/A,100.0
DIY & Tools,20,1.38,B001OXH0X2,2025-04-01,,4.94,4.25,4.25,-4.921700223713641,-5,fbm,3735,22,567,0.0,0.0,46,1,4.94,"Solvite SLVTHRIFT Wallpaper & Border Paste, Set of 1",500+ bought in past month,4.4,569,4,10,569,N/A,100.0
DIY & Tools,20,1.38,B001OXH0X2,2025-04-02,,4.93,3.99,3.99,-10.738255033557037,-5,fbm,3033,22,567,0.0,0.0,46,0,0.0,"Solvite SLVTHRIFT Wallpaper & Border Paste, Set of 1",500+ bought in past month,4.4,569,4,10,569,N/A,100.0
DIY & Tools,20,1.38,B001OXH0X2,2025-04-03,,4.93,3.99,3.99,-10.738255033557037,-5,fbm,3303,22,567,0.0,0.0,47,0,0.0,"Solvite SLVTHRIFT Wallpaper & Border Paste, Set of 1",500+ bought in past month,4.4,569,4,10,569,N/A,100.0
DIY & Tools,20,1.38,B001OXH0X2,2025-04-04,,4.93,3.99,3.99,-10.738255033557037,-5,fbm,3544,21,567,0.0,0.0,47,0,0.0,"Solvite SLVTHRIFT Wallpaper & Border Paste, Set of 1",500+ bought in past month,4.4,569,4,10,569,N/A,100.0
DIY & Tools,20,1.38,B001OXH0X2,2025-04-05,,4.93,4.69,4.69,4.921700223713661,0,fbm,3076,20,569,18.333333333333332,4.033333333333345,47,0,0.0,"Solvite SLVTHRIFT Wallpaper & Border Paste, Set of 1",500+ bought in past month,4.4,569,4,10,569,N/A,100.0
DIY & Tools,20,1.38,B001OXH0X2,2025-04-06,,4.93,4.69,4.69,4.921700223713661,0,fbm,2881,21,569,18.333333333333332,4.033333333333345,47,0,0.0,"Solvite SLVTHRIFT Wallpaper & Border Paste, Set of 1",500+ bought in past month,4.4,569,4,10,569,N/A,100.0
DIY & Tools,20,1.38,B001OXH0X2,2025-04-07,,4.93,4.69,4.69,4.921700223713661,0,fbm,3073,20,569,18.333333333333332,4.033333333333345,47,0,0.0,"Solvite SLVTHRIFT Wallpaper & Border Paste, Set of 1",500+ bought in past month,4.4,569,4,10,569,N/A,100.0
DIY & Tools,20,1.38,B001OXH0X2,2025-04-08,,4.87,4.69,4.69,4.921700223713661,0,fbm,2510,,,18.333333333333332,4.033333333333345,47,1,4.93,"Solvite SLVTHRIFT Wallpaper & Border Paste, Set of 1",500+ bought in past month,4.4,569,4,10,569,N/A,100.0
DIY & Tools,20,1.38,B001OXH0X2,2025-04-09,,4.8,4.69,4.69,4.921700223713661,0,fbm,1511,,,18.333333333333332,4.033333333333345,46,0,0.0,"Solvite SLVTHRIFT Wallpaper & Border Paste, Set of 1",500+ bought in past month,4.4,569,4,10,569,N/A,100.0
