Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Toys & Games,20,2.79,B001Q77TI2,2024-11-05,,9.51,11.02,9.51,16.54411764705882,2,fba,106124,4,827,2.0,2.6999999999999993,18,0,0.0,"Ultra Pro 81181 3"" x 4"" Clear Thick 55PT Toploaders (25ct)",50+ bought in past month,4.7,3026,0,6,878,N/A,344.6469248291572
Toys & Games,20,2.79,B001Q77TI2,2024-11-06,,9.51,11.02,9.51,16.54411764705882,2,fba,108701,4,827,2.0,2.6999999999999993,27,0,0.0,"Ultra Pro 81181 3"" x 4"" Clear Thick 55PT Toploaders (25ct)",50+ bought in past month,4.7,3026,0,6,878,N/A,344.6469248291572
Toys & Games,20,2.79,B001Q77TI2,2024-11-07,,9.51,11.02,9.51,16.54411764705882,2,fba,108701,4,828,2.0,2.6999999999999993,47,0,0.0,"Ultra Pro 81181 3"" x 4"" Clear Thick 55PT Toploaders (25ct)",50+ bought in past month,4.7,3026,0,6,878,N/A,344.6469248291572
Toys & Games,20,2.79,B001Q77TI2,2024-11-08,,8.63,11.02,8.63,5.759803921568635,1,fba,39286,5,828,2.0,0.9400000000000013,50,0,0.0,"Ultra Pro 81181 3"" x 4"" Clear Thick 55PT Toploaders (25ct)",50+ bought in past month,4.7,3026,0,6,878,N/A,344.6469248291572
Toys & Games,20,2.79,B001Q77TI2,2024-11-09,,8.63,11.02,8.63,5.759803921568635,1,fba,39286,5,828,2.0,0.9400000000000013,49,0,0.0,"Ultra Pro 81181 3"" x 4"" Clear Thick 55PT Toploaders (25ct)",50+ bought in past month,4.7,3026,0,6,878,N/A,344.6469248291572
Toys & Games,20,2.79,B001Q77TI2,2024-11-10,,9.96,11.02,9.96,22.05882352941177,3,fba,76511,5,829,2.0,3.6000000000000014,49,0,0.0,"Ultra Pro 81181 3"" x 4"" Clear Thick 55PT Toploaders (25ct)",50+ bought in past month,4.7,3026,0,6,878,N/A,344.6469248291572
Toys & Games,20,2.79,B001Q77TI2,2024-11-11,,9.96,11.02,9.96,22.05882352941177,3,fba,36693,4,829,2.0,3.6000000000000014,49,0,0.0,"Ultra Pro 81181 3"" x 4"" Clear Thick 55PT Toploaders (25ct)",50+ bought in past month,4.7,3026,0,6,878,N/A,344.6469248291572
Toys & Games,20,2.79,B001Q77TI2,2024-11-12,,9.96,11.02,9.96,22.05882352941177,3,fba,58807,4,829,2.0,3.6000000000000014,49,0,0.0,"Ultra Pro 81181 3"" x 4"" Clear Thick 55PT Toploaders (25ct)",50+ bought in past month,4.7,3026,0,6,878,N/A,344.6469248291572
Toys & Games,20,2.79,B001Q77TI2,2024-11-13,,9.51,11.02,9.51,16.54411764705882,2,fba,86182,4,829,2.0,2.6999999999999993,48,0,0.0,"Ultra Pro 81181 3"" x 4"" Clear Thick 55PT Toploaders (25ct)",50+ bought in past month,4.7,3026,0,6,878,N/A,344.6469248291572
Toys & Games,20,2.79,B001Q77TI2,2024-11-14,,9.51,11.02,9.51,16.54411764705882,2,fba,33485,6,829,2.0,2.6999999999999993,48,0,0.0,"Ultra Pro 81181 3"" x 4"" Clear Thick 55PT Toploaders (25ct)",50+ bought in past month,4.7,3026,0,6,878,N/A,344.6469248291572
