Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Grocery,20,1.13,B002BWSZS4,2024-10-26,,6.5,6.45,6.45,14.159292035398227,2,fbm,55677,9,707,0.4,0.31999999999999995,25,0,0.0,Economy Scourer Flat 150x115mm Green (Pack of 10) SP120,,4.3,708,0,10,706,N/A,100.28328611898016
Grocery,20,1.13,B002BWSZS4,2024-10-27,,6.5,6.45,6.45,14.159292035398227,2,fbm,62897,,,0.4,0.31999999999999995,25,0,0.0,Economy Scourer Flat 150x115mm Green (Pack of 10) SP120,,4.3,708,0,10,706,N/A,100.28328611898016
Grocery,20,1.13,B002BWSZS4,2024-10-28,,6.5,6.45,6.45,14.159292035398227,2,fbm,53331,9,707,0.4,0.31999999999999995,25,0,0.0,Economy Scourer Flat 150x115mm Green (Pack of 10) SP120,,4.3,708,0,10,706,N/A,100.28328611898016
Grocery,20,1.13,B002BWSZS4,2024-10-29,,6.5,5.5,5.5,-2.6548672566371745,-5,fbm,48873,9,707,0.0,0.0,25,1,6.5,Economy Scourer Flat 150x115mm Green (Pack of 10) SP120,,4.3,708,0,10,706,N/A,100.28328611898016
Grocery,20,1.13,B002BWSZS4,2024-10-30,,6.5,5.5,5.5,-2.6548672566371745,-5,fbm,47071,11,707,0.0,0.0,24,0,0.0,Economy Scourer Flat 150x115mm Green (Pack of 10) SP120,,4.3,708,0,10,706,N/A,100.28328611898016
Grocery,20,1.13,B002BWSZS4,2024-10-31,,6.5,5.5,5.5,-2.6548672566371745,-5,fbm,60313,11,707,0.0,0.0,24,0,0.0,Economy Scourer Flat 150x115mm Green (Pack of 10) SP120,,4.3,708,0,10,706,N/A,100.28328611898016
Grocery,20,1.13,B002BWSZS4,2024-11-01,,6.5,5.5,5.5,-2.6548672566371745,-5,fbm,65144,11,707,0.0,0.0,24,0,0.0,Economy Scourer Flat 150x115mm Green (Pack of 10) SP120,,4.3,708,0,10,706,N/A,100.28328611898016
Grocery,20,1.13,B002BWSZS4,2024-11-02,,6.5,5.5,5.5,-2.6548672566371745,-5,fbm,71483,11,707,0.0,0.0,24,0,0.0,Economy Scourer Flat 150x115mm Green (Pack of 10) SP120,,4.3,708,0,10,706,N/A,100.28328611898016
Grocery,20,1.13,B002BWSZS4,2024-11-03,,6.5,5.5,5.5,-2.6548672566371745,-5,fbm,74620,11,707,0.0,0.0,24,0,0.0,Economy Scourer Flat 150x115mm Green (Pack of 10) SP120,,4.3,708,0,10,706,N/A,100.28328611898016
Grocery,20,1.13,B002BWSZS4,2024-11-04,,6.5,5.5,5.5,-2.6548672566371745,-5,fbm,78233,11,707,0.0,0.0,24,0,0.0,Economy Scourer Flat 150x115mm Green (Pack of 10) SP120,,4.3,708,0,10,706,N/A,100.28328611898016
Grocery,20,1.13,B002BWSZS4,2024-11-05,,5.86,5.5,5.5,-2.6548672566371745,-5,fbm,80150,10,707,0.0,0.0,24,0,0.0,Economy Scourer Flat 150x115mm Green (Pack of 10) SP120,,4.3,708,0,10,706,N/A,100.28328611898016
Grocery,20,1.13,B002BWSZS4,2024-11-05,,5.96,5.5,5.5,-2.6548672566371745,-5,fbm,80150,10,707,0.0,0.0,24,0,0.0,Economy Scourer Flat 150x115mm Green (Pack of 10) SP120,,4.3,708,0,10,706,N/A,100.28328611898016
Grocery,20,1.13,B002BWSZS4,2024-11-06,,5.8,5.5,5.5,-2.6548672566371745,-5,fbm,82719,11,707,0.0,0.0,24,1,5.8,Economy Scourer Flat 150x115mm Green (Pack of 10) SP120,,4.3,708,0,10,706,N/A,100.28328611898016
Grocery,20,1.13,B002BWSZS4,2024-11-07,,5.8,5.5,5.5,-2.6548672566371745,-5,fbm,45160,11,707,0.0,0.0,23,0,0.0,Economy Scourer Flat 150x115mm Green (Pack of 10) SP120,,4.3,708,0,10,706,N/A,100.28328611898016
Grocery,20,1.13,B002BWSZS4,2024-11-08,,5.8,5.5,5.5,-2.6548672566371745,-5,fbm,53188,11,707,0.0,0.0,23,0,0.0,Economy Scourer Flat 150x115mm Green (Pack of 10) SP120,,4.3,708,0,10,706,N/A,100.28328611898016
