Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Home & Kitchen,20,1.25,B002DPGTF0,2024-11-18,4.3,5.66,3.75,3.75,-14.578587699316623,-5,fbm,28712,9,8994.0,0.0,0.0,5,0,0.0,"Fackelmann OPAL Hand Grater, Fine Lemon & Lime Zester, Chocolate & Parmesan Grater, Sharp Durable Grating Blade, Stainless Steel, 24x5.5x1.5cm, Silver",,4.5,573,0,3,9219,N/A,6.2154246664497235
Home & Kitchen,20,1.25,B002DPGTF0,2024-11-19,4.3,5.66,3.75,3.75,-14.578587699316623,-5,fbm,23473,9,8996.0,0.0,0.0,7,0,0.0,"Fackelmann OPAL Hand Grater, Fine Lemon & Lime Zester, Chocolate & Parmesan Grater, Sharp Durable Grating Blade, Stainless Steel, 24x5.5x1.5cm, Silver",,4.5,573,0,3,9219,N/A,6.2154246664497235
Home & Kitchen,20,1.25,B002DPGTF0,2024-11-20,5.25,5.66,3.75,3.75,-14.578587699316623,-5,fbm,35001,10,8996.0,0.0,0.0,7,0,0.0,"Fackelmann OPAL Hand Grater, Fine Lemon & Lime Zester, Chocolate & Parmesan Grater, Sharp Durable Grating Blade, Stainless Steel, 24x5.5x1.5cm, Silver",,4.5,573,0,3,9219,N/A,6.2154246664497235
Home & Kitchen,20,1.25,B002DPGTF0,2024-11-21,5.17,5.64,3.75,3.75,-14.578587699316623,-5,fbm,41887,10,8997.0,0.0,0.0,8,0,0.0,"Fackelmann OPAL Hand Grater, Fine Lemon & Lime Zester, Chocolate & Parmesan Grater, Sharp Durable Grating Blade, Stainless Steel, 24x5.5x1.5cm, Silver",,4.5,573,0,3,9219,N/A,6.2154246664497235
Home & Kitchen,20,1.25,B002DPGTF0,2024-11-22,5.23,5.63,3.75,3.75,-14.578587699316623,-5,fbm,45419,10,8997.0,0.0,0.0,9,0,0.0,"Fackelmann OPAL Hand Grater, Fine Lemon & Lime Zester, Chocolate & Parmesan Grater, Sharp Durable Grating Blade, Stainless Steel, 24x5.5x1.5cm, Silver",,4.5,573,0,3,9219,N/A,6.2154246664497235
Home & Kitchen,20,1.25,B002DPGTF0,2024-11-23,5.54,5.62,3.75,3.75,-14.578587699316623,-5,fbm,34891,18,8999.0,0.0,0.0,11,0,0.0,"Fackelmann OPAL Hand Grater, Fine Lemon & Lime Zester, Chocolate & Parmesan Grater, Sharp Durable Grating Blade, Stainless Steel, 24x5.5x1.5cm, Silver",,4.5,573,0,3,9219,N/A,6.2154246664497235
Home & Kitchen,20,1.25,B002DPGTF0,2024-11-24,5.52,5.62,3.75,3.75,-14.578587699316623,-5,fbm,33961,10,9003.0,0.0,0.0,12,0,0.0,"Fackelmann OPAL Hand Grater, Fine Lemon & Lime Zester, Chocolate & Parmesan Grater, Sharp Durable Grating Blade, Stainless Steel, 24x5.5x1.5cm, Silver",,4.5,573,0,3,9219,N/A,6.2154246664497235
Home & Kitchen,20,1.25,B002DPGTF0,2024-11-25,5.23,5.62,3.75,3.75,-14.578587699316623,-5,fbm,45549,9,9003.0,0.0,0.0,12,0,0.0,"Fackelmann OPAL Hand Grater, Fine Lemon & Lime Zester, Chocolate & Parmesan Grater, Sharp Durable Grating Blade, Stainless Steel, 24x5.5x1.5cm, Silver",,4.5,573,0,3,9219,N/A,6.2154246664497235
Home & Kitchen,20,1.25,B002DPGTF0,2024-11-26,5.24,5.62,3.75,3.75,-14.578587699316623,-5,fbm,40376,9,9002.0,0.0,0.0,12,0,0.0,"Fackelmann OPAL Hand Grater, Fine Lemon & Lime Zester, Chocolate & Parmesan Grater, Sharp Durable Grating Blade, Stainless Steel, 24x5.5x1.5cm, Silver",,4.5,573,0,3,9219,N/A,6.2154246664497235
Home & Kitchen,20,1.25,B002DPGTF0,2024-11-27,5.24,5.53,3.75,3.75,-14.578587699316623,-5,fbm,44553,8,9006.0,0.0,0.0,12,0,0.0,"Fackelmann OPAL Hand Grater, Fine Lemon & Lime Zester, Chocolate & Parmesan Grater, Sharp Durable Grating Blade, Stainless Steel, 24x5.5x1.5cm, Silver",,4.5,573,0,3,9219,N/A,6.2154246664497235
Home & Kitchen,20,1.25,B002DPGTF0,2024-11-28,5.31,5.53,3.75,3.75,-14.578587699316623,-5,fbm,39603,8,9007.0,0.0,0.0,12,0,0.0,"Fackelmann OPAL Hand Grater, Fine Lemon & Lime Zester, Chocolate & Parmesan Grater, Sharp Durable Grating Blade, Stainless Steel, 24x5.5x1.5cm, Silver",,4.5,573,0,3,9219,N/A,6.2154246664497235
Home & Kitchen,20,1.25,B002DPGTF0,2024-11-29,5.31,6.21,3.75,3.75,-14.578587699316623,-5,fbm,32772,8,9008.0,0.0,0.0,12,0,0.0,"Fackelmann OPAL Hand Grater, Fine Lemon & Lime Zester, Chocolate & Parmesan Grater, Sharp Durable Grating Blade, Stainless Steel, 24x5.5x1.5cm, Silver",,4.5,573,0,3,9219,N/A,6.2154246664497235
Home & Kitchen,20,1.25,B002DPGTF0,2024-11-30,5.3,5.97,3.75,3.75,-14.578587699316623,-5,fbm,44779,8,9010.0,0.0,0.0,12,0,0.0,"Fackelmann OPAL Hand Grater, Fine Lemon & Lime Zester, Chocolate & Parmesan Grater, Sharp Durable Grating Blade, Stainless Steel, 24x5.5x1.5cm, Silver",,4.5,573,0,3,9219,N/A,6.2154246664497235
Home & Kitchen,20,1.25,B002DPGTF0,2024-12-01,5.31,5.51,3.75,3.75,-14.578587699316623,-5,fbm,33464,8,9011.0,0.0,0.0,12,0,0.0,"Fackelmann OPAL Hand Grater, Fine Lemon & Lime Zester, Chocolate & Parmesan Grater, Sharp Durable Grating Blade, Stainless Steel, 24x5.5x1.5cm, Silver",,4.5,573,0,3,9219,N/A,6.2154246664497235
Home & Kitchen,20,1.25,B002DPGTF0,2024-12-02,5.31,5.45,3.75,3.75,-14.578587699316623,-5,fbm,24116,8,9014.0,0.0,0.0,12,1,5.49,"Fackelmann OPAL Hand Grater, Fine Lemon & Lime Zester, Chocolate & Parmesan Grater, Sharp Durable Grating Blade, Stainless Steel, 24x5.5x1.5cm, Silver",,4.5,573,0,3,9219,N/A,6.2154246664497235
Home & Kitchen,20,1.25,B002DPGTF0,2024-12-03,5.32,5.94,3.75,3.75,-14.578587699316623,-5,fbm,25217,8,9016.0,0.0,0.0,11,1,5.94,"Fackelmann OPAL Hand Grater, Fine Lemon & Lime Zester, Chocolate & Parmesan Grater, Sharp Durable Grating Blade, Stainless Steel, 24x5.5x1.5cm, Silver",,4.5,573,0,3,9219,N/A,6.2154246664497235
Home & Kitchen,20,1.25,B002DPGTF0,2024-12-04,5.32,5.58,3.75,3.75,-14.578587699316623,-5,fbm,27458,8,9019.0,0.0,0.0,10,1,5.6,"Fackelmann OPAL Hand Grater, Fine Lemon & Lime Zester, Chocolate & Parmesan Grater, Sharp Durable Grating Blade, Stainless Steel, 24x5.5x1.5cm, Silver",,4.5,573,0,3,9219,N/A,6.2154246664497235
Home & Kitchen,20,1.25,B002DPGTF0,2024-12-05,5.31,5.94,3.75,3.75,-14.578587699316623,-5,fbm,29811,8,9019.0,0.0,0.0,10,0,0.0,"Fackelmann OPAL Hand Grater, Fine Lemon & Lime Zester, Chocolate & Parmesan Grater, Sharp Durable Grating Blade, Stainless Steel, 24x5.5x1.5cm, Silver",,4.5,573,0,3,9219,N/A,6.2154246664497235
Home & Kitchen,20,1.25,B002DPGTF0,2024-12-06,5.37,5.9,3.75,3.75,-14.578587699316623,-5,fbm,45904,7,9014.0,0.0,0.0,9,0,0.0,"Fackelmann OPAL Hand Grater, Fine Lemon & Lime Zester, Chocolate & Parmesan Grater, Sharp Durable Grating Blade, Stainless Steel, 24x5.5x1.5cm, Silver",,4.5,573,0,3,9219,N/A,6.2154246664497235
Home & Kitchen,20,1.25,B002DPGTF0,2024-12-06,5.37,5.87,3.75,3.75,-14.578587699316623,-5,fbm,45904,7,9014.0,0.0,0.0,9,0,0.0,"Fackelmann OPAL Hand Grater, Fine Lemon & Lime Zester, Chocolate & Parmesan Grater, Sharp Durable Grating Blade, Stainless Steel, 24x5.5x1.5cm, Silver",,4.5,573,0,3,9219,N/A,6.2154246664497235
