Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Home & Kitchen,20,3.96,B002HY4YSQ,2024-10-26,,7.95,,7.95,-14.790996784565916,-5,fba,58165,9,94,0,0,12,0,0.0,Kitchen Devils Lifestyle Peeler Parer Knife 602001,100+ bought in past month,4.7,539,7,10,539,N/A,100.0
Home & Kitchen,20,3.96,B002HY4YSQ,2024-10-27,,7.95,,7.95,-14.790996784565916,-5,fba,54837,,,0,0,12,0,0.0,Kitchen Devils Lifestyle Peeler Parer Knife 602001,100+ bought in past month,4.7,539,7,10,539,N/A,100.0
Home & Kitchen,20,3.96,B002HY4YSQ,2024-10-28,,7.95,,7.95,-14.790996784565916,-5,fba,54351,9,94,0,0,12,0,0.0,Kitchen Devils Lifestyle Peeler Parer Knife 602001,100+ bought in past month,4.7,539,7,10,539,N/A,100.0
Home & Kitchen,20,3.96,B002HY4YSQ,2024-10-29,,7.95,,7.95,-14.790996784565916,-5,fba,44137,9,94,0,0,12,0,0.0,Kitchen Devils Lifestyle Peeler Parer Knife 602001,100+ bought in past month,4.7,539,7,10,539,N/A,100.0
Home & Kitchen,20,3.96,B002HY4YSQ,2024-10-30,,7.95,,7.95,-14.790996784565916,-5,fba,40296,9,94,0,0,12,1,8.89,Kitchen Devils Lifestyle Peeler Parer Knife 602001,100+ bought in past month,4.7,539,7,10,539,N/A,100.0
Home & Kitchen,20,3.96,B002HY4YSQ,2024-10-31,,7.95,,7.95,-14.790996784565916,-5,fba,35384,9,94,0,0,11,0,0.0,Kitchen Devils Lifestyle Peeler Parer Knife 602001,100+ bought in past month,4.7,539,7,10,539,N/A,100.0
Home & Kitchen,20,3.96,B002HY4YSQ,2024-11-01,,7.95,,7.95,-14.790996784565916,-5,fba,53738,9,94,0,0,11,0,0.0,Kitchen Devils Lifestyle Peeler Parer Knife 602001,100+ bought in past month,4.7,539,7,10,539,N/A,100.0
Home & Kitchen,20,3.96,B002HY4YSQ,2024-11-02,,7.95,,7.95,-14.790996784565916,-5,fba,62755,9,94,0,0,11,0,0.0,Kitchen Devils Lifestyle Peeler Parer Knife 602001,100+ bought in past month,4.7,539,7,10,539,N/A,100.0
Home & Kitchen,20,3.96,B002HY4YSQ,2024-11-03,,7.95,,7.95,-14.790996784565916,-5,fba,35442,9,94,0,0,11,0,0.0,Kitchen Devils Lifestyle Peeler Parer Knife 602001,100+ bought in past month,4.7,539,7,10,539,N/A,100.0
Home & Kitchen,20,3.96,B002HY4YSQ,2024-11-04,,7.95,,7.95,-14.790996784565916,-5,fba,40416,9,94,0,0,11,0,0.0,Kitchen Devils Lifestyle Peeler Parer Knife 602001,100+ bought in past month,4.7,539,7,10,539,N/A,100.0
Home & Kitchen,20,3.96,B002HY4YSQ,2024-11-05,,7.95,,7.95,-14.790996784565916,-5,fba,32043,9,94,0,0,11,0,0.0,Kitchen Devils Lifestyle Peeler Parer Knife 602001,100+ bought in past month,4.7,539,7,10,539,N/A,100.0
Home & Kitchen,20,3.96,B002HY4YSQ,2024-11-06,,7.95,,7.95,-14.790996784565916,-5,fba,37313,9,94,0,0,11,0,0.0,Kitchen Devils Lifestyle Peeler Parer Knife 602001,100+ bought in past month,4.7,539,7,10,539,N/A,100.0
Home & Kitchen,20,3.96,B002HY4YSQ,2024-11-07,,7.95,,7.95,-14.790996784565916,-5,fba,40084,9,94,0,0,11,0,0.0,Kitchen Devils Lifestyle Peeler Parer Knife 602001,100+ bought in past month,4.7,539,7,10,539,N/A,100.0
Home & Kitchen,20,3.96,B002HY4YSQ,2024-11-08,,7.95,,7.95,-14.790996784565916,-5,fba,30561,9,94,0,0,11,0,0.0,Kitchen Devils Lifestyle Peeler Parer Knife 602001,100+ bought in past month,4.7,539,7,10,539,N/A,100.0
Home & Kitchen,20,3.96,B002HY4YSQ,2024-11-09,,7.95,,7.95,-14.790996784565916,-5,fba,31516,9,94,0,0,11,0,0.0,Kitchen Devils Lifestyle Peeler Parer Knife 602001,100+ bought in past month,4.7,539,7,10,539,N/A,100.0
Home & Kitchen,20,3.96,B002HY4YSQ,2024-11-10,,7.95,,7.95,-14.790996784565916,-5,fba,42277,9,94,0,0,11,0,0.0,Kitchen Devils Lifestyle Peeler Parer Knife 602001,100+ bought in past month,4.7,539,7,10,539,N/A,100.0
Home & Kitchen,20,3.96,B002HY4YSQ,2024-11-11,,7.95,,7.95,-14.790996784565916,-5,fba,25842,9,94,0,0,11,0,0.0,Kitchen Devils Lifestyle Peeler Parer Knife 602001,100+ bought in past month,4.7,539,7,10,539,N/A,100.0
Home & Kitchen,20,3.96,B002HY4YSQ,2024-11-12,,7.95,,7.95,-14.790996784565916,-5,fba,29225,9,94,0,0,11,0,0.0,Kitchen Devils Lifestyle Peeler Parer Knife 602001,100+ bought in past month,4.7,539,7,10,539,N/A,100.0
Home & Kitchen,20,3.96,B002HY4YSQ,2024-11-13,,7.95,,7.95,-14.790996784565916,-5,fba,42837,9,94,0,0,11,0,0.0,Kitchen Devils Lifestyle Peeler Parer Knife 602001,100+ bought in past month,4.7,539,7,10,539,N/A,100.0
Home & Kitchen,20,3.96,B002HY4YSQ,2024-11-14,,7.95,,7.95,-14.790996784565916,-5,fba,24043,9,94,0,0,11,0,0.0,Kitchen Devils Lifestyle Peeler Parer Knife 602001,100+ bought in past month,4.7,539,7,10,539,N/A,100.0
Home & Kitchen,20,3.96,B002HY4YSQ,2024-11-15,,7.95,,7.95,-14.790996784565916,-5,fba,24664,9,94,0,0,11,0,0.0,Kitchen Devils Lifestyle Peeler Parer Knife 602001,100+ bought in past month,4.7,539,7,10,539,N/A,100.0
