Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Beauty,20,2.2,B003OPE57C,2024-11-14,,8.99,,8.99,24.86111111111111,3,fba,46877,1.0,6370,2.0,3.58,12,2,8.99,"Himalaya Herbals Neem Face Wash Foam with Turmeric Extract. Soap free, SLS, Paraben Free Hypoallergenic Herbal Based Face Wash Foam. DERMATOLOGICALLY TESTED 150 ml",50+ bought in past month,4.2,6745,0,10,6745,N/A,100.0
Beauty,20,2.2,B003OPE57C,2024-11-15,,8.99,,8.99,24.86111111111111,3,fba,38180,1.0,6370,2.0,3.58,10,2,8.99,"Himalaya Herbals Neem Face Wash Foam with Turmeric Extract. Soap free, SLS, Paraben Free Hypoallergenic Herbal Based Face Wash Foam. DERMATOLOGICALLY TESTED 150 ml",50+ bought in past month,4.2,6745,0,10,6745,N/A,100.0
Beauty,20,2.2,B003OPE57C,2024-11-16,,8.99,,8.99,24.86111111111111,3,fba,39677,1.0,6370,2.0,3.58,8,2,4.495,"Himalaya Herbals Neem Face Wash Foam with Turmeric Extract. Soap free, SLS, Paraben Free Hypoallergenic Herbal Based Face Wash Foam. DERMATOLOGICALLY TESTED 150 ml",50+ bought in past month,4.2,6745,0,10,6745,N/A,100.0
Beauty,20,2.2,B003OPE57C,2024-11-17,,8.99,,8.99,24.86111111111111,3,fba,37058,1.0,6370,2.0,3.58,8,2,8.99,"Himalaya Herbals Neem Face Wash Foam with Turmeric Extract. Soap free, SLS, Paraben Free Hypoallergenic Herbal Based Face Wash Foam. DERMATOLOGICALLY TESTED 150 ml",50+ bought in past month,4.2,6745,0,10,6745,N/A,100.0
Beauty,20,2.2,B003OPE57C,2024-11-18,,8.99,,8.99,24.86111111111111,3,fba,34265,1.0,6370,2.0,3.58,4,3,8.06,"Himalaya Herbals Neem Face Wash Foam with Turmeric Extract. Soap free, SLS, Paraben Free Hypoallergenic Herbal Based Face Wash Foam. DERMATOLOGICALLY TESTED 150 ml",50+ bought in past month,4.2,6745,0,10,6745,N/A,100.0
Beauty,20,2.2,B003OPE57C,2024-11-19,,8.99,,8.99,24.86111111111111,3,fba,29397,1.0,6370,2.0,3.58,1,1,8.99,"Himalaya Herbals Neem Face Wash Foam with Turmeric Extract. Soap free, SLS, Paraben Free Hypoallergenic Herbal Based Face Wash Foam. DERMATOLOGICALLY TESTED 150 ml",50+ bought in past month,4.2,6745,0,10,6745,N/A,100.0
Beauty,20,2.2,B003OPE57C,2024-12-09,,8.99,,8.99,24.86111111111111,3,fba,53331,1.0,6378,2.0,3.58,37,2,8.99,"Himalaya Herbals Neem Face Wash Foam with Turmeric Extract. Soap free, SLS, Paraben Free Hypoallergenic Herbal Based Face Wash Foam. DERMATOLOGICALLY TESTED 150 ml",50+ bought in past month,4.2,6745,0,10,6745,N/A,100.0
Beauty,20,2.2,B003OPE57C,2024-12-10,,8.99,,8.99,24.86111111111111,3,fba,48923,1.0,6378,2.0,3.58,35,2,4.495,"Himalaya Herbals Neem Face Wash Foam with Turmeric Extract. Soap free, SLS, Paraben Free Hypoallergenic Herbal Based Face Wash Foam. DERMATOLOGICALLY TESTED 150 ml",50+ bought in past month,4.2,6745,0,10,6745,N/A,100.0
Beauty,20,2.2,B003OPE57C,2024-12-11,,8.99,,8.99,24.86111111111111,3,fba,56650,1.0,6378,2.0,3.58,33,1,8.99,"Himalaya Herbals Neem Face Wash Foam with Turmeric Extract. Soap free, SLS, Paraben Free Hypoallergenic Herbal Based Face Wash Foam. DERMATOLOGICALLY TESTED 150 ml",50+ bought in past month,4.2,6745,0,10,6745,N/A,100.0
Beauty,20,2.2,B003OPE57C,2024-12-12,,8.99,,8.99,24.86111111111111,3,fba,49748,1.0,6379,2.0,3.58,32,5,3.7458333333333336,"Himalaya Herbals Neem Face Wash Foam with Turmeric Extract. Soap free, SLS, Paraben Free Hypoallergenic Herbal Based Face Wash Foam. DERMATOLOGICALLY TESTED 150 ml",50+ bought in past month,4.2,6745,0,10,6745,N/A,100.0
