Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Beauty,20,2.01,B003SYNGE2,2024-10-26,,7.99,6.99,6.99,15.346534653465357,2,fbm,45178,3,1074,0.06666666666666667,0.06200000000000004,6,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2024-10-27,,7.99,6.99,6.99,15.346534653465357,2,fbm,51834,,,0.06666666666666667,0.06200000000000004,6,1,7.99,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2024-10-28,,7.99,6.99,6.99,15.346534653465357,2,fbm,51834,3,1074,0.06666666666666667,0.06200000000000004,9,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2024-10-29,,7.99,6.99,6.99,15.346534653465357,2,fbm,41894,3,1074,0.06666666666666667,0.06200000000000004,9,2,7.96,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2024-10-30,,7.99,6.99,6.99,15.346534653465357,2,fbm,37132,3,1074,0.06666666666666667,0.06200000000000004,7,2,7.960000000000001,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2024-10-31,,7.96,6.99,6.99,15.346534653465357,2,fbm,23600,3,1074,0.06666666666666667,0.06200000000000004,4,3,5.9675,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2024-11-01,,7.96,6.99,6.99,15.346534653465357,2,fbm,28580,3,1074,0.06666666666666667,0.06200000000000004,1,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2024-11-02,,7.99,6.99,6.99,15.346534653465357,2,fbm,28805,3,1074,0.06666666666666667,0.06200000000000004,1,1,7.99,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-02-19,,7.99,6.99,6.99,15.346534653465357,2,fbm,42430,5,1087,0.06666666666666667,0.06200000000000004,53,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-02-20,,7.99,6.99,6.99,15.346534653465357,2,fbm,42430,5,1087,0.06666666666666667,0.06200000000000004,55,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-02-21,,7.99,6.99,6.99,15.346534653465357,2,fbm,38925,5,1086,0.06666666666666667,0.06200000000000004,80,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-02-22,,7.99,6.99,6.99,15.346534653465357,2,fbm,27829,5,1086,0.06666666666666667,0.06200000000000004,80,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-02-23,,7.99,6.99,6.99,15.346534653465357,2,fbm,40921,5,1086,0.06666666666666667,0.06200000000000004,80,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-02-24,,7.99,6.99,6.99,15.346534653465357,2,fbm,40921,5,1086,0.06666666666666667,0.06200000000000004,84,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-02-25,,7.99,6.99,6.99,15.346534653465357,2,fbm,40921,5,1086,0.06666666666666667,0.06200000000000004,84,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-02-26,,7.99,6.99,6.99,15.346534653465357,2,fbm,40921,5,1087,0.06666666666666667,0.06200000000000004,84,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-02-27,,7.99,6.99,6.99,15.346534653465357,2,fbm,40921,5,1087,0.06666666666666667,0.06200000000000004,84,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-02-28,,7.99,6.99,6.99,15.346534653465357,2,fbm,40921,5,1087,0.06666666666666667,0.06200000000000004,84,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-03-01,,7.99,6.99,6.99,15.346534653465357,2,fbm,40921,5,1087,0.06666666666666667,0.06200000000000004,84,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-03-02,,7.99,6.99,6.99,15.346534653465357,2,fbm,40921,5,1087,0.06666666666666667,0.06200000000000004,84,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-03-03,,7.99,6.99,6.99,15.346534653465357,2,fbm,40921,5,1087,0.06666666666666667,0.06200000000000004,84,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-03-04,,7.99,6.99,6.99,15.346534653465357,2,fbm,28342,5,1087,0.06666666666666667,0.06200000000000004,84,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-03-05,,7.99,6.99,6.99,15.346534653465357,2,fbm,28342,5,1087,0.06666666666666667,0.06200000000000004,84,1,7.99,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-03-06,,7.99,6.99,6.99,15.346534653465357,2,fbm,43725,5,1071,0.06666666666666667,0.06200000000000004,83,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-03-07,,7.99,6.99,6.99,15.346534653465357,2,fbm,43725,5,1071,0.06666666666666667,0.06200000000000004,83,1,7.99,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-03-08,,7.99,6.99,6.99,15.346534653465357,2,fbm,37772,5,1071,0.06666666666666667,0.06200000000000004,82,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-03-09,,7.99,6.99,6.99,15.346534653465357,2,fbm,26130,5,1071,0.06666666666666667,0.06200000000000004,82,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-03-10,,7.99,6.99,6.99,15.346534653465357,2,fbm,26130,5,1071,0.06666666666666667,0.06200000000000004,82,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
Beauty,20,2.01,B003SYNGE2,2025-03-11,,7.99,6.99,6.99,15.346534653465357,2,fbm,26130,5,1071,0.06666666666666667,0.06200000000000004,82,0,0.0,RAWGANIC Pure Cleansing Refreshing Facial Wipes with Aloe Vera and Green Tea | Gentle Soothing Biodegradable Makeup Removal Organic Cotton Wipes | 1 Pack (25 wipes in total),,4.3,1071,0,10,1071,N/A,100.0
