Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Home & Kitchen,20,4.23,B003VTZAM0,2025-03-28,,11.99,,11.99,11.742777260018638,2,fba,33091,15,1305,1.9666666666666666,2.4779999999999993,3,0,0.0,"Minky Reflector Ironing Board Cover, Metallic, Multicolor, 125 x 45 cm",50+ bought in past month,4.3,1286,1,10,1305,N/A,98.544061302682
Home & Kitchen,20,4.23,B003VTZAM0,2025-03-29,,11.47,,11.47,6.896551724137932,1,fba,29554,15,1305,1.9666666666666666,1.4553333333333336,8,2,11.47,"Minky Reflector Ironing Board Cover, Metallic, Multicolor, 125 x 45 cm",50+ bought in past month,4.3,1286,1,10,1305,N/A,98.544061302682
Home & Kitchen,20,4.23,B003VTZAM0,2025-03-31,,10.71,10.72,10.71,-0.18639328984156173,-5,fba,41463,13,1305,0.0,0.0,11,0,0.0,"Minky Reflector Ironing Board Cover, Metallic, Multicolor, 125 x 45 cm",50+ bought in past month,4.3,1286,1,10,1305,N/A,98.544061302682
Home & Kitchen,20,4.23,B003VTZAM0,2025-03-31,,11.09,,11.09,3.3550792171481767,0,fba,41463,13,1305,1.9666666666666666,0.7079999999999989,11,0,0.0,"Minky Reflector Ironing Board Cover, Metallic, Multicolor, 125 x 45 cm",50+ bought in past month,4.3,1286,1,10,1305,N/A,98.544061302682
Home & Kitchen,20,4.23,B003VTZAM0,2025-04-01,,11.47,,11.47,6.896551724137932,1,fba,27227,13,1305,1.9666666666666666,1.4553333333333336,12,2,11.685,"Minky Reflector Ironing Board Cover, Metallic, Multicolor, 125 x 45 cm",50+ bought in past month,4.3,1286,1,10,1305,N/A,98.544061302682
Home & Kitchen,20,4.23,B003VTZAM0,2025-04-01,,11.9,9.95,9.95,-7.269338303821073,-5,fbm,27227,13,1305,0.0,0.0,12,2,11.685,"Minky Reflector Ironing Board Cover, Metallic, Multicolor, 125 x 45 cm",50+ bought in past month,4.3,1286,1,10,1305,N/A,98.544061302682
Home & Kitchen,20,4.23,B003VTZAM0,2025-04-02,,11.09,9.79,9.79,-8.7604846225536,-5,fbm,26277,13,1305,0.0,0.0,12,3,11.9,"Minky Reflector Ironing Board Cover, Metallic, Multicolor, 125 x 45 cm",50+ bought in past month,4.3,1286,1,10,1305,N/A,98.544061302682
Home & Kitchen,20,4.23,B003VTZAM0,2025-04-03,,11.47,9.77,9.77,-8.946877912395161,-5,fbm,23798,14,1306,0.0,0.0,9,2,11.47,"Minky Reflector Ironing Board Cover, Metallic, Multicolor, 125 x 45 cm",50+ bought in past month,4.3,1286,1,10,1305,N/A,98.544061302682
Home & Kitchen,20,4.23,B003VTZAM0,2025-04-03,,11.44,9.77,9.77,-8.946877912395161,-5,fbm,23798,14,1306,0.0,0.0,9,2,11.47,"Minky Reflector Ironing Board Cover, Metallic, Multicolor, 125 x 45 cm",50+ bought in past month,4.3,1286,1,10,1305,N/A,98.544061302682
Home & Kitchen,20,4.23,B003VTZAM0,2025-04-03,,11.47,9.38,9.38,-12.581547064305681,-5,fbm,23798,14,1306,0.0,0.0,9,2,11.47,"Minky Reflector Ironing Board Cover, Metallic, Multicolor, 125 x 45 cm",50+ bought in past month,4.3,1286,1,10,1305,N/A,98.544061302682
Home & Kitchen,20,4.23,B003VTZAM0,2025-04-04,,11.34,,11.34,5.684995340167749,1,fba,24888,13,1306,1.9666666666666666,1.1996666666666655,7,2,11.47,"Minky Reflector Ironing Board Cover, Metallic, Multicolor, 125 x 45 cm",50+ bought in past month,4.3,1286,1,10,1305,N/A,98.544061302682
Home & Kitchen,20,4.23,B003VTZAM0,2025-04-05,,11.09,9.79,9.79,-8.7604846225536,-5,fbm,19009,12,1306,0.0,0.0,5,1,11.47,"Minky Reflector Ironing Board Cover, Metallic, Multicolor, 125 x 45 cm",50+ bought in past month,4.3,1286,1,10,1305,N/A,98.544061302682
Home & Kitchen,20,4.23,B003VTZAM0,2025-04-05,,11.47,,11.47,6.896551724137932,1,fba,19009,12,1306,1.9666666666666666,1.4553333333333336,5,1,11.47,"Minky Reflector Ironing Board Cover, Metallic, Multicolor, 125 x 45 cm",50+ bought in past month,4.3,1286,1,10,1305,N/A,98.544061302682
Home & Kitchen,20,4.23,B003VTZAM0,2025-04-06,,11.47,9.77,9.77,-8.946877912395161,-5,fbm,27575,12,1305,0.0,0.0,4,4,11.47,"Minky Reflector Ironing Board Cover, Metallic, Multicolor, 125 x 45 cm",50+ bought in past month,4.3,1286,1,10,1305,N/A,98.544061302682
Home & Kitchen,20,4.23,B003VTZAM0,2025-04-07,,11.47,9.77,9.77,-8.946877912395161,-5,fbm,22464,12,1305,0.0,0.0,1,0,0.0,"Minky Reflector Ironing Board Cover, Metallic, Multicolor, 125 x 45 cm",50+ bought in past month,4.3,1286,1,10,1305,N/A,98.544061302682
