Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Computers & Accessories,20,3.51,B004I2N5AS,2024-10-26,,7.99,7.66,7.66,3.794037940379407,0,fbm,44411,4,700,3.8333333333333335,1.0733333333333344,10,0,0.0,Sandisk SDCZ50-016G-B35 USB 2.0 Flash Drive 16GB Black/Red,100+ bought in past month,4.6,738,2,4,738,N/A,100.0
Computers & Accessories,20,3.51,B004I2N5AS,2024-10-27,,7.99,7.75,7.75,5.013550135501356,1,fbm,50087,,,3.8333333333333335,1.418333333333334,10,0,0.0,Sandisk SDCZ50-016G-B35 USB 2.0 Flash Drive 16GB Black/Red,100+ bought in past month,4.6,738,2,4,738,N/A,100.0
Computers & Accessories,20,3.51,B004I2N5AS,2024-10-28,,7.99,7.75,7.75,5.013550135501356,1,fbm,58369,4,700,3.8333333333333335,1.418333333333334,10,0,0.0,Sandisk SDCZ50-016G-B35 USB 2.0 Flash Drive 16GB Black/Red,100+ bought in past month,4.6,738,2,4,738,N/A,100.0
Computers & Accessories,20,3.51,B004I2N5AS,2024-10-29,,7.99,7.75,7.75,5.013550135501356,1,fbm,33450,4,700,3.8333333333333335,1.418333333333334,10,0,0.0,Sandisk SDCZ50-016G-B35 USB 2.0 Flash Drive 16GB Black/Red,100+ bought in past month,4.6,738,2,4,738,N/A,100.0
Computers & Accessories,20,3.51,B004I2N5AS,2024-10-30,,7.99,7.75,7.75,5.013550135501356,1,fbm,51067,4,700,3.8333333333333335,1.418333333333334,10,0,0.0,Sandisk SDCZ50-016G-B35 USB 2.0 Flash Drive 16GB Black/Red,100+ bought in past month,4.6,738,2,4,738,N/A,100.0
Computers & Accessories,20,3.51,B004I2N5AS,2024-10-31,,7.99,7.74,7.74,4.878048780487809,0,fbm,58508,5,700,3.8333333333333335,1.3800000000000012,10,0,0.0,Sandisk SDCZ50-016G-B35 USB 2.0 Flash Drive 16GB Black/Red,100+ bought in past month,4.6,738,2,4,738,N/A,100.0
Computers & Accessories,20,3.51,B004I2N5AS,2024-11-01,,7.99,7.99,7.99,8.265582655826563,1,fba,63523,5,701,3.8333333333333335,2.3383333333333347,10,0,0.0,Sandisk SDCZ50-016G-B35 USB 2.0 Flash Drive 16GB Black/Red,100+ bought in past month,4.6,738,2,4,738,N/A,100.0
Computers & Accessories,20,3.51,B004I2N5AS,2024-11-02,,7.99,7.99,7.99,8.265582655826563,1,fba,59991,5,701,3.8333333333333335,2.3383333333333347,10,0,0.0,Sandisk SDCZ50-016G-B35 USB 2.0 Flash Drive 16GB Black/Red,100+ bought in past month,4.6,738,2,4,738,N/A,100.0
Computers & Accessories,20,3.51,B004I2N5AS,2024-11-03,,7.99,7.99,7.99,8.265582655826563,1,fba,37263,5,701,3.8333333333333335,2.3383333333333347,10,0,0.0,Sandisk SDCZ50-016G-B35 USB 2.0 Flash Drive 16GB Black/Red,100+ bought in past month,4.6,738,2,4,738,N/A,100.0
Computers & Accessories,20,3.51,B004I2N5AS,2024-11-04,,7.99,7.99,7.99,8.265582655826563,1,fba,32012,5,701,3.8333333333333335,2.3383333333333347,10,0,0.0,Sandisk SDCZ50-016G-B35 USB 2.0 Flash Drive 16GB Black/Red,100+ bought in past month,4.6,738,2,4,738,N/A,100.0
