Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
DIY & Tools,20,1.61,B004TRSSIQ,2025-02-20,8.44,6.94,7.0,6.94,17.627118644067796,2,fba,11247,10,667,7.333333333333333,7.626666666666667,15,3,6.9366666666666665,"Masterplug ELS132B-01 Permaplug Two Socket Trailing Socket, without Plug and Cable, 13 Amp, Black",200+ bought in past month,4.6,671,2,10,671,N/A,100.0
DIY & Tools,20,1.61,B004TRSSIQ,2025-02-21,8.43,6.95,7.0,6.95,17.796610169491522,2,fba,10571,10,667,7.333333333333333,7.699999999999998,12,0,0.0,"Masterplug ELS132B-01 Permaplug Two Socket Trailing Socket, without Plug and Cable, 13 Amp, Black",200+ bought in past month,4.6,671,2,10,671,N/A,100.0
DIY & Tools,20,1.61,B004TRSSIQ,2025-02-21,8.19,6.94,7.0,6.94,17.627118644067796,2,fba,10571,10,667,7.333333333333333,7.626666666666667,12,0,0.0,"Masterplug ELS132B-01 Permaplug Two Socket Trailing Socket, without Plug and Cable, 13 Amp, Black",200+ bought in past month,4.6,671,2,10,671,N/A,100.0
DIY & Tools,20,1.61,B004TRSSIQ,2025-02-22,8.17,6.94,7.0,6.94,17.627118644067796,2,fba,17911,11,667,7.333333333333333,7.626666666666667,12,1,6.95,"Masterplug ELS132B-01 Permaplug Two Socket Trailing Socket, without Plug and Cable, 13 Amp, Black",200+ bought in past month,4.6,671,2,10,671,N/A,100.0
DIY & Tools,20,1.61,B004TRSSIQ,2025-02-23,8.17,6.94,7.0,6.94,17.627118644067796,2,fba,18675,10,667,7.333333333333333,7.626666666666667,11,1,6.96,"Masterplug ELS132B-01 Permaplug Two Socket Trailing Socket, without Plug and Cable, 13 Amp, Black",200+ bought in past month,4.6,671,2,10,671,N/A,100.0
DIY & Tools,20,1.61,B004TRSSIQ,2025-02-24,8.17,6.95,7.0,6.95,17.796610169491522,2,fba,16021,9,667,7.333333333333333,7.699999999999998,10,4,6.95,"Masterplug ELS132B-01 Permaplug Two Socket Trailing Socket, without Plug and Cable, 13 Amp, Black",200+ bought in past month,4.6,671,2,10,671,N/A,100.0
DIY & Tools,20,1.61,B004TRSSIQ,2025-02-25,8.37,6.95,7.0,6.95,17.796610169491522,2,fba,25800,9,667,7.333333333333333,7.699999999999998,5,6,5.219166666666667,"Masterplug ELS132B-01 Permaplug Two Socket Trailing Socket, without Plug and Cable, 13 Amp, Black",200+ bought in past month,4.6,671,2,10,671,N/A,100.0
DIY & Tools,20,1.61,B004TRSSIQ,2025-03-22,7.79,6.1,7.0,6.1,3.3898305084745637,0,fba,9774,12,667,7.333333333333333,1.4666666666666615,8,0,0.0,"Masterplug ELS132B-01 Permaplug Two Socket Trailing Socket, without Plug and Cable, 13 Amp, Black",200+ bought in past month,4.6,671,2,10,671,N/A,100.0
DIY & Tools,20,1.61,B004TRSSIQ,2025-03-23,7.56,6.1,7.0,6.1,3.3898305084745637,0,fba,9774,12,667,7.333333333333333,1.4666666666666615,13,0,0.0,"Masterplug ELS132B-01 Permaplug Two Socket Trailing Socket, without Plug and Cable, 13 Amp, Black",200+ bought in past month,4.6,671,2,10,671,N/A,100.0
DIY & Tools,20,1.61,B004TRSSIQ,2025-03-24,7.46,6.47,7.0,6.47,9.66101694915253,1,fba,8190,13,667,7.333333333333333,4.179999999999995,19,6,5.8229999999999995,"Masterplug ELS132B-01 Permaplug Two Socket Trailing Socket, without Plug and Cable, 13 Amp, Black",200+ bought in past month,4.6,671,2,10,671,N/A,100.0
