Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Home & Kitchen,20,2.42,B0052VXJGO,2025-02-18,9.99,9.99,12.95,9.99,21.82926829268294,3,amazon,18115,7,9138,1.4666666666666666,2.6253333333333346,2,0,0.0,"Fackelmann OPAL Skimmer, Straining Spoon, Frying Strainer, Fine Mesh, Medium Spider Ladle Stainless Steel, 37.5x12x5.5cm, Silver",,4.5,5542,1,7,9219,N/A,60.114979932747595
Home & Kitchen,20,2.42,B0052VXJGO,2025-02-19,9.99,9.99,12.79,9.99,21.82926829268294,3,amazon,14093,7,9140,1.4666666666666666,2.6253333333333346,2,0,0.0,"Fackelmann OPAL Skimmer, Straining Spoon, Frying Strainer, Fine Mesh, Medium Spider Ladle Stainless Steel, 37.5x12x5.5cm, Silver",,4.5,5542,1,7,9219,N/A,60.114979932747595
Home & Kitchen,20,2.42,B0052VXJGO,2025-02-20,9.99,9.99,,9.99,21.82926829268294,3,amazon,19691,6,9141,1.4666666666666666,2.6253333333333346,5,0,0.0,"Fackelmann OPAL Skimmer, Straining Spoon, Frying Strainer, Fine Mesh, Medium Spider Ladle Stainless Steel, 37.5x12x5.5cm, Silver",,4.5,5542,1,7,9219,N/A,60.114979932747595
Home & Kitchen,20,2.42,B0052VXJGO,2025-02-21,9.99,9.96,12.95,9.96,21.463414634146364,3,fba,20224,6,9144,1.4666666666666666,2.5813333333333355,12,0,0.0,"Fackelmann OPAL Skimmer, Straining Spoon, Frying Strainer, Fine Mesh, Medium Spider Ladle Stainless Steel, 37.5x12x5.5cm, Silver",,4.5,5542,1,7,9219,N/A,60.114979932747595
Home & Kitchen,20,2.42,B0052VXJGO,2025-02-22,9.99,9.94,12.95,9.94,21.219512195121958,3,fba,16170,8,9145,1.4666666666666666,2.552,12,0,0.0,"Fackelmann OPAL Skimmer, Straining Spoon, Frying Strainer, Fine Mesh, Medium Spider Ladle Stainless Steel, 37.5x12x5.5cm, Silver",,4.5,5542,1,7,9219,N/A,60.114979932747595
Home & Kitchen,20,2.42,B0052VXJGO,2025-02-23,9.99,9.97,12.95,9.97,21.585365853658555,3,fba,14611,8,9154,1.4666666666666666,2.596000000000002,12,0,0.0,"Fackelmann OPAL Skimmer, Straining Spoon, Frying Strainer, Fine Mesh, Medium Spider Ladle Stainless Steel, 37.5x12x5.5cm, Silver",,4.5,5542,1,7,9219,N/A,60.114979932747595
Home & Kitchen,20,2.42,B0052VXJGO,2025-02-24,9.99,9.97,12.79,9.97,21.585365853658555,3,fba,12730,8,9156,1.4666666666666666,2.596000000000002,12,0,0.0,"Fackelmann OPAL Skimmer, Straining Spoon, Frying Strainer, Fine Mesh, Medium Spider Ladle Stainless Steel, 37.5x12x5.5cm, Silver",,4.5,5542,1,7,9219,N/A,60.114979932747595
Home & Kitchen,20,2.42,B0052VXJGO,2025-02-25,9.99,9.99,12.65,9.99,21.82926829268294,3,amazon,16955,8,9157,1.4666666666666666,2.6253333333333346,12,0,0.0,"Fackelmann OPAL Skimmer, Straining Spoon, Frying Strainer, Fine Mesh, Medium Spider Ladle Stainless Steel, 37.5x12x5.5cm, Silver",,4.5,5542,1,7,9219,N/A,60.114979932747595
Home & Kitchen,20,2.42,B0052VXJGO,2025-02-26,9.99,9.95,,9.95,21.34146341463415,3,fba,16253,7,9158,1.4666666666666666,2.5666666666666664,12,0,0.0,"Fackelmann OPAL Skimmer, Straining Spoon, Frying Strainer, Fine Mesh, Medium Spider Ladle Stainless Steel, 37.5x12x5.5cm, Silver",,4.5,5542,1,7,9219,N/A,60.114979932747595
Home & Kitchen,20,2.42,B0052VXJGO,2025-02-27,9.99,9.99,12.95,9.99,21.82926829268294,3,amazon,12499,8,9159,1.4666666666666666,2.6253333333333346,12,0,0.0,"Fackelmann OPAL Skimmer, Straining Spoon, Frying Strainer, Fine Mesh, Medium Spider Ladle Stainless Steel, 37.5x12x5.5cm, Silver",,4.5,5542,1,7,9219,N/A,60.114979932747595
