Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
DIY & Tools,20,4.29,B006PFN3BW,2024-10-26,,11.17,,11.17,4.100652376514441,0,fba,2519,17,571,18.333333333333332,8.066666666666658,354,27,11.2425,Everbuild Industrial Grade Superglue GP 50 g Pack of 3,500+ bought in past month,4.6,644,10,10,644,N/A,100.0
DIY & Tools,20,4.29,B006PFN3BW,2024-10-27,,11.17,8.75,8.75,-18.45293569431501,-5,fbm,2077,,,0.0,0.0,327,25,10.40840909090909,Everbuild Industrial Grade Superglue GP 50 g Pack of 3,500+ bought in past month,4.6,644,10,10,644,N/A,100.0
DIY & Tools,20,4.29,B006PFN3BW,2024-10-28,,11.17,8.75,8.75,-18.45293569431501,-5,fbm,2085,17,571,0.0,0.0,303,20,11.17,Everbuild Industrial Grade Superglue GP 50 g Pack of 3,500+ bought in past month,4.6,644,10,10,644,N/A,100.0
DIY & Tools,20,4.29,B006PFN3BW,2024-10-29,,11.17,8.75,8.75,-18.45293569431501,-5,fbm,2402,16,571,0.0,0.0,282,18,10.368125,Everbuild Industrial Grade Superglue GP 50 g Pack of 3,500+ bought in past month,4.6,644,10,10,644,N/A,100.0
DIY & Tools,20,4.29,B006PFN3BW,2024-10-30,,11.17,8.75,8.75,-18.45293569431501,-5,fbm,2326,16,571,0.0,0.0,264,27,10.955192307692307,Everbuild Industrial Grade Superglue GP 50 g Pack of 3,500+ bought in past month,4.6,644,10,10,644,N/A,100.0
DIY & Tools,20,4.29,B006PFN3BW,2024-10-31,,11.17,8.75,8.75,-18.45293569431501,-5,fbm,2142,16,572,0.0,0.0,237,11,11.17,Everbuild Industrial Grade Superglue GP 50 g Pack of 3,500+ bought in past month,4.6,644,10,10,644,N/A,100.0
DIY & Tools,20,4.29,B006PFN3BW,2024-11-01,,11.17,8.75,8.75,-18.45293569431501,-5,fbm,2048,16,572,0.0,0.0,226,38,10.755114285714285,Everbuild Industrial Grade Superglue GP 50 g Pack of 3,500+ bought in past month,4.6,644,10,10,644,N/A,100.0
DIY & Tools,20,4.29,B006PFN3BW,2024-11-02,,11.17,8.75,8.75,-18.45293569431501,-5,fbm,1847,16,573,0.0,0.0,188,18,11.17,Everbuild Industrial Grade Superglue GP 50 g Pack of 3,500+ bought in past month,4.6,644,10,10,644,N/A,100.0
DIY & Tools,20,4.29,B006PFN3BW,2024-11-03,,11.17,8.75,8.75,-18.45293569431501,-5,fbm,2146,16,574,0.0,0.0,170,19,11.17,Everbuild Industrial Grade Superglue GP 50 g Pack of 3,500+ bought in past month,4.6,644,10,10,644,N/A,100.0
DIY & Tools,20,4.29,B006PFN3BW,2024-11-04,,11.17,8.75,8.75,-18.45293569431501,-5,fbm,2118,17,574,0.0,0.0,151,27,10.8209375,Everbuild Industrial Grade Superglue GP 50 g Pack of 3,500+ bought in past month,4.6,644,10,10,644,N/A,100.0
