Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Home & Kitchen,20,2.36,B00ANP09LM,2025-02-18,9.39,11.24,8.28,8.28,8.376963350785337,1,fbm,27506,5,1247,3.8333333333333335,2.4533333333333323,3,2,11.31,"Easycook NS613R Easy Cook Polly Carbonate Non-Staining Microwave Sauce Pan and Lid, Red",100+ bought in past month,4.4,1248,6,10,1248,N/A,100.0
Home & Kitchen,20,2.36,B00ANP09LM,2025-02-18,9.39,14.05,5.79,5.79,-24.21465968586387,-5,fbm,27506,5,1247,0.0,0.0,3,2,11.31,"Easycook NS613R Easy Cook Polly Carbonate Non-Staining Microwave Sauce Pan and Lid, Red",100+ bought in past month,4.4,1248,6,10,1248,N/A,100.0
Home & Kitchen,20,2.36,B00ANP09LM,2025-02-18,9.39,11.29,5.8,5.8,-24.083769633507853,-5,fbm,27506,5,1247,0.0,0.0,3,2,11.31,"Easycook NS613R Easy Cook Polly Carbonate Non-Staining Microwave Sauce Pan and Lid, Red",100+ bought in past month,4.4,1248,6,10,1248,N/A,100.0
Home & Kitchen,20,2.36,B00ANP09LM,2025-02-18,9.39,11.24,,9.39,22.905759162303678,3,amazon,27506,5,1247,3.8333333333333335,6.708333333333337,3,2,11.31,"Easycook NS613R Easy Cook Polly Carbonate Non-Staining Microwave Sauce Pan and Lid, Red",100+ bought in past month,4.4,1248,6,10,1248,N/A,100.0
Home & Kitchen,20,2.36,B00ANP09LM,2025-02-18,9.39,14.05,5.79,5.79,-24.21465968586387,-5,fbm,27506,5,1247,0.0,0.0,3,2,11.31,"Easycook NS613R Easy Cook Polly Carbonate Non-Staining Microwave Sauce Pan and Lid, Red",100+ bought in past month,4.4,1248,6,10,1248,N/A,100.0
Home & Kitchen,20,2.36,B00ANP09LM,2025-02-18,8.71,11.38,5.79,5.79,-24.21465968586387,-5,fbm,27506,5,1247,0.0,0.0,3,2,11.31,"Easycook NS613R Easy Cook Polly Carbonate Non-Staining Microwave Sauce Pan and Lid, Red",100+ bought in past month,4.4,1248,6,10,1248,N/A,100.0
Home & Kitchen,20,2.36,B00ANP09LM,2025-02-18,9.23,11.44,5.79,5.79,-24.21465968586387,-5,fbm,27506,5,1247,0.0,0.0,3,2,11.31,"Easycook NS613R Easy Cook Polly Carbonate Non-Staining Microwave Sauce Pan and Lid, Red",100+ bought in past month,4.4,1248,6,10,1248,N/A,100.0
Home & Kitchen,20,2.36,B00ANP09LM,2025-02-19,9.08,11.0,5.79,5.79,-24.21465968586387,-5,fbm,26068,5,1247,0.0,0.0,3,3,12.046666666666667,"Easycook NS613R Easy Cook Polly Carbonate Non-Staining Microwave Sauce Pan and Lid, Red",100+ bought in past month,4.4,1248,6,10,1248,N/A,100.0
Home & Kitchen,20,2.36,B00ANP09LM,2025-02-19,8.8,14.05,5.79,5.79,-24.21465968586387,-5,fbm,26068,5,1247,0.0,0.0,3,3,12.046666666666667,"Easycook NS613R Easy Cook Polly Carbonate Non-Staining Microwave Sauce Pan and Lid, Red",100+ bought in past month,4.4,1248,6,10,1248,N/A,100.0
Home & Kitchen,20,2.36,B00ANP09LM,2025-02-19,8.55,11.0,8.28,8.28,8.376963350785337,1,fbm,26068,5,1247,3.8333333333333335,2.4533333333333323,3,3,12.046666666666667,"Easycook NS613R Easy Cook Polly Carbonate Non-Staining Microwave Sauce Pan and Lid, Red",100+ bought in past month,4.4,1248,6,10,1248,N/A,100.0
Home & Kitchen,20,2.36,B00ANP09LM,2025-02-19,9.63,11.15,7.55,7.55,-1.1780104712041866,-5,fbm,26068,5,1247,0.0,0.0,3,3,12.046666666666667,"Easycook NS613R Easy Cook Polly Carbonate Non-Staining Microwave Sauce Pan and Lid, Red",100+ bought in past month,4.4,1248,6,10,1248,N/A,100.0
Home & Kitchen,20,2.36,B00ANP09LM,2025-02-19,9.51,14.05,,9.51,24.476439790575917,3,amazon,26068,5,1247,3.8333333333333335,7.168333333333334,3,3,12.046666666666667,"Easycook NS613R Easy Cook Polly Carbonate Non-Staining Microwave Sauce Pan and Lid, Red",100+ bought in past month,4.4,1248,6,10,1248,N/A,100.0
Home & Kitchen,20,2.36,B00ANP09LM,2025-02-20,9.55,10.95,,9.55,25.000000000000018,3,amazon,25347,4,1248,3.8333333333333335,7.321666666666671,2,1,11.09,"Easycook NS613R Easy Cook Polly Carbonate Non-Staining Microwave Sauce Pan and Lid, Red",100+ bought in past month,4.4,1248,6,10,1248,N/A,100.0
Home & Kitchen,20,2.36,B00ANP09LM,2025-02-20,9.25,11.0,,9.25,21.073298429319376,3,amazon,25347,4,1248,3.8333333333333335,6.171666666666668,2,1,11.09,"Easycook NS613R Easy Cook Polly Carbonate Non-Staining Microwave Sauce Pan and Lid, Red",100+ bought in past month,4.4,1248,6,10,1248,N/A,100.0
Home & Kitchen,20,2.36,B00ANP09LM,2025-02-20,9.29,11.09,7.07,7.07,-7.460732984293187,-5,fbm,25347,4,1248,0.0,0.0,2,1,11.09,"Easycook NS613R Easy Cook Polly Carbonate Non-Staining Microwave Sauce Pan and Lid, Red",100+ bought in past month,4.4,1248,6,10,1248,N/A,100.0
Home & Kitchen,20,2.36,B00ANP09LM,2025-02-21,9.33,12.15,7.85,7.85,2.7486910994764395,0,fbm,18430,4,1248,3.8333333333333335,0.8049999999999999,3,3,12.07,"Easycook NS613R Easy Cook Polly Carbonate Non-Staining Microwave Sauce Pan and Lid, Red",100+ bought in past month,4.4,1248,6,10,1248,N/A,100.0
Home & Kitchen,20,2.36,B00ANP09LM,2025-02-21,9.37,12.07,7.85,7.85,2.7486910994764395,0,fbm,18430,4,1248,3.8333333333333335,0.8049999999999999,3,3,12.07,"Easycook NS613R Easy Cook Polly Carbonate Non-Staining Microwave Sauce Pan and Lid, Red",100+ bought in past month,4.4,1248,6,10,1248,N/A,100.0
Home & Kitchen,20,2.36,B00ANP09LM,2025-02-24,7.84,12.07,7.59,7.59,-0.6544502617801025,-5,fbm,26722,4,1220,0.0,0.0,1,1,12.07,"Easycook NS613R Easy Cook Polly Carbonate Non-Staining Microwave Sauce Pan and Lid, Red",100+ bought in past month,4.4,1248,6,10,1248,N/A,100.0
