Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Toys & Games,20,7.68,B00BUY54DI,2024-10-26,,18.0,19.99,18.0,12.852664576802514,2,fba,25262,15,2148,1.4,2.870000000000001,15,0,0.0,Funko POP! Vinyl Alien,,4.7,2263,1,10,2263,N/A,100.0
Toys & Games,20,7.68,B00BUY54DI,2024-10-27,,18.0,19.99,18.0,12.852664576802514,2,fba,43872,15,2147,1.4,2.870000000000001,15,0,0.0,Funko POP! Vinyl Alien,,4.7,2263,1,10,2263,N/A,100.0
Toys & Games,20,7.68,B00BUY54DI,2024-10-28,,18.0,19.99,18.0,12.852664576802514,2,fba,27461,16,2147,1.4,2.870000000000001,15,2,18.0,Funko POP! Vinyl Alien,,4.7,2263,1,10,2263,N/A,100.0
Toys & Games,20,7.68,B00BUY54DI,2024-10-29,,14.9,19.99,14.9,-6.583072100313474,-5,fba,32207,16,2147,0.0,0.0,13,3,16.863333333333333,Funko POP! Vinyl Alien,,4.7,2263,1,10,2263,N/A,100.0
Toys & Games,20,7.68,B00BUY54DI,2024-10-30,,14.9,19.99,14.9,-6.583072100313474,-5,fba,26856,16,2147,0.0,0.0,10,2,15.204999999999998,Funko POP! Vinyl Alien,,4.7,2263,1,10,2263,N/A,100.0
Toys & Games,20,7.68,B00BUY54DI,2024-10-31,,14.9,19.99,14.9,-6.583072100313474,-5,fba,14712,17,2147,0.0,0.0,8,5,17.589999999999996,Funko POP! Vinyl Alien,,4.7,2263,1,10,2263,N/A,100.0
Toys & Games,20,7.68,B00BUY54DI,2024-11-01,,14.9,19.99,14.9,-6.583072100313474,-5,fba,19496,16,2147,0.0,0.0,3,1,17.7,Funko POP! Vinyl Alien,,4.7,2263,1,10,2263,N/A,100.0
Toys & Games,20,7.68,B00BUY54DI,2024-11-02,,18.0,19.99,18.0,12.852664576802514,2,fba,23565,18,2148,1.4,2.870000000000001,2,1,18.0,Funko POP! Vinyl Alien,,4.7,2263,1,10,2263,N/A,100.0
Toys & Games,20,7.68,B00BUY54DI,2024-11-03,,18.49,14.96,14.96,-6.206896551724128,-5,fbm,20395,17,2148,0.0,0.0,1,1,18.49,Funko POP! Vinyl Alien,,4.7,2263,1,10,2263,N/A,100.0
Toys & Games,20,7.68,B00BUY54DI,2024-11-14,,18.49,19.99,18.49,15.924764890282129,2,fba,30664,17,2154,1.4,3.5559999999999987,3,0,0.0,Funko POP! Vinyl Alien,,4.7,2263,1,10,2263,N/A,100.0
Toys & Games,20,7.68,B00BUY54DI,2024-11-15,,18.9,19.99,18.9,18.49529780564263,2,fba,17682,17,2156,1.4,4.129999999999999,15,0,0.0,Funko POP! Vinyl Alien,,4.7,2263,1,10,2263,N/A,100.0
Toys & Games,20,7.68,B00BUY54DI,2024-11-16,,18.9,19.99,18.9,18.49529780564263,2,fba,24242,19,2155,1.4,4.129999999999999,15,0,0.0,Funko POP! Vinyl Alien,,4.7,2263,1,10,2263,N/A,100.0
Toys & Games,20,7.68,B00BUY54DI,2024-11-17,,18.9,19.99,18.9,18.49529780564263,2,fba,24606,18,2156,1.4,4.129999999999999,15,1,18.9,Funko POP! Vinyl Alien,,4.7,2263,1,10,2263,N/A,100.0
Toys & Games,20,7.68,B00BUY54DI,2024-11-18,,18.9,19.99,18.9,18.49529780564263,2,fba,18372,18,2156,1.4,4.129999999999999,19,0,0.0,Funko POP! Vinyl Alien,,4.7,2263,1,10,2263,N/A,100.0
Toys & Games,20,7.68,B00BUY54DI,2024-11-19,,18.9,19.99,18.9,18.49529780564263,2,fba,15413,17,2156,1.4,4.129999999999999,19,2,18.9,Funko POP! Vinyl Alien,,4.7,2263,1,10,2263,N/A,100.0
Toys & Games,20,7.68,B00BUY54DI,2024-11-20,,18.9,19.99,18.9,18.49529780564263,2,fba,21163,18,2155,1.4,4.129999999999999,17,2,18.9,Funko POP! Vinyl Alien,,4.7,2263,1,10,2263,N/A,100.0
Toys & Games,20,7.68,B00BUY54DI,2024-11-21,,18.9,19.99,18.9,18.49529780564263,2,fba,13982,19,2156,1.4,4.129999999999999,15,5,19.415999999999997,Funko POP! Vinyl Alien,,4.7,2263,1,10,2263,N/A,100.0
Toys & Games,20,7.68,B00BUY54DI,2024-11-22,,18.9,19.99,18.9,18.49529780564263,2,fba,16036,19,2156,1.4,4.129999999999999,10,3,18.48333333333333,Funko POP! Vinyl Alien,,4.7,2263,1,10,2263,N/A,100.0
Toys & Games,20,7.68,B00BUY54DI,2024-11-23,,18.9,19.99,18.9,18.49529780564263,2,fba,18569,19,2156,1.4,4.129999999999999,7,3,18.113333333333333,Funko POP! Vinyl Alien,,4.7,2263,1,10,2263,N/A,100.0
Toys & Games,20,7.68,B00BUY54DI,2024-11-24,,18.9,19.99,18.9,18.49529780564263,2,fba,17422,19,2156,1.4,4.129999999999999,4,4,25.99,Funko POP! Vinyl Alien,,4.7,2263,1,10,2263,N/A,100.0
Toys & Games,20,7.68,B00BUY54DI,2024-11-26,,19.9,,19.9,24.764890282131656,3,fba,13561,19,2157,1.4,5.5299999999999985,1,0,0.0,Funko POP! Vinyl Alien,,4.7,2263,1,10,2263,N/A,100.0
Toys & Games,20,7.68,B00BUY54DI,2024-11-27,,19.9,18.99,18.99,19.059561128526642,2,fbm,12800,18,2158,1.4,4.2559999999999985,13,4,19.9,Funko POP! Vinyl Alien,,4.7,2263,1,10,2263,N/A,100.0
Toys & Games,20,7.68,B00BUY54DI,2024-11-28,,19.9,18.99,18.99,19.059561128526642,2,fbm,10573,17,2161,1.4,4.2559999999999985,16,5,19.9,Funko POP! Vinyl Alien,,4.7,2263,1,10,2263,N/A,100.0
Toys & Games,20,7.68,B00BUY54DI,2024-11-29,,19.9,18.99,18.99,19.059561128526642,2,fbm,9330,15,2163,1.4,4.2559999999999985,11,12,19.9,Funko POP! Vinyl Alien,,4.7,2263,1,10,2263,N/A,100.0
