Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
DIY & Tools,20,0.52,B00F4LA0K0,2025-02-20,,3.22,,3.22,3.8709677419354875,0,fba,17973,10,2271,3.8333333333333335,0.4600000000000004,36,0,0.0,"Chef Aid Cocktail Sticks, Pack of 200 Stick perfect for Buffets and Cocktails use, The Skewer design helps hold sweet and savoury foods, Each cocktails stick measures 8 cm",100+ bought in past month,4.6,2290,1,10,2290,N/A,100.0
DIY & Tools,20,0.52,B00F4LA0K0,2025-02-21,,3.26,3.86,3.26,5.161290322580635,1,fba,21581,10,2272,3.8333333333333335,0.6133333333333322,35,0,0.0,"Chef Aid Cocktail Sticks, Pack of 200 Stick perfect for Buffets and Cocktails use, The Skewer design helps hold sweet and savoury foods, Each cocktails stick measures 8 cm",100+ bought in past month,4.6,2290,1,10,2290,N/A,100.0
DIY & Tools,20,0.52,B00F4LA0K0,2025-02-22,,3.26,3.92,3.26,5.161290322580635,1,fba,28009,10,2272,3.8333333333333335,0.6133333333333322,35,0,0.0,"Chef Aid Cocktail Sticks, Pack of 200 Stick perfect for Buffets and Cocktails use, The Skewer design helps hold sweet and savoury foods, Each cocktails stick measures 8 cm",100+ bought in past month,4.6,2290,1,10,2290,N/A,100.0
DIY & Tools,20,0.52,B00F4LA0K0,2025-02-23,,3.26,3.89,3.26,5.161290322580635,1,fba,30835,10,2272,3.8333333333333335,0.6133333333333322,35,0,0.0,"Chef Aid Cocktail Sticks, Pack of 200 Stick perfect for Buffets and Cocktails use, The Skewer design helps hold sweet and savoury foods, Each cocktails stick measures 8 cm",100+ bought in past month,4.6,2290,1,10,2290,N/A,100.0
DIY & Tools,20,0.52,B00F4LA0K0,2025-02-24,,3.26,3.65,3.26,5.161290322580635,1,fba,21374,10,2274,3.8333333333333335,0.6133333333333322,35,0,0.0,"Chef Aid Cocktail Sticks, Pack of 200 Stick perfect for Buffets and Cocktails use, The Skewer design helps hold sweet and savoury foods, Each cocktails stick measures 8 cm",100+ bought in past month,4.6,2290,1,10,2290,N/A,100.0
DIY & Tools,20,0.52,B00F4LA0K0,2025-02-25,,3.26,3.65,3.26,5.161290322580635,1,fba,26105,10,2274,3.8333333333333335,0.6133333333333322,35,0,0.0,"Chef Aid Cocktail Sticks, Pack of 200 Stick perfect for Buffets and Cocktails use, The Skewer design helps hold sweet and savoury foods, Each cocktails stick measures 8 cm",100+ bought in past month,4.6,2290,1,10,2290,N/A,100.0
DIY & Tools,20,0.52,B00F4LA0K0,2025-02-26,,3.26,3.65,3.26,5.161290322580635,1,fba,16252,10,2275,3.8333333333333335,0.6133333333333322,35,0,0.0,"Chef Aid Cocktail Sticks, Pack of 200 Stick perfect for Buffets and Cocktails use, The Skewer design helps hold sweet and savoury foods, Each cocktails stick measures 8 cm",100+ bought in past month,4.6,2290,1,10,2290,N/A,100.0
DIY & Tools,20,0.52,B00F4LA0K0,2025-02-27,,3.25,3.81,3.25,4.838709677419352,0,fba,19578,10,2275,3.8333333333333335,0.5749999999999997,35,0,0.0,"Chef Aid Cocktail Sticks, Pack of 200 Stick perfect for Buffets and Cocktails use, The Skewer design helps hold sweet and savoury foods, Each cocktails stick measures 8 cm",100+ bought in past month,4.6,2290,1,10,2290,N/A,100.0
DIY & Tools,20,0.52,B00F4LA0K0,2025-02-28,,3.25,3.81,3.25,4.838709677419352,0,fba,14066,11,2275,3.8333333333333335,0.5749999999999997,35,0,0.0,"Chef Aid Cocktail Sticks, Pack of 200 Stick perfect for Buffets and Cocktails use, The Skewer design helps hold sweet and savoury foods, Each cocktails stick measures 8 cm",100+ bought in past month,4.6,2290,1,10,2290,N/A,100.0
DIY & Tools,20,0.52,B00F4LA0K0,2025-03-01,,3.25,3.74,3.25,4.838709677419352,0,fba,13477,11,2275,3.8333333333333335,0.5749999999999997,35,0,0.0,"Chef Aid Cocktail Sticks, Pack of 200 Stick perfect for Buffets and Cocktails use, The Skewer design helps hold sweet and savoury foods, Each cocktails stick measures 8 cm",100+ bought in past month,4.6,2290,1,10,2290,N/A,100.0
