Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Toys & Games,20,0.69,B00FAQCE08,2024-10-26,,4.49,4.48,4.48,34.93975903614459,3,fbm,167578,7,1528,0.26666666666666666,0.30933333333333346,15,0,0.0,"Ultimate Guard UGD010069 Japanese Size Classic Soft Card Sleeves (Pack of 100, Transparent)",,4.2,1542,0,10,1542,N/A,100.0
Toys & Games,20,0.69,B00FAQCE08,2024-10-27,,4.49,4.48,4.48,34.93975903614459,3,fbm,175289,,,0.26666666666666666,0.30933333333333346,15,0,0.0,"Ultimate Guard UGD010069 Japanese Size Classic Soft Card Sleeves (Pack of 100, Transparent)",,4.2,1542,0,10,1542,N/A,100.0
Toys & Games,20,0.69,B00FAQCE08,2024-10-28,,4.49,4.48,4.48,34.93975903614459,3,fbm,176559,7,1528,0.26666666666666666,0.30933333333333346,15,0,0.0,"Ultimate Guard UGD010069 Japanese Size Classic Soft Card Sleeves (Pack of 100, Transparent)",,4.2,1542,0,10,1542,N/A,100.0
Toys & Games,20,0.69,B00FAQCE08,2024-10-29,,4.49,4.48,4.48,34.93975903614459,3,fbm,182265,14,1528,0.26666666666666666,0.30933333333333346,15,3,7.496666666666667,"Ultimate Guard UGD010069 Japanese Size Classic Soft Card Sleeves (Pack of 100, Transparent)",,4.2,1542,0,10,1542,N/A,100.0
Toys & Games,20,0.69,B00FAQCE08,2024-10-30,,4.49,4.48,4.48,34.93975903614459,3,fbm,75259,7,1528,0.26666666666666666,0.30933333333333346,12,2,2.245,"Ultimate Guard UGD010069 Japanese Size Classic Soft Card Sleeves (Pack of 100, Transparent)",,4.2,1542,0,10,1542,N/A,100.0
Toys & Games,20,0.69,B00FAQCE08,2024-10-31,,4.49,4.48,4.48,34.93975903614459,3,fbm,88809,7,1528,0.26666666666666666,0.30933333333333346,9,0,0.0,"Ultimate Guard UGD010069 Japanese Size Classic Soft Card Sleeves (Pack of 100, Transparent)",,4.2,1542,0,10,1542,N/A,100.0
Toys & Games,20,0.69,B00FAQCE08,2024-11-01,,4.49,4.48,4.48,34.93975903614459,3,fbm,107319,14,1528,0.26666666666666666,0.30933333333333346,10,0,0.0,"Ultimate Guard UGD010069 Japanese Size Classic Soft Card Sleeves (Pack of 100, Transparent)",,4.2,1542,0,10,1542,N/A,100.0
Toys & Games,20,0.69,B00FAQCE08,2024-11-02,,4.49,4.48,4.48,34.93975903614459,3,fbm,107319,14,1528,0.26666666666666666,0.30933333333333346,10,0,0.0,"Ultimate Guard UGD010069 Japanese Size Classic Soft Card Sleeves (Pack of 100, Transparent)",,4.2,1542,0,10,1542,N/A,100.0
Toys & Games,20,0.69,B00FAQCE08,2024-11-03,,4.49,4.48,4.48,34.93975903614459,3,fbm,104046,14,1528,0.26666666666666666,0.30933333333333346,10,0,0.0,"Ultimate Guard UGD010069 Japanese Size Classic Soft Card Sleeves (Pack of 100, Transparent)",,4.2,1542,0,10,1542,N/A,100.0
Toys & Games,20,0.69,B00FAQCE08,2024-11-04,,4.49,4.48,4.48,34.93975903614459,3,fbm,98885,13,1528,0.26666666666666666,0.30933333333333346,10,0,0.0,"Ultimate Guard UGD010069 Japanese Size Classic Soft Card Sleeves (Pack of 100, Transparent)",,4.2,1542,0,10,1542,N/A,100.0
Toys & Games,20,0.69,B00FAQCE08,2024-11-05,,4.49,4.48,4.48,34.93975903614459,3,fbm,98885,13,1528,0.26666666666666666,0.30933333333333346,10,3,1.4966666666666668,"Ultimate Guard UGD010069 Japanese Size Classic Soft Card Sleeves (Pack of 100, Transparent)",,4.2,1542,0,10,1542,N/A,100.0
