Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Home & Kitchen,20,0.83,B00LDLBG3A,2025-03-31,,5.53,,5.53,4.143126177024494,0,fba,3402,20,3775,11.0,2.420000000000007,32,0,0.0,Ravenhead Essentials Vinegar Pot,300+ bought in past month,4.6,3841,10,10,3780,N/A,101.61375661375662
Home & Kitchen,20,0.83,B00LDLBG3A,2025-04-01,,5.51,,5.51,3.766478342749533,0,fba,3714,21,3775,11.0,2.200000000000002,34,0,0.0,Ravenhead Essentials Vinegar Pot,300+ bought in past month,4.6,3841,10,10,3780,N/A,101.61375661375662
Home & Kitchen,20,0.83,B00LDLBG3A,2025-04-02,,5.47,,5.47,3.0131826741996264,0,fba,3991,21,3775,11.0,1.7600000000000016,34,10,5.47,Ravenhead Essentials Vinegar Pot,300+ bought in past month,4.6,3841,10,10,3780,N/A,101.61375661375662
Home & Kitchen,20,0.83,B00LDLBG3A,2025-04-02,,5.45,,5.45,2.636534839924681,0,fba,3991,21,3775,11.0,1.5400000000000063,34,10,5.47,Ravenhead Essentials Vinegar Pot,300+ bought in past month,4.6,3841,10,10,3780,N/A,101.61375661375662
Home & Kitchen,20,0.83,B00LDLBG3A,2025-04-02,,5.47,,5.47,3.0131826741996264,0,fba,3991,21,3775,11.0,1.7600000000000016,34,10,5.47,Ravenhead Essentials Vinegar Pot,300+ bought in past month,4.6,3841,10,10,3780,N/A,101.61375661375662
Home & Kitchen,20,0.83,B00LDLBG3A,2025-04-03,,5.45,,5.45,2.636534839924681,0,fba,4126,20,3777,11.0,1.5400000000000063,24,4,5.44,Ravenhead Essentials Vinegar Pot,300+ bought in past month,4.6,3841,10,10,3780,N/A,101.61375661375662
Home & Kitchen,20,0.83,B00LDLBG3A,2025-04-03,,5.42,,5.42,2.071563088512247,0,fba,4126,20,3777,11.0,1.2100000000000035,24,4,5.44,Ravenhead Essentials Vinegar Pot,300+ bought in past month,4.6,3841,10,10,3780,N/A,101.61375661375662
Home & Kitchen,20,0.83,B00LDLBG3A,2025-04-04,,5.44,,5.44,2.448210922787209,0,fba,5105,21,3778,11.0,1.4300000000000086,21,0,0.0,Ravenhead Essentials Vinegar Pot,300+ bought in past month,4.6,3841,10,10,3780,N/A,101.61375661375662
Home & Kitchen,20,0.83,B00LDLBG3A,2025-04-04,,5.42,,5.42,2.071563088512247,0,fba,5105,21,3778,11.0,1.2100000000000035,21,0,0.0,Ravenhead Essentials Vinegar Pot,300+ bought in past month,4.6,3841,10,10,3780,N/A,101.61375661375662
Home & Kitchen,20,0.83,B00LDLBG3A,2025-04-04,,5.4,,5.4,1.6949152542373023,0,fba,5105,21,3778,11.0,0.9900000000000082,21,0,0.0,Ravenhead Essentials Vinegar Pot,300+ bought in past month,4.6,3841,10,10,3780,N/A,101.61375661375662
Home & Kitchen,20,0.83,B00LDLBG3A,2025-04-05,,5.42,,5.42,2.071563088512247,0,fba,5792,20,3780,11.0,1.2100000000000035,20,2,5.44,Ravenhead Essentials Vinegar Pot,300+ bought in past month,4.6,3841,10,10,3780,N/A,101.61375661375662
Home & Kitchen,20,0.83,B00LDLBG3A,2025-04-06,,5.42,,5.42,2.071563088512247,0,fba,5245,21,3780,11.0,1.2100000000000035,18,0,0.0,Ravenhead Essentials Vinegar Pot,300+ bought in past month,4.6,3841,10,10,3780,N/A,101.61375661375662
Home & Kitchen,20,0.83,B00LDLBG3A,2025-04-07,,5.42,,5.42,2.071563088512247,0,fba,4613,21,3780,11.0,1.2100000000000035,18,0,0.0,Ravenhead Essentials Vinegar Pot,300+ bought in past month,4.6,3841,10,10,3780,N/A,101.61375661375662
Home & Kitchen,20,0.83,B00LDLBG3A,2025-04-08,,5.38,,5.38,1.3182674199623405,0,fba,6012,,,11.0,0.7700000000000031,18,0,0.0,Ravenhead Essentials Vinegar Pot,300+ bought in past month,4.6,3841,10,10,3780,N/A,101.61375661375662
