Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Toys & Games,20,6.2,B00M9UFVGM,2024-11-27,,17.98,14.58,14.58,178.77629063097513,5,fbm,26687,12,251,2.0,18.7,1,1,15.35,Character Options Ben And Holly's Little Kingdom 18cm Talking Holly Soft Plush Toy 05288,50+ bought in past month,4.6,254,0,10,254,N/A,100.0
Toys & Games,20,6.2,B00M9UFVGM,2024-11-27,,14.99,,14.99,186.61567877629062,5,fba,26687,12,251,2.0,19.52,1,1,15.35,Character Options Ben And Holly's Little Kingdom 18cm Talking Holly Soft Plush Toy 05288,50+ bought in past month,4.6,254,0,10,254,N/A,100.0
Toys & Games,20,6.2,B00M9UFVGM,2024-12-03,,14.98,14.0,14.0,167.68642447418736,5,fbm,18573,13,251,2.0,17.54,2,7,11.984,Character Options Ben And Holly's Little Kingdom 18cm Talking Holly Soft Plush Toy 05288,50+ bought in past month,4.6,254,0,10,254,N/A,100.0
Toys & Games,20,6.2,B00M9UFVGM,2024-12-04,,14.98,,14.98,186.4244741873805,5,fba,18925,14,251,2.0,19.5,1,3,14.979999999999999,Character Options Ben And Holly's Little Kingdom 18cm Talking Holly Soft Plush Toy 05288,50+ bought in past month,4.6,254,0,10,254,N/A,100.0
Toys & Games,20,6.2,B00M9UFVGM,2025-03-12,,14.98,13.0,13.0,148.56596558317398,5,fbm,35579,9,253,2.0,15.54,1,0,0.0,Character Options Ben And Holly's Little Kingdom 18cm Talking Holly Soft Plush Toy 05288,50+ bought in past month,4.6,254,0,10,254,N/A,100.0
Toys & Games,20,6.2,B00M9UFVGM,2025-03-13,,14.98,13.0,13.0,148.56596558317398,5,fbm,17381,11,253,2.0,15.54,1,0,0.0,Character Options Ben And Holly's Little Kingdom 18cm Talking Holly Soft Plush Toy 05288,50+ bought in past month,4.6,254,0,10,254,N/A,100.0
Toys & Games,20,6.2,B00M9UFVGM,2025-03-14,,14.98,13.0,13.0,148.56596558317398,5,fbm,7836,11,253,2.0,15.54,1,0,0.0,Character Options Ben And Holly's Little Kingdom 18cm Talking Holly Soft Plush Toy 05288,50+ bought in past month,4.6,254,0,10,254,N/A,100.0
Toys & Games,20,6.2,B00M9UFVGM,2025-03-15,,14.98,13.0,13.0,148.56596558317398,5,fbm,8733,11,253,2.0,15.54,1,0,0.0,Character Options Ben And Holly's Little Kingdom 18cm Talking Holly Soft Plush Toy 05288,50+ bought in past month,4.6,254,0,10,254,N/A,100.0
Toys & Games,20,6.2,B00M9UFVGM,2025-03-16,,14.98,13.0,13.0,148.56596558317398,5,fbm,8677,11,253,2.0,15.54,1,0,0.0,Character Options Ben And Holly's Little Kingdom 18cm Talking Holly Soft Plush Toy 05288,50+ bought in past month,4.6,254,0,10,254,N/A,100.0
Toys & Games,20,6.2,B00M9UFVGM,2025-03-17,,14.98,13.0,13.0,148.56596558317398,5,fbm,15664,10,253,2.0,15.54,1,0,0.0,Character Options Ben And Holly's Little Kingdom 18cm Talking Holly Soft Plush Toy 05288,50+ bought in past month,4.6,254,0,10,254,N/A,100.0
Toys & Games,20,6.2,B00M9UFVGM,2025-03-18,,14.98,13.0,13.0,148.56596558317398,5,fbm,9002,10,253,2.0,15.54,1,0,0.0,Character Options Ben And Holly's Little Kingdom 18cm Talking Holly Soft Plush Toy 05288,50+ bought in past month,4.6,254,0,10,254,N/A,100.0
Toys & Games,20,6.2,B00M9UFVGM,2025-03-19,,14.98,13.0,13.0,148.56596558317398,5,fbm,7030,10,253,2.0,15.54,1,0,0.0,Character Options Ben And Holly's Little Kingdom 18cm Talking Holly Soft Plush Toy 05288,50+ bought in past month,4.6,254,0,10,254,N/A,100.0
Toys & Games,20,6.2,B00M9UFVGM,2025-03-20,,9.99,13.0,9.99,91.0133843212237,5,fba,16331,12,253,2.0,9.52,1,0,0.0,Character Options Ben And Holly's Little Kingdom 18cm Talking Holly Soft Plush Toy 05288,50+ bought in past month,4.6,254,0,10,254,N/A,100.0
Toys & Games,20,6.2,B00M9UFVGM,2025-03-20,,14.98,14.95,14.95,185.85086042065006,5,fbm,16331,12,253,2.0,19.439999999999998,1,0,0.0,Character Options Ben And Holly's Little Kingdom 18cm Talking Holly Soft Plush Toy 05288,50+ bought in past month,4.6,254,0,10,254,N/A,100.0
Toys & Games,20,6.2,B00M9UFVGM,2025-03-20,,9.99,13.0,9.99,91.0133843212237,5,fba,16331,12,253,2.0,9.52,1,0,0.0,Character Options Ben And Holly's Little Kingdom 18cm Talking Holly Soft Plush Toy 05288,50+ bought in past month,4.6,254,0,10,254,N/A,100.0
Toys & Games,20,6.2,B00M9UFVGM,2025-03-20,,14.98,14.95,14.95,185.85086042065006,5,fbm,16331,12,253,2.0,19.439999999999998,1,0,0.0,Character Options Ben And Holly's Little Kingdom 18cm Talking Holly Soft Plush Toy 05288,50+ bought in past month,4.6,254,0,10,254,N/A,100.0
Toys & Games,20,6.2,B00M9UFVGM,2025-03-21,,14.98,14.95,14.95,185.85086042065006,5,fbm,12138,11,253,2.0,19.439999999999998,1,0,0.0,Character Options Ben And Holly's Little Kingdom 18cm Talking Holly Soft Plush Toy 05288,50+ bought in past month,4.6,254,0,10,254,N/A,100.0
Toys & Games,20,6.2,B00M9UFVGM,2025-03-22,,9.99,14.95,9.99,91.0133843212237,5,fba,23151,10,253,2.0,9.52,1,1,13.03,Character Options Ben And Holly's Little Kingdom 18cm Talking Holly Soft Plush Toy 05288,50+ bought in past month,4.6,254,0,10,254,N/A,100.0
Toys & Games,20,6.2,B00M9UFVGM,2025-03-22,,14.98,14.95,14.95,185.85086042065006,5,fbm,23151,10,253,2.0,19.439999999999998,1,1,13.03,Character Options Ben And Holly's Little Kingdom 18cm Talking Holly Soft Plush Toy 05288,50+ bought in past month,4.6,254,0,10,254,N/A,100.0
