Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
DIY & Tools,20,2.78,B00P82UZ6Y,2025-03-31,6.99,8.52,7.4,6.99,-13.275434243176182,-5,amazon,8241,6.0,1336.0,0,0,3,0,0.0,"Unika ColorSealant CS4218-AZ Acrylic Gap Filler and Sealant, Grey, 0.57 kg",100+ bought in past month,4.4,1337,2,10,1337,N/A,100.0
DIY & Tools,20,2.78,B00P82UZ6Y,2025-04-01,6.99,8.52,7.4,6.99,-13.275434243176182,-5,amazon,8490,6.0,1336.0,0,0,3,0,0.0,"Unika ColorSealant CS4218-AZ Acrylic Gap Filler and Sealant, Grey, 0.57 kg",100+ bought in past month,4.4,1337,2,10,1337,N/A,100.0
DIY & Tools,20,2.78,B00P82UZ6Y,2025-04-02,6.99,8.52,7.4,6.99,-13.275434243176182,-5,amazon,8312,6.0,1336.0,0,0,3,0,0.0,"Unika ColorSealant CS4218-AZ Acrylic Gap Filler and Sealant, Grey, 0.57 kg",100+ bought in past month,4.4,1337,2,10,1337,N/A,100.0
DIY & Tools,20,2.78,B00P82UZ6Y,2025-04-03,6.99,8.52,7.4,6.99,-13.275434243176182,-5,amazon,10905,6.0,1336.0,0,0,3,0,0.0,"Unika ColorSealant CS4218-AZ Acrylic Gap Filler and Sealant, Grey, 0.57 kg",100+ bought in past month,4.4,1337,2,10,1337,N/A,100.0
DIY & Tools,20,2.78,B00P82UZ6Y,2025-04-04,6.99,8.52,7.4,6.99,-13.275434243176182,-5,amazon,9925,6.0,1337.0,0,0,3,0,0.0,"Unika ColorSealant CS4218-AZ Acrylic Gap Filler and Sealant, Grey, 0.57 kg",100+ bought in past month,4.4,1337,2,10,1337,N/A,100.0
DIY & Tools,20,2.78,B00P82UZ6Y,2025-04-05,6.99,6.99,7.4,6.99,-13.275434243176182,-5,amazon,6403,6.0,1337.0,0,0,3,0,0.0,"Unika ColorSealant CS4218-AZ Acrylic Gap Filler and Sealant, Grey, 0.57 kg",100+ bought in past month,4.4,1337,2,10,1337,N/A,100.0
DIY & Tools,20,2.78,B00P82UZ6Y,2025-04-05,6.99,8.52,7.4,6.99,-13.275434243176182,-5,amazon,6403,6.0,1337.0,0,0,3,0,0.0,"Unika ColorSealant CS4218-AZ Acrylic Gap Filler and Sealant, Grey, 0.57 kg",100+ bought in past month,4.4,1337,2,10,1337,N/A,100.0
DIY & Tools,20,2.78,B00P82UZ6Y,2025-04-06,6.99,8.52,7.4,6.99,-13.275434243176182,-5,amazon,9114,6.0,1337.0,0,0,3,0,0.0,"Unika ColorSealant CS4218-AZ Acrylic Gap Filler and Sealant, Grey, 0.57 kg",100+ bought in past month,4.4,1337,2,10,1337,N/A,100.0
DIY & Tools,20,2.78,B00P82UZ6Y,2025-04-07,6.99,8.52,7.4,6.99,-13.275434243176182,-5,amazon,6852,6.0,1337.0,0,0,3,0,0.0,"Unika ColorSealant CS4218-AZ Acrylic Gap Filler and Sealant, Grey, 0.57 kg",100+ bought in past month,4.4,1337,2,10,1337,N/A,100.0
DIY & Tools,20,2.78,B00P82UZ6Y,2025-04-08,6.99,8.52,7.4,6.99,-13.275434243176182,-5,amazon,5557,,,0,0,3,0,0.0,"Unika ColorSealant CS4218-AZ Acrylic Gap Filler and Sealant, Grey, 0.57 kg",100+ bought in past month,4.4,1337,2,10,1337,N/A,100.0
