Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
DIY & Tools,20,2.18,B00S9IXBVU,2025-03-31,7.79,11.06,7.9,7.79,8.798882681564244,1,amazon,7198,4,653,0.3,0.18899999999999997,4,0,0.0,ProDec Combination Shavehook for Removing Paint and Varnish From Flat and Irregular Surfaces,,4.5,391,0,10,658,2015-01-15,59.42249240121581
DIY & Tools,20,2.18,B00S9IXBVU,2025-04-01,7.79,11.06,7.9,7.79,8.798882681564244,1,amazon,8237,4,653,0.3,0.18899999999999997,4,0,0.0,ProDec Combination Shavehook for Removing Paint and Varnish From Flat and Irregular Surfaces,,4.5,391,0,10,658,2015-01-15,59.42249240121581
DIY & Tools,20,2.18,B00S9IXBVU,2025-04-02,7.79,11.06,7.9,7.79,8.798882681564244,1,amazon,8237,4,653,0.3,0.18899999999999997,4,0,0.0,ProDec Combination Shavehook for Removing Paint and Varnish From Flat and Irregular Surfaces,,4.5,391,0,10,658,2015-01-15,59.42249240121581
DIY & Tools,20,2.18,B00S9IXBVU,2025-04-03,7.79,11.06,7.9,7.79,8.798882681564244,1,amazon,6613,4,653,0.3,0.18899999999999997,4,0,0.0,ProDec Combination Shavehook for Removing Paint and Varnish From Flat and Irregular Surfaces,,4.5,391,0,10,658,2015-01-15,59.42249240121581
DIY & Tools,20,2.18,B00S9IXBVU,2025-04-04,7.79,11.06,7.9,7.79,8.798882681564244,1,amazon,6613,5,657,0.3,0.18899999999999997,4,0,0.0,ProDec Combination Shavehook for Removing Paint and Varnish From Flat and Irregular Surfaces,,4.5,391,0,10,658,2015-01-15,59.42249240121581
DIY & Tools,20,2.18,B00S9IXBVU,2025-04-05,7.79,11.03,7.9,7.79,8.798882681564244,1,amazon,4761,4,657,0.3,0.18899999999999997,4,0,0.0,ProDec Combination Shavehook for Removing Paint and Varnish From Flat and Irregular Surfaces,,4.5,391,0,10,658,2015-01-15,59.42249240121581
DIY & Tools,20,2.18,B00S9IXBVU,2025-04-06,7.79,11.03,7.9,7.79,8.798882681564244,1,amazon,5171,5,658,0.3,0.18899999999999997,4,0,0.0,ProDec Combination Shavehook for Removing Paint and Varnish From Flat and Irregular Surfaces,,4.5,391,0,10,658,2015-01-15,59.42249240121581
DIY & Tools,20,2.18,B00S9IXBVU,2025-04-07,7.79,9.82,7.9,7.79,8.798882681564244,1,amazon,5274,4,658,0.3,0.18899999999999997,4,0,0.0,ProDec Combination Shavehook for Removing Paint and Varnish From Flat and Irregular Surfaces,,4.5,391,0,10,658,2015-01-15,59.42249240121581
DIY & Tools,20,2.18,B00S9IXBVU,2025-04-08,7.79,11.06,7.9,7.79,8.798882681564244,1,amazon,5363,4,,0.3,0.18899999999999997,4,0,0.0,ProDec Combination Shavehook for Removing Paint and Varnish From Flat and Irregular Surfaces,,4.5,391,0,10,658,2015-01-15,59.42249240121581
DIY & Tools,20,2.18,B00S9IXBVU,2025-04-09,7.79,11.69,7.9,7.79,8.798882681564244,1,amazon,4542,,,0.3,0.18899999999999997,4,0,0.0,ProDec Combination Shavehook for Removing Paint and Varnish From Flat and Irregular Surfaces,,4.5,391,0,10,658,2015-01-15,59.42249240121581
