Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Garden,20,1.99,B00VAID1UW,2024-12-03,10.99,7.05,6.49,6.49,25.775193798449614,3,fbm,15986,15,647,3.8333333333333335,5.098333333333334,3,0,0.0,Zero In Wasp Trap Bait Refill Sachet – 3-Pack Effective Wasp Attractant,100+ bought in past month,4.2,653,0,10,653,N/A,100.0
Garden,20,1.99,B00VAID1UW,2024-12-04,10.99,7.05,6.49,6.49,25.775193798449614,3,fbm,15986,15,647,3.8333333333333335,5.098333333333334,24,0,0.0,Zero In Wasp Trap Bait Refill Sachet – 3-Pack Effective Wasp Attractant,100+ bought in past month,4.2,653,0,10,653,N/A,100.0
Garden,20,1.99,B00VAID1UW,2024-12-05,10.99,7.05,6.49,6.49,25.775193798449614,3,fbm,36647,15,647,3.8333333333333335,5.098333333333334,39,0,0.0,Zero In Wasp Trap Bait Refill Sachet – 3-Pack Effective Wasp Attractant,100+ bought in past month,4.2,653,0,10,653,N/A,100.0
Garden,20,1.99,B00VAID1UW,2024-12-06,10.99,7.05,6.49,6.49,25.775193798449614,3,fbm,36590,15,647,3.8333333333333335,5.098333333333334,43,0,0.0,Zero In Wasp Trap Bait Refill Sachet – 3-Pack Effective Wasp Attractant,100+ bought in past month,4.2,653,0,10,653,N/A,100.0
Garden,20,1.99,B00VAID1UW,2024-12-07,10.99,6.44,6.49,6.44,24.806201550387602,3,fba,36820,15,647,3.8333333333333335,4.906666666666668,61,0,0.0,Zero In Wasp Trap Bait Refill Sachet – 3-Pack Effective Wasp Attractant,100+ bought in past month,4.2,653,0,10,653,N/A,100.0
Garden,20,1.99,B00VAID1UW,2024-12-08,6.92,6.44,6.49,6.44,24.806201550387602,3,fba,36820,15,647,3.8333333333333335,4.906666666666668,61,0,0.0,Zero In Wasp Trap Bait Refill Sachet – 3-Pack Effective Wasp Attractant,100+ bought in past month,4.2,653,0,10,653,N/A,100.0
Garden,20,1.99,B00VAID1UW,2024-12-09,6.92,6.44,6.49,6.44,24.806201550387602,3,fba,36820,15,647,3.8333333333333335,4.906666666666668,65,0,0.0,Zero In Wasp Trap Bait Refill Sachet – 3-Pack Effective Wasp Attractant,100+ bought in past month,4.2,653,0,10,653,N/A,100.0
Garden,20,1.99,B00VAID1UW,2024-12-10,6.23,6.44,6.49,6.23,20.73643410852714,3,amazon,39632,15,647,3.8333333333333335,4.101666666666668,65,0,0.0,Zero In Wasp Trap Bait Refill Sachet – 3-Pack Effective Wasp Attractant,100+ bought in past month,4.2,653,0,10,653,N/A,100.0
Garden,20,1.99,B00VAID1UW,2024-12-11,6.23,6.44,6.49,6.23,20.73643410852714,3,amazon,39632,15,647,3.8333333333333335,4.101666666666668,65,0,0.0,Zero In Wasp Trap Bait Refill Sachet – 3-Pack Effective Wasp Attractant,100+ bought in past month,4.2,653,0,10,653,N/A,100.0
Garden,20,1.99,B00VAID1UW,2024-12-12,6.23,6.44,6.49,6.23,20.73643410852714,3,amazon,39632,15,647,3.8333333333333335,4.101666666666668,65,0,0.0,Zero In Wasp Trap Bait Refill Sachet – 3-Pack Effective Wasp Attractant,100+ bought in past month,4.2,653,0,10,653,N/A,100.0
