Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Toys & Games,20,3.38,B010E25DI2,2025-01-17,,9.49,9.48,9.48,8.840413318025252,1,fbm,27657,7.0,1052.0,0.26666666666666666,0.20533333333333323,11,0,0.0,100 Ultra Pro Card Protector Sleeves: Pro-Matte - 66 x 91 mm,,4.6,269,0,4,1070,N/A,25.140186915887853
Toys & Games,20,3.38,B010E25DI2,2025-01-18,,9.49,9.48,9.48,8.840413318025252,1,fbm,27657,8.0,1052.0,0.26666666666666666,0.20533333333333323,21,0,0.0,100 Ultra Pro Card Protector Sleeves: Pro-Matte - 66 x 91 mm,,4.6,269,0,4,1070,N/A,25.140186915887853
Toys & Games,20,3.38,B010E25DI2,2025-01-19,,9.49,9.48,9.48,8.840413318025252,1,fbm,27657,8.0,1052.0,0.26666666666666666,0.20533333333333323,26,0,0.0,100 Ultra Pro Card Protector Sleeves: Pro-Matte - 66 x 91 mm,,4.6,269,0,4,1070,N/A,25.140186915887853
Toys & Games,20,3.38,B010E25DI2,2025-01-20,,9.48,9.48,9.48,8.840413318025252,1,fba,22638,8.0,1052.0,0.26666666666666666,0.20533333333333323,26,0,0.0,100 Ultra Pro Card Protector Sleeves: Pro-Matte - 66 x 91 mm,,4.6,269,0,4,1070,N/A,25.140186915887853
Toys & Games,20,3.38,B010E25DI2,2025-01-21,,9.48,9.48,9.48,8.840413318025252,1,fba,18076,8.0,1052.0,0.26666666666666666,0.20533333333333323,30,0,0.0,100 Ultra Pro Card Protector Sleeves: Pro-Matte - 66 x 91 mm,,4.6,269,0,4,1070,N/A,25.140186915887853
Toys & Games,20,3.38,B010E25DI2,2025-01-22,,9.48,9.48,9.48,8.840413318025252,1,fba,10701,8.0,1052.0,0.26666666666666666,0.20533333333333323,30,0,0.0,100 Ultra Pro Card Protector Sleeves: Pro-Matte - 66 x 91 mm,,4.6,269,0,4,1070,N/A,25.140186915887853
Toys & Games,20,3.38,B010E25DI2,2025-01-23,,9.48,9.48,9.48,8.840413318025252,1,fba,21104,8.0,1052.0,0.26666666666666666,0.20533333333333323,30,0,0.0,100 Ultra Pro Card Protector Sleeves: Pro-Matte - 66 x 91 mm,,4.6,269,0,4,1070,N/A,25.140186915887853
Toys & Games,20,3.38,B010E25DI2,2025-01-24,,9.48,9.48,9.48,8.840413318025252,1,fba,14701,8.0,1052.0,0.26666666666666666,0.20533333333333323,30,1,8.98,100 Ultra Pro Card Protector Sleeves: Pro-Matte - 66 x 91 mm,,4.6,269,0,4,1070,N/A,25.140186915887853
Toys & Games,20,3.38,B010E25DI2,2025-01-25,,9.48,9.48,9.48,8.840413318025252,1,fba,17508,10.0,1052.0,0.26666666666666666,0.20533333333333323,29,2,4.49,100 Ultra Pro Card Protector Sleeves: Pro-Matte - 66 x 91 mm,,4.6,269,0,4,1070,N/A,25.140186915887853
Toys & Games,20,3.38,B010E25DI2,2025-01-26,,8.98,9.12,8.98,3.099885189437423,0,fba,14385,9.0,1056.0,0.26666666666666666,0.07199999999999988,27,2,4.24,100 Ultra Pro Card Protector Sleeves: Pro-Matte - 66 x 91 mm,,4.6,269,0,4,1070,N/A,25.140186915887853
