Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Home & Kitchen,20,2.43,B016Y8SWZQ,2025-02-23,7.67,8.99,7.09,7.09,-8.16062176165803,-5,fbm,31943,3,1110,0,0,10,0,0.0,"Easy Cook NS606R Microwave Egg Poacher, red, 2 cup",50+ bought in past month,4.0,1103,3,10,1115,N/A,98.9237668161435
Home & Kitchen,20,2.43,B016Y8SWZQ,2025-02-24,7.67,8.99,7.09,7.09,-8.16062176165803,-5,fbm,30689,2,1110,0,0,10,1,8.99,"Easy Cook NS606R Microwave Egg Poacher, red, 2 cup",50+ bought in past month,4.0,1103,3,10,1115,N/A,98.9237668161435
Home & Kitchen,20,2.43,B016Y8SWZQ,2025-02-25,7.67,8.99,7.09,7.09,-8.16062176165803,-5,fbm,26295,2,1110,0,0,9,1,8.99,"Easy Cook NS606R Microwave Egg Poacher, red, 2 cup",50+ bought in past month,4.0,1103,3,10,1115,N/A,98.9237668161435
Home & Kitchen,20,2.43,B016Y8SWZQ,2025-02-26,7.67,8.99,7.09,7.09,-8.16062176165803,-5,fbm,33812,2,1110,0,0,8,2,4.495,"Easy Cook NS606R Microwave Egg Poacher, red, 2 cup",50+ bought in past month,4.0,1103,3,10,1115,N/A,98.9237668161435
Home & Kitchen,20,2.43,B016Y8SWZQ,2025-02-27,7.67,9.99,7.09,7.09,-8.16062176165803,-5,fbm,38887,2,1111,0,0,8,0,0.0,"Easy Cook NS606R Microwave Egg Poacher, red, 2 cup",50+ bought in past month,4.0,1103,3,10,1115,N/A,98.9237668161435
Home & Kitchen,20,2.43,B016Y8SWZQ,2025-02-28,7.67,9.99,7.09,7.09,-8.16062176165803,-5,fbm,38711,2,1110,0,0,6,1,8.99,"Easy Cook NS606R Microwave Egg Poacher, red, 2 cup",50+ bought in past month,4.0,1103,3,10,1115,N/A,98.9237668161435
Home & Kitchen,20,2.43,B016Y8SWZQ,2025-03-01,7.67,9.99,7.09,7.09,-8.16062176165803,-5,fbm,29839,2,1110,0,0,5,1,8.99,"Easy Cook NS606R Microwave Egg Poacher, red, 2 cup",50+ bought in past month,4.0,1103,3,10,1115,N/A,98.9237668161435
Home & Kitchen,20,2.43,B016Y8SWZQ,2025-03-02,8.1,8.99,7.09,7.09,-8.16062176165803,-5,fbm,28663,3,1110,0,0,4,0,0.0,"Easy Cook NS606R Microwave Egg Poacher, red, 2 cup",50+ bought in past month,4.0,1103,3,10,1115,N/A,98.9237668161435
Home & Kitchen,20,2.43,B016Y8SWZQ,2025-03-03,7.75,8.99,7.09,7.09,-8.16062176165803,-5,fbm,53557,2,1110,0,0,4,1,8.99,"Easy Cook NS606R Microwave Egg Poacher, red, 2 cup",50+ bought in past month,4.0,1103,3,10,1115,N/A,98.9237668161435
Home & Kitchen,20,2.43,B016Y8SWZQ,2025-03-04,8.1,8.99,7.54,7.54,-2.3316062176165766,-5,fbm,53557,2,1110,0,0,3,0,0.0,"Easy Cook NS606R Microwave Egg Poacher, red, 2 cup",50+ bought in past month,4.0,1103,3,10,1115,N/A,98.9237668161435
