Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Health & Personal Care,20,19.99,B0194LKIR0,2024-10-26,,42.55,40.9,40.9,19.31155192532088,2,fbm,51076,4,352,0.3,1.985999999999999,5,0,0.0,Quest Nutrition Quest Bar Protein â€“ 12 x 60 Gr,,4.5,352,0,1,352,N/A,100.0
Health & Personal Care,20,19.99,B0194LKIR0,2024-10-27,,42.98,40.9,40.9,19.31155192532088,2,fbm,49458,,,0.3,1.985999999999999,7,0,0.0,Quest Nutrition Quest Bar Protein â€“ 12 x 60 Gr,,4.5,352,0,1,352,N/A,100.0
Health & Personal Care,20,19.99,B0194LKIR0,2024-10-28,,42.98,40.9,40.9,19.31155192532088,2,fbm,26959,4,352,0.3,1.985999999999999,7,0,0.0,Quest Nutrition Quest Bar Protein â€“ 12 x 60 Gr,,4.5,352,0,1,352,N/A,100.0
Health & Personal Care,20,19.99,B0194LKIR0,2024-10-29,,42.98,40.9,40.9,19.31155192532088,2,fbm,46383,3,352,0.3,1.985999999999999,7,0,0.0,Quest Nutrition Quest Bar Protein â€“ 12 x 60 Gr,,4.5,352,0,1,352,N/A,100.0
Health & Personal Care,20,19.99,B0194LKIR0,2024-10-30,,42.98,40.9,40.9,19.31155192532088,2,fbm,46383,3,352,0.3,1.985999999999999,7,0,0.0,Quest Nutrition Quest Bar Protein â€“ 12 x 60 Gr,,4.5,352,0,1,352,N/A,100.0
Health & Personal Care,20,19.99,B0194LKIR0,2024-10-31,,42.98,40.9,40.9,19.31155192532088,2,fbm,57751,3,352,0.3,1.985999999999999,7,0,0.0,Quest Nutrition Quest Bar Protein â€“ 12 x 60 Gr,,4.5,352,0,1,352,N/A,100.0
Health & Personal Care,20,19.99,B0194LKIR0,2024-11-01,,42.95,40.9,40.9,19.31155192532088,2,fbm,62289,4,352,0.3,1.985999999999999,7,0,0.0,Quest Nutrition Quest Bar Protein â€“ 12 x 60 Gr,,4.5,352,0,1,352,N/A,100.0
Health & Personal Care,20,19.99,B0194LKIR0,2024-11-02,,42.95,40.9,40.9,19.31155192532088,2,fbm,62289,4,352,0.3,1.985999999999999,7,0,0.0,Quest Nutrition Quest Bar Protein â€“ 12 x 60 Gr,,4.5,352,0,1,352,N/A,100.0
Health & Personal Care,20,19.99,B0194LKIR0,2024-11-03,,42.95,40.9,40.9,19.31155192532088,2,fbm,62289,4,352,0.3,1.985999999999999,7,0,0.0,Quest Nutrition Quest Bar Protein â€“ 12 x 60 Gr,,4.5,352,0,1,352,N/A,100.0
Health & Personal Care,20,19.99,B0194LKIR0,2024-11-04,,42.95,40.9,40.9,19.31155192532088,2,fbm,69949,4,352,0.3,1.985999999999999,7,0,0.0,Quest Nutrition Quest Bar Protein â€“ 12 x 60 Gr,,4.5,352,0,1,352,N/A,100.0
