Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Grocery,0,4.67,B01FJOSX3W,2024-10-26,,4.61,8.54,4.61,-48.549107142857146,-5,fba,22244,6,414,0.0,0.0,10,0,0.0,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
Grocery,0,4.67,B01FJOSX3W,2024-10-27,,4.61,8.54,4.61,-48.549107142857146,-5,fba,21288,,,0.0,0.0,10,0,0.0,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
Grocery,0,4.67,B01FJOSX3W,2024-10-28,,4.61,8.54,4.61,-48.549107142857146,-5,fba,19133,6,414,0.0,0.0,11,3,8.436666666666666,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
Grocery,0,4.67,B01FJOSX3W,2024-10-29,,4.61,8.54,4.61,-48.549107142857146,-5,fba,17463,6,414,0.0,0.0,8,2,9.01,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
Grocery,0,4.67,B01FJOSX3W,2024-10-30,,4.61,8.54,4.61,-48.549107142857146,-5,fba,20171,6,414,0.0,0.0,7,0,0.0,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
Grocery,0,4.67,B01FJOSX3W,2024-10-31,,9.1,8.54,8.54,-4.687500000000019,-5,fbm,19095,6,415,0.0,0.0,6,0,0.0,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
Grocery,0,4.67,B01FJOSX3W,2024-11-01,,9.1,8.54,8.54,-4.687500000000019,-5,fbm,28055,6,415,0.0,0.0,6,0,0.0,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
Grocery,0,4.67,B01FJOSX3W,2024-11-02,,9.1,8.54,8.54,-4.687500000000019,-5,fbm,40099,6,415,0.0,0.0,6,0,0.0,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
Grocery,0,4.67,B01FJOSX3W,2024-11-03,,9.1,8.54,8.54,-4.687500000000019,-5,fbm,19019,6,415,0.0,0.0,6,5,9.1,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
Grocery,0,4.67,B01FJOSX3W,2024-11-04,,9.1,8.54,8.54,-4.687500000000019,-5,fbm,19729,6,415,0.0,0.0,1,0,0.0,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
Grocery,0,4.67,B01FJOSX3W,2024-11-05,,9.1,8.54,8.54,-4.687500000000019,-5,fbm,19729,6,415,0.0,0.0,1,0,0.0,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
Grocery,0,4.67,B01FJOSX3W,2024-11-06,,9.1,8.54,8.54,-4.687500000000019,-5,fbm,16279,5,415,0.0,0.0,1,1,9.1,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
Grocery,0,4.67,B01FJOSX3W,2024-12-06,,10.67,10.68,10.67,19.084821428571416,2,fba,47261,5,416,0.23333333333333334,0.3989999999999998,12,0,0.0,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
Grocery,0,4.67,B01FJOSX3W,2024-12-07,,10.67,10.68,10.67,19.084821428571416,2,fba,47261,5,417,0.23333333333333334,0.3989999999999998,12,1,10.67,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
Grocery,0,4.67,B01FJOSX3W,2024-12-08,,10.67,10.68,10.67,19.084821428571416,2,fba,59031,6,417,0.23333333333333334,0.3989999999999998,12,1,10.67,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
Grocery,0,4.67,B01FJOSX3W,2024-12-09,,10.67,10.68,10.67,19.084821428571416,2,fba,42575,6,417,0.23333333333333334,0.3989999999999998,46,1,10.67,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
Grocery,0,4.67,B01FJOSX3W,2024-12-10,,10.67,10.68,10.67,19.084821428571416,2,fba,37984,6,417,0.23333333333333334,0.3989999999999998,45,0,0.0,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
Grocery,0,4.67,B01FJOSX3W,2024-12-11,,10.67,10.68,10.67,19.084821428571416,2,fba,37984,6,419,0.23333333333333334,0.3989999999999998,45,3,10.633333333333333,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
Grocery,0,4.67,B01FJOSX3W,2024-12-12,,10.67,10.68,10.67,19.084821428571416,2,fba,16406,6,419,0.23333333333333334,0.3989999999999998,41,2,10.615,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
Grocery,0,4.67,B01FJOSX3W,2024-12-13,,10.67,10.68,10.67,19.084821428571416,2,fba,29280,5,419,0.23333333333333334,0.3989999999999998,40,0,0.0,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
Grocery,0,4.67,B01FJOSX3W,2024-12-14,,10.67,10.68,10.67,19.084821428571416,2,fba,29280,5,419,0.23333333333333334,0.3989999999999998,40,1,10.67,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
Grocery,0,4.67,B01FJOSX3W,2024-12-15,,10.67,10.68,10.67,19.084821428571416,2,fba,35446,5,419,0.23333333333333334,0.3989999999999998,39,0,0.0,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
Grocery,0,4.67,B01FJOSX3W,2024-12-16,,10.67,10.68,10.67,19.084821428571416,2,fba,35446,5,419,0.23333333333333334,0.3989999999999998,39,1,10.67,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
Grocery,0,4.67,B01FJOSX3W,2024-12-17,,10.67,10.68,10.67,19.084821428571416,2,fba,31261,5,419,0.23333333333333334,0.3989999999999998,38,3,8.0025,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
Grocery,0,4.67,B01FJOSX3W,2024-12-18,,10.67,10.68,10.67,19.084821428571416,2,fba,25387,5,419,0.23333333333333334,0.3989999999999998,34,1,10.67,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
Grocery,0,4.67,B01FJOSX3W,2024-12-19,,10.67,10.68,10.67,19.084821428571416,2,fba,37327,4,419,0.23333333333333334,0.3989999999999998,33,0,0.0,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
Grocery,0,4.67,B01FJOSX3W,2024-12-20,,10.67,10.68,10.67,19.084821428571416,2,fba,37327,4,419,0.23333333333333334,0.3989999999999998,33,0,0.0,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
Grocery,0,4.67,B01FJOSX3W,2024-12-21,,10.56,10.68,10.56,17.85714285714285,2,fba,32368,3,419,0.23333333333333334,0.37333333333333324,33,2,10.67,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
Grocery,0,4.67,B01FJOSX3W,2024-12-22,,10.56,13.6,10.56,17.85714285714285,2,fba,32368,3,419,0.23333333333333334,0.37333333333333324,31,0,0.0,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
Grocery,0,4.67,B01FJOSX3W,2024-12-23,,10.56,13.6,10.56,17.85714285714285,2,fba,32368,3,419,0.23333333333333334,0.37333333333333324,31,1,10.45,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
Grocery,0,4.67,B01FJOSX3W,2024-12-24,,10.56,13.6,10.56,17.85714285714285,2,fba,32368,3,419,0.23333333333333334,0.37333333333333324,31,0,0.0,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
Grocery,0,4.67,B01FJOSX3W,2024-12-25,,10.56,13.6,10.56,17.85714285714285,2,fba,34126,4,419,0.23333333333333334,0.37333333333333324,31,0,0.0,"Saracino Sugarplus - Isomalt Granules for Sugar Decorations with Crystal Clear Effect 0,5 Kg Made in Italy",,4.6,426,1,10,426,N/A,100.0
