Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Beauty,20,2.25,B01H8QOWA2,2024-10-26,,6.97,7.12,6.97,8.906249999999991,1,fba,330,12,12539,10.2,5.813999999999994,82,0,0.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-10-27,,6.97,7.12,6.97,8.906249999999991,1,fba,339,,,10.2,5.813999999999994,82,1,7.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-10-28,,6.97,7.12,6.97,8.906249999999991,1,fba,337,12,12490,10.2,5.813999999999994,81,1,7.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-10-29,,6.97,7.12,6.97,8.906249999999991,1,fba,326,12,12498,10.2,5.813999999999994,80,2,7.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-10-30,,6.97,7.12,6.97,8.906249999999991,1,fba,336,12,12537,10.2,5.813999999999994,78,1,7.02,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-10-31,,7.12,7.12,7.12,11.249999999999996,2,fba,346,11,12579,10.2,7.343999999999997,77,4,7.13,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-10-31,,7.14,7.12,7.12,11.249999999999996,2,fbm,346,11,12579,10.2,7.343999999999997,77,4,7.13,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-10-31,,7.2,7.12,7.12,11.249999999999996,2,fbm,346,11,12579,10.2,7.343999999999997,77,4,7.13,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-11-01,,7.2,7.12,7.12,11.249999999999996,2,fbm,368,11,12551,10.2,7.343999999999997,73,1,7.3,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-11-02,,7.5,7.12,7.12,11.249999999999996,2,fbm,396,11,12541,10.2,7.343999999999997,72,0,0.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-11-02,,7.99,7.24,7.24,13.124999999999998,2,fbm,396,11,12541,10.2,8.567999999999998,72,0,0.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-11-03,,7.99,7.24,7.24,13.124999999999998,2,fbm,300,11,12541,10.2,8.567999999999998,72,0,0.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-11-04,,7.96,7.24,7.24,13.124999999999998,2,fbm,210,11,12562,10.2,8.567999999999998,72,3,6.446666666666666,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-11-05,,7.96,7.24,7.24,13.124999999999998,2,fbm,263,11,12562,10.2,8.567999999999998,69,0,0.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-11-06,,7.94,7.24,7.24,13.124999999999998,2,fbm,287,11,12562,10.2,8.567999999999998,69,0,0.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-11-06,,7.98,7.24,7.24,13.124999999999998,2,fbm,287,11,12562,10.2,8.567999999999998,69,0,0.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-11-06,,7.99,7.24,7.24,13.124999999999998,2,fbm,287,11,12562,10.2,8.567999999999998,69,0,0.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-11-06,,7.96,7.24,7.24,13.124999999999998,2,fbm,287,11,12562,10.2,8.567999999999998,69,0,0.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-11-07,,7.96,7.24,7.24,13.124999999999998,2,fbm,290,11,12562,10.2,8.567999999999998,69,0,0.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-11-08,,7.96,7.24,7.24,13.124999999999998,2,fbm,280,11,12562,10.2,8.567999999999998,69,0,0.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-11-09,,7.98,7.24,7.24,13.124999999999998,2,fbm,266,11,12549,10.2,8.567999999999998,69,0,0.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-11-10,,7.99,7.24,7.24,13.124999999999998,2,fbm,261,11,12550,10.2,8.567999999999998,69,0,0.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-11-11,,7.99,7.24,7.24,13.124999999999998,2,fbm,246,11,12550,10.2,8.567999999999998,69,0,0.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-11-12,,7.94,7.24,7.24,13.124999999999998,2,fbm,241,11,12729,10.2,8.567999999999998,69,0,0.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-11-13,,7.95,7.24,7.24,13.124999999999998,2,fbm,264,11,12779,10.2,8.567999999999998,69,0,0.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-11-13,,7.97,7.24,7.24,13.124999999999998,2,fbm,264,11,12779,10.2,8.567999999999998,69,0,0.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-11-13,,7.99,7.24,7.24,13.124999999999998,2,fbm,264,11,12779,10.2,8.567999999999998,69,0,0.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-11-13,,7.94,7.24,7.24,13.124999999999998,2,fbm,264,11,12779,10.2,8.567999999999998,69,0,0.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-11-14,,7.99,7.24,7.24,13.124999999999998,2,fbm,260,11,12847,10.2,8.567999999999998,69,0,0.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-11-14,,7.97,7.24,7.24,13.124999999999998,2,fbm,260,11,12847,10.2,8.567999999999998,69,0,0.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-11-15,,7.98,7.24,7.24,13.124999999999998,2,fbm,260,11,12874,10.2,8.567999999999998,74,0,0.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-11-15,,7.99,7.24,7.24,13.124999999999998,2,fbm,260,11,12874,10.2,8.567999999999998,74,0,0.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-11-16,,7.95,7.24,7.24,13.124999999999998,2,fbm,290,11,12875,10.2,8.567999999999998,77,0,0.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-11-16,,7.98,7.24,7.24,13.124999999999998,2,fbm,290,11,12875,10.2,8.567999999999998,77,0,0.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-11-17,,7.99,7.24,7.24,13.124999999999998,2,fbm,286,11,12904,10.2,8.567999999999998,77,0,0.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-11-17,,7.98,7.24,7.24,13.124999999999998,2,fbm,286,11,12904,10.2,8.567999999999998,77,0,0.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-11-17,,7.94,7.24,7.24,13.124999999999998,2,fbm,286,11,12904,10.2,8.567999999999998,77,0,0.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
Beauty,20,2.25,B01H8QOWA2,2024-11-18,,7.99,7.24,7.24,13.124999999999998,2,fbm,330,11,13030,10.2,8.567999999999998,78,0,0.0,Organic Shop 250ml Body Scrub Softening Coffee & Sugar,,4.3,930,0,10,930,N/A,100.0
