Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Computers & Accessories,20,5.01,B01LXHKR4T,2024-11-25,,14.4,14.4,14.4,50.000000000000014,4,fba,51517,12,6734,0.7666666666666667,3.6800000000000006,4,0,0.0,SanDisk Ultra 32GB Dual USB Flash Drive USB M3.0 up to 130 MB/s,,4.4,7156,0,10,7186,N/A,99.58252156971889
Computers & Accessories,20,5.01,B01LXHKR4T,2024-11-26,,14.4,14.4,14.4,50.000000000000014,4,fba,28064,12,6736,0.7666666666666667,3.6800000000000006,6,0,0.0,SanDisk Ultra 32GB Dual USB Flash Drive USB M3.0 up to 130 MB/s,,4.4,7156,0,10,7186,N/A,99.58252156971889
Computers & Accessories,20,5.01,B01LXHKR4T,2024-11-27,,12.89,14.4,12.89,34.27083333333334,3,fba,46544,13,6736,0.7666666666666667,2.5223333333333344,6,0,0.0,SanDisk Ultra 32GB Dual USB Flash Drive USB M3.0 up to 130 MB/s,,4.4,7156,0,10,7186,N/A,99.58252156971889
Computers & Accessories,20,5.01,B01LXHKR4T,2024-11-28,,12.89,14.4,12.89,34.27083333333334,3,fba,56068,13,6736,0.7666666666666667,2.5223333333333344,7,0,0.0,SanDisk Ultra 32GB Dual USB Flash Drive USB M3.0 up to 130 MB/s,,4.4,7156,0,10,7186,N/A,99.58252156971889
Computers & Accessories,20,5.01,B01LXHKR4T,2024-11-29,,12.89,14.4,12.89,34.27083333333334,3,fba,64431,12,6737,0.7666666666666667,2.5223333333333344,7,0,0.0,SanDisk Ultra 32GB Dual USB Flash Drive USB M3.0 up to 130 MB/s,,4.4,7156,0,10,7186,N/A,99.58252156971889
Computers & Accessories,20,5.01,B01LXHKR4T,2024-11-30,,9.99,14.4,9.99,4.062500000000006,0,fba,72911,12,6737,0.7666666666666667,0.29900000000000043,10,0,0.0,SanDisk Ultra 32GB Dual USB Flash Drive USB M3.0 up to 130 MB/s,,4.4,7156,0,10,7186,N/A,99.58252156971889
Computers & Accessories,20,5.01,B01LXHKR4T,2024-12-01,,9.99,14.4,9.99,4.062500000000006,0,fba,75339,12,6769,0.7666666666666667,0.29900000000000043,10,0,0.0,SanDisk Ultra 32GB Dual USB Flash Drive USB M3.0 up to 130 MB/s,,4.4,7156,0,10,7186,N/A,99.58252156971889
Computers & Accessories,20,5.01,B01LXHKR4T,2024-12-02,,9.99,14.4,9.99,4.062500000000006,0,fba,68690,13,6770,0.7666666666666667,0.29900000000000043,10,0,0.0,SanDisk Ultra 32GB Dual USB Flash Drive USB M3.0 up to 130 MB/s,,4.4,7156,0,10,7186,N/A,99.58252156971889
Computers & Accessories,20,5.01,B01LXHKR4T,2024-12-03,,9.99,14.4,9.99,4.062500000000006,0,fba,38292,15,6770,0.7666666666666667,0.29900000000000043,10,0,0.0,SanDisk Ultra 32GB Dual USB Flash Drive USB M3.0 up to 130 MB/s,,4.4,7156,0,10,7186,N/A,99.58252156971889
Computers & Accessories,20,5.01,B01LXHKR4T,2024-12-04,,9.99,9.54,9.54,-0.6250000000000052,-5,fbm,32392,13,6773,0.0,0.0,10,0,0.0,SanDisk Ultra 32GB Dual USB Flash Drive USB M3.0 up to 130 MB/s,,4.4,7156,0,10,7186,N/A,99.58252156971889
Computers & Accessories,20,5.01,B01LXHKR4T,2024-12-05,,9.99,9.48,9.48,-1.249999999999992,-5,fbm,27617,14,6773,0.0,0.0,10,0,0.0,SanDisk Ultra 32GB Dual USB Flash Drive USB M3.0 up to 130 MB/s,,4.4,7156,0,10,7186,N/A,99.58252156971889
Computers & Accessories,20,5.01,B01LXHKR4T,2024-12-06,,9.99,9.48,9.48,-1.249999999999992,-5,fbm,36913,14,6774,0.0,0.0,10,0,0.0,SanDisk Ultra 32GB Dual USB Flash Drive USB M3.0 up to 130 MB/s,,4.4,7156,0,10,7186,N/A,99.58252156971889
Computers & Accessories,20,5.01,B01LXHKR4T,2024-12-07,,9.99,9.42,9.42,-1.8749999999999971,-5,fbm,52721,14,6774,0.0,0.0,10,0,0.0,SanDisk Ultra 32GB Dual USB Flash Drive USB M3.0 up to 130 MB/s,,4.4,7156,0,10,7186,N/A,99.58252156971889
Computers & Accessories,20,5.01,B01LXHKR4T,2024-12-08,,9.99,9.63,9.63,0.3125000000000119,0,fbm,36068,14,6775,0.7666666666666667,0.023000000000000874,10,0,0.0,SanDisk Ultra 32GB Dual USB Flash Drive USB M3.0 up to 130 MB/s,,4.4,7156,0,10,7186,N/A,99.58252156971889
Computers & Accessories,20,5.01,B01LXHKR4T,2024-12-09,,9.99,,9.99,4.062500000000006,0,fba,26810,14,6775,0.7666666666666667,0.29900000000000043,10,0,0.0,SanDisk Ultra 32GB Dual USB Flash Drive USB M3.0 up to 130 MB/s,,4.4,7156,0,10,7186,N/A,99.58252156971889
Computers & Accessories,20,5.01,B01LXHKR4T,2024-12-10,,9.99,9.93,9.93,3.437500000000001,0,fbm,26464,13,6777,0.7666666666666667,0.25300000000000006,10,0,0.0,SanDisk Ultra 32GB Dual USB Flash Drive USB M3.0 up to 130 MB/s,,4.4,7156,0,10,7186,N/A,99.58252156971889
Computers & Accessories,20,5.01,B01LXHKR4T,2024-12-11,,9.99,9.93,9.93,3.437500000000001,0,fbm,24982,13,6777,0.7666666666666667,0.25300000000000006,10,0,0.0,SanDisk Ultra 32GB Dual USB Flash Drive USB M3.0 up to 130 MB/s,,4.4,7156,0,10,7186,N/A,99.58252156971889
Computers & Accessories,20,5.01,B01LXHKR4T,2024-12-12,,9.99,9.93,9.93,3.437500000000001,0,fbm,27365,13,6777,0.7666666666666667,0.25300000000000006,10,0,0.0,SanDisk Ultra 32GB Dual USB Flash Drive USB M3.0 up to 130 MB/s,,4.4,7156,0,10,7186,N/A,99.58252156971889
Computers & Accessories,20,5.01,B01LXHKR4T,2024-12-13,,9.99,9.47,9.47,-1.3541666666666563,-5,fbm,40293,14,6777,0.0,0.0,10,0,0.0,SanDisk Ultra 32GB Dual USB Flash Drive USB M3.0 up to 130 MB/s,,4.4,7156,0,10,7186,N/A,99.58252156971889
Computers & Accessories,20,5.01,B01LXHKR4T,2024-12-14,,9.99,9.47,9.47,-1.3541666666666563,-5,fbm,22704,14,6746,0.0,0.0,10,0,0.0,SanDisk Ultra 32GB Dual USB Flash Drive USB M3.0 up to 130 MB/s,,4.4,7156,0,10,7186,N/A,99.58252156971889
Computers & Accessories,20,5.01,B01LXHKR4T,2024-12-15,,9.99,9.47,9.47,-1.3541666666666563,-5,fbm,25266,13,6746,0.0,0.0,10,0,0.0,SanDisk Ultra 32GB Dual USB Flash Drive USB M3.0 up to 130 MB/s,,4.4,7156,0,10,7186,N/A,99.58252156971889
Computers & Accessories,20,5.01,B01LXHKR4T,2024-12-16,,9.99,9.47,9.47,-1.3541666666666563,-5,fbm,28254,13,6746,0.0,0.0,10,0,0.0,SanDisk Ultra 32GB Dual USB Flash Drive USB M3.0 up to 130 MB/s,,4.4,7156,0,10,7186,N/A,99.58252156971889
Computers & Accessories,20,5.01,B01LXHKR4T,2024-12-18,,9.99,9.47,9.47,-1.3541666666666563,-5,fbm,30750,10,6747,0.0,0.0,10,0,0.0,SanDisk Ultra 32GB Dual USB Flash Drive USB M3.0 up to 130 MB/s,,4.4,7156,0,10,7186,N/A,99.58252156971889
Computers & Accessories,20,5.01,B01LXHKR4T,2024-12-19,,9.99,9.47,9.47,-1.3541666666666563,-5,fbm,19674,12,6747,0.0,0.0,10,0,0.0,SanDisk Ultra 32GB Dual USB Flash Drive USB M3.0 up to 130 MB/s,,4.4,7156,0,10,7186,N/A,99.58252156971889
Computers & Accessories,20,5.01,B01LXHKR4T,2024-12-20,,9.99,9.47,9.47,-1.3541666666666563,-5,fbm,19013,12,6747,0.0,0.0,10,0,0.0,SanDisk Ultra 32GB Dual USB Flash Drive USB M3.0 up to 130 MB/s,,4.4,7156,0,10,7186,N/A,99.58252156971889
Computers & Accessories,20,5.01,B01LXHKR4T,2024-12-21,,9.99,9.58,9.58,-0.2083333333333289,-5,fbm,35350,12,6747,0.0,0.0,10,0,0.0,SanDisk Ultra 32GB Dual USB Flash Drive USB M3.0 up to 130 MB/s,,4.4,7156,0,10,7186,N/A,99.58252156971889
