Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
DIY & Tools,20,2.07,B06WW79DX5,2024-10-26,,7.47,7.19,7.19,7.313432835820899,1,fbm,4071,14,821,21.0,10.290000000000004,185,8,8.866249999999999,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,600+ bought in past month,4.4,976,10,10,976,N/A,100.0
DIY & Tools,20,2.07,B06WW79DX5,2024-10-27,,7.47,7.19,7.19,7.313432835820899,1,fbm,4462,,,21.0,10.290000000000004,176,23,7.114285714285715,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,600+ bought in past month,4.4,976,10,10,976,N/A,100.0
DIY & Tools,20,2.07,B06WW79DX5,2024-10-28,,7.47,7.19,7.19,7.313432835820899,1,fbm,2798,14,822,21.0,10.290000000000004,153,24,7.122727272727272,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,600+ bought in past month,4.4,976,10,10,976,N/A,100.0
DIY & Tools,20,2.07,B06WW79DX5,2024-10-29,,7.47,7.19,7.19,7.313432835820899,1,fbm,2843,14,823,21.0,10.290000000000004,128,22,6.621136363636364,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,600+ bought in past month,4.4,976,10,10,976,N/A,100.0
DIY & Tools,20,2.07,B06WW79DX5,2024-10-30,,7.47,7.19,7.19,7.313432835820899,1,fbm,3614,14,824,21.0,10.290000000000004,107,16,7.1175,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,600+ bought in past month,4.4,976,10,10,976,N/A,100.0
DIY & Tools,20,2.07,B06WW79DX5,2024-10-31,,7.47,7.19,7.19,7.313432835820899,1,fbm,3140,14,824,21.0,10.290000000000004,592,25,6.2013437499999995,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,600+ bought in past month,4.4,976,10,10,976,N/A,100.0
DIY & Tools,20,2.07,B06WW79DX5,2024-11-01,,7.44,7.19,7.19,7.313432835820899,1,fbm,3434,14,825,21.0,10.290000000000004,567,19,7.156470588235294,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,600+ bought in past month,4.4,976,10,10,976,N/A,100.0
DIY & Tools,20,2.07,B06WW79DX5,2024-11-02,,7.41,7.19,7.19,7.313432835820899,1,fbm,3709,14,825,21.0,10.290000000000004,547,12,7.054090909090909,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,600+ bought in past month,4.4,976,10,10,976,N/A,100.0
DIY & Tools,20,2.07,B06WW79DX5,2024-11-02,,7.39,7.19,7.19,7.313432835820899,1,fbm,3709,14,825,21.0,10.290000000000004,547,12,7.054090909090909,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,600+ bought in past month,4.4,976,10,10,976,N/A,100.0
DIY & Tools,20,2.07,B06WW79DX5,2024-11-03,,7.39,7.19,7.19,7.313432835820899,1,fbm,4077,14,825,21.0,10.290000000000004,539,12,7.385000000000001,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,600+ bought in past month,4.4,976,10,10,976,N/A,100.0
DIY & Tools,20,2.07,B06WW79DX5,2024-11-04,,7.36,7.19,7.19,7.313432835820899,1,fbm,3419,14,825,21.0,10.290000000000004,527,25,7.128000000000001,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,600+ bought in past month,4.4,976,10,10,976,N/A,100.0
DIY & Tools,20,2.07,B06WW79DX5,2024-11-04,,7.33,7.19,7.19,7.313432835820899,1,fbm,3419,14,825,21.0,10.290000000000004,527,25,7.128000000000001,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,600+ bought in past month,4.4,976,10,10,976,N/A,100.0
DIY & Tools,20,2.07,B06WW79DX5,2024-11-04,,7.32,7.19,7.19,7.313432835820899,1,fbm,3419,14,825,21.0,10.290000000000004,527,25,7.128000000000001,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,600+ bought in past month,4.4,976,10,10,976,N/A,100.0
DIY & Tools,20,2.07,B06WW79DX5,2024-11-04,,7.29,7.19,7.19,7.313432835820899,1,fbm,3419,14,825,21.0,10.290000000000004,527,25,7.128000000000001,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,600+ bought in past month,4.4,976,10,10,976,N/A,100.0
DIY & Tools,20,2.07,B06WW79DX5,2024-11-05,,7.26,7.19,7.19,7.313432835820899,1,fbm,3176,14,825,21.0,10.290000000000004,501,20,5.73047619047619,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,600+ bought in past month,4.4,976,10,10,976,N/A,100.0
DIY & Tools,20,2.07,B06WW79DX5,2024-11-05,,7.25,7.19,7.19,7.313432835820899,1,fbm,3176,14,825,21.0,10.290000000000004,501,20,5.73047619047619,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,600+ bought in past month,4.4,976,10,10,976,N/A,100.0
