Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Garden,20,3.05,B071X4RKYL,2025-03-11,8.39,59.99,15.88,8.39,-61.81156121984523,-5,amazon,10391,2.0,1815.0,0,0,5,0,0.0,"Addis 513881 Essentials Wooden Outdoor Complete Broom with Metal Handle, Natural/ Black, 27.5 cm",,4.3,1813,0,10,1815,N/A,99.88980716253444
Garden,20,3.05,B071X4RKYL,2025-03-12,8.39,59.99,15.88,8.39,-61.81156121984523,-5,amazon,11337,2.0,1815.0,0,0,5,0,0.0,"Addis 513881 Essentials Wooden Outdoor Complete Broom with Metal Handle, Natural/ Black, 27.5 cm",,4.3,1813,0,10,1815,N/A,99.88980716253444
Garden,20,3.05,B071X4RKYL,2025-03-13,8.39,59.99,15.88,8.39,-61.81156121984523,-5,amazon,11780,2.0,1815.0,0,0,5,0,0.0,"Addis 513881 Essentials Wooden Outdoor Complete Broom with Metal Handle, Natural/ Black, 27.5 cm",,4.3,1813,0,10,1815,N/A,99.88980716253444
Garden,20,3.05,B071X4RKYL,2025-03-14,8.39,59.99,15.88,8.39,-61.81156121984523,-5,amazon,11791,2.0,1815.0,0,0,5,0,0.0,"Addis 513881 Essentials Wooden Outdoor Complete Broom with Metal Handle, Natural/ Black, 27.5 cm",,4.3,1813,0,10,1815,N/A,99.88980716253444
Garden,20,3.05,B071X4RKYL,2025-03-15,8.39,59.99,15.88,8.39,-61.81156121984523,-5,amazon,12655,2.0,1815.0,0,0,5,0,0.0,"Addis 513881 Essentials Wooden Outdoor Complete Broom with Metal Handle, Natural/ Black, 27.5 cm",,4.3,1813,0,10,1815,N/A,99.88980716253444
Garden,20,3.05,B071X4RKYL,2025-03-16,8.39,59.99,15.88,8.39,-61.81156121984523,-5,amazon,13753,2.0,1815.0,0,0,5,0,0.0,"Addis 513881 Essentials Wooden Outdoor Complete Broom with Metal Handle, Natural/ Black, 27.5 cm",,4.3,1813,0,10,1815,N/A,99.88980716253444
Garden,20,3.05,B071X4RKYL,2025-03-17,8.39,59.99,15.88,8.39,-61.81156121984523,-5,amazon,15350,2.0,1815.0,0,0,5,0,0.0,"Addis 513881 Essentials Wooden Outdoor Complete Broom with Metal Handle, Natural/ Black, 27.5 cm",,4.3,1813,0,10,1815,N/A,99.88980716253444
Garden,20,3.05,B071X4RKYL,2025-03-18,8.39,59.99,15.88,8.39,-61.81156121984523,-5,amazon,10417,2.0,1815.0,0,0,5,0,0.0,"Addis 513881 Essentials Wooden Outdoor Complete Broom with Metal Handle, Natural/ Black, 27.5 cm",,4.3,1813,0,10,1815,N/A,99.88980716253444
Garden,20,3.05,B071X4RKYL,2025-03-19,8.39,59.99,15.88,8.39,-61.81156121984523,-5,amazon,9590,2.0,1815.0,0,0,5,0,0.0,"Addis 513881 Essentials Wooden Outdoor Complete Broom with Metal Handle, Natural/ Black, 27.5 cm",,4.3,1813,0,10,1815,N/A,99.88980716253444
Garden,20,3.05,B071X4RKYL,2025-03-20,8.39,59.99,15.88,8.39,-61.81156121984523,-5,amazon,9590,2.0,1815.0,0,0,5,0,0.0,"Addis 513881 Essentials Wooden Outdoor Complete Broom with Metal Handle, Natural/ Black, 27.5 cm",,4.3,1813,0,10,1815,N/A,99.88980716253444
