Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
DIY & Tools,20,0.98,B07BBZZ8RC,2024-10-26,,4.58,4.5,4.5,14.213197969543149,2,fbm,9039,9,343,2.0,1.12,24,3,3.435,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-10-27,,4.43,4.5,4.43,12.436548223350249,2,fba,13022,,,2.0,0.9799999999999995,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-10-28,,4.43,4.5,4.43,12.436548223350249,2,fba,18836,9,343,2.0,0.9799999999999995,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-10-29,,4.43,4.5,4.43,12.436548223350249,2,fba,40892,9,341,2.0,0.9799999999999995,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-10-30,,4.43,4.5,4.43,12.436548223350249,2,fba,30103,9,341,2.0,0.9799999999999995,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-10-31,,4.43,4.5,4.43,12.436548223350249,2,fba,37619,10,341,2.0,0.9799999999999995,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-11-01,,4.19,4.5,4.19,6.34517766497463,1,fba,16867,9,343,2.0,0.5000000000000009,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-11-02,,4.1,4.5,4.1,4.060913705583748,0,fba,17915,9,344,2.0,0.3199999999999994,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-11-03,,4.1,4.5,4.1,4.060913705583748,0,fba,12605,9,344,2.0,0.3199999999999994,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-11-04,,4.0,4.5,4.0,1.52284263959391,0,fba,17971,9,345,2.0,0.1200000000000001,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-11-05,,3.87,4.5,3.87,-1.7766497461928894,-5,fba,20529,9,345,0.0,0.0,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-11-06,,3.87,4.5,3.87,-1.7766497461928894,-5,fba,37576,9,345,0.0,0.0,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-11-07,,3.87,4.5,3.87,-1.7766497461928894,-5,fba,17203,9,345,0.0,0.0,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-11-08,,3.87,4.5,3.87,-1.7766497461928894,-5,fba,17376,9,345,0.0,0.0,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-11-09,,3.87,4.5,3.87,-1.7766497461928894,-5,fba,23548,9,344,0.0,0.0,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-11-10,,3.87,4.5,3.87,-1.7766497461928894,-5,fba,23548,9,344,0.0,0.0,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-11-11,,3.87,4.5,3.87,-1.7766497461928894,-5,fba,26596,9,348,0.0,0.0,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-11-12,,3.87,4.5,3.87,-1.7766497461928894,-5,fba,14647,9,359,0.0,0.0,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-11-13,,3.87,4.5,3.87,-1.7766497461928894,-5,fba,20816,9,359,0.0,0.0,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-11-14,,3.87,4.5,3.87,-1.7766497461928894,-5,fba,46185,9,362,0.0,0.0,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-11-15,,3.87,4.5,3.87,-1.7766497461928894,-5,fba,15254,10,362,0.0,0.0,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-11-16,,3.87,4.5,3.87,-1.7766497461928894,-5,fba,15622,9,368,0.0,0.0,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-11-17,,3.87,4.5,3.87,-1.7766497461928894,-5,fba,15622,9,368,0.0,0.0,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-11-18,,3.87,4.5,3.87,-1.7766497461928894,-5,fba,23994,9,379,0.0,0.0,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-11-19,,3.87,4.5,3.87,-1.7766497461928894,-5,fba,19872,9,389,0.0,0.0,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-11-20,,3.87,4.5,3.87,-1.7766497461928894,-5,fba,27169,9,395,0.0,0.0,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-11-21,,3.87,4.5,3.87,-1.7766497461928894,-5,fba,33479,9,395,0.0,0.0,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-11-22,,3.87,4.5,3.87,-1.7766497461928894,-5,fba,27001,8,395,0.0,0.0,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-11-23,,3.87,4.5,3.87,-1.7766497461928894,-5,fba,27001,8,395,0.0,0.0,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-11-24,,3.87,4.5,3.87,-1.7766497461928894,-5,fba,57164,8,395,0.0,0.0,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-11-25,,3.87,4.5,3.87,-1.7766497461928894,-5,fba,57164,8,400,0.0,0.0,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-11-26,,3.87,4.5,3.87,-1.7766497461928894,-5,fba,56515,8,400,0.0,0.0,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-11-27,,3.87,4.5,3.87,-1.7766497461928894,-5,fba,56515,8,400,0.0,0.0,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-11-28,,4.08,4.5,4.08,3.55329949238579,0,fba,42145,8,400,2.0,0.28000000000000025,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-11-29,,4.08,4.5,4.08,3.55329949238579,0,fba,42145,8,400,2.0,0.28000000000000025,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
DIY & Tools,20,0.98,B07BBZZ8RC,2024-11-30,,4.08,4.5,4.08,3.55329949238579,0,fba,42145,8,400,2.0,0.28000000000000025,21,0,0.0,"Amtech V4045 P80 Hook and Loop Square Sheets, 10 Piece Set, 110mm x 100mm Sanding Paper, 240 V",,4.4,414,0,10,414,N/A,100.0
