Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Health & Personal Care,20,1.24,B07C8QSSR2,2024-10-26,,4.85,3.9,3.9,6.557377049180321,1,fbm,3456,5,1187,31.5,7.5599999999999925,539,4,4.85,"Piksters Wax for Orthodontics and Braces, 2 Count (Pack of 1)",900+ bought in past month,4.3,1261,7,10,1261,2019-02-06,100.0
Health & Personal Care,20,1.24,B07C8QSSR2,2024-10-27,,4.85,,4.85,32.51366120218578,3,fba,3809,,,31.5,37.484999999999985,537,2,4.85,"Piksters Wax for Orthodontics and Braces, 2 Count (Pack of 1)",900+ bought in past month,4.3,1261,7,10,1261,2019-02-06,100.0
Health & Personal Care,20,1.24,B07C8QSSR2,2024-10-28,,4.85,4.29,4.29,17.213114754098356,2,fbm,3763,5,1188,31.5,19.844999999999995,535,1,4.85,"Piksters Wax for Orthodontics and Braces, 2 Count (Pack of 1)",900+ bought in past month,4.3,1261,7,10,1261,2019-02-06,100.0
Health & Personal Care,20,1.24,B07C8QSSR2,2024-10-29,,4.85,3.89,3.89,6.284153005464479,1,fbm,3810,5,1189,31.5,7.244999999999999,565,12,4.366666666666666,"Piksters Wax for Orthodontics and Braces, 2 Count (Pack of 1)",900+ bought in past month,4.3,1261,7,10,1261,2019-02-06,100.0
Health & Personal Care,20,1.24,B07C8QSSR2,2024-10-30,,4.85,,4.85,32.51366120218578,3,fba,4169,5,1190,31.5,37.484999999999985,937,15,4.52,"Piksters Wax for Orthodontics and Braces, 2 Count (Pack of 1)",900+ bought in past month,4.3,1261,7,10,1261,2019-02-06,100.0
Health & Personal Care,20,1.24,B07C8QSSR2,2024-10-31,,4.85,,4.85,32.51366120218578,3,fba,3795,5,1190,31.5,37.484999999999985,921,14,4.598846153846154,"Piksters Wax for Orthodontics and Braces, 2 Count (Pack of 1)",900+ bought in past month,4.3,1261,7,10,1261,2019-02-06,100.0
Health & Personal Care,20,1.24,B07C8QSSR2,2024-11-01,,4.85,,4.85,32.51366120218578,3,fba,3660,5,1190,31.5,37.484999999999985,908,18,4.340777777777777,"Piksters Wax for Orthodontics and Braces, 2 Count (Pack of 1)",900+ bought in past month,4.3,1261,7,10,1261,2019-02-06,100.0
Health & Personal Care,20,1.24,B07C8QSSR2,2024-11-02,,4.85,3.92,3.92,7.1038251366120155,1,fbm,3523,5,1190,31.5,8.189999999999994,889,10,4.85,"Piksters Wax for Orthodontics and Braces, 2 Count (Pack of 1)",900+ bought in past month,4.3,1261,7,10,1261,2019-02-06,100.0
Health & Personal Care,20,1.24,B07C8QSSR2,2024-11-03,,4.85,,4.85,32.51366120218578,3,fba,4017,6,1191,31.5,37.484999999999985,880,8,4.413749999999999,"Piksters Wax for Orthodontics and Braces, 2 Count (Pack of 1)",900+ bought in past month,4.3,1261,7,10,1261,2019-02-06,100.0
Health & Personal Care,20,1.24,B07C8QSSR2,2024-11-04,,4.85,,4.85,32.51366120218578,3,fba,5010,6,1192,31.5,37.484999999999985,871,1,4.85,"Piksters Wax for Orthodontics and Braces, 2 Count (Pack of 1)",900+ bought in past month,4.3,1261,7,10,1261,2019-02-06,100.0
Health & Personal Care,20,1.24,B07C8QSSR2,2024-11-05,,4.85,4.29,4.29,17.213114754098356,2,fbm,4469,6,1192,31.5,19.844999999999995,487,2,4.85,"Piksters Wax for Orthodontics and Braces, 2 Count (Pack of 1)",900+ bought in past month,4.3,1261,7,10,1261,2019-02-06,100.0
Health & Personal Care,20,1.24,B07C8QSSR2,2024-11-06,,4.85,,4.85,32.51366120218578,3,fba,4495,6,1192,31.5,37.484999999999985,487,0,0.0,"Piksters Wax for Orthodontics and Braces, 2 Count (Pack of 1)",900+ bought in past month,4.3,1261,7,10,1261,2019-02-06,100.0
Health & Personal Care,20,1.24,B07C8QSSR2,2024-11-07,,4.84,3.9,3.9,6.557377049180321,1,fbm,4452,6,1192,31.5,7.5599999999999925,486,7,4.377142857142857,"Piksters Wax for Orthodontics and Braces, 2 Count (Pack of 1)",900+ bought in past month,4.3,1261,7,10,1261,2019-02-06,100.0
Health & Personal Care,20,1.24,B07C8QSSR2,2024-11-08,,4.84,3.89,3.89,6.284153005464479,1,fbm,4222,6,1193,31.5,7.244999999999999,479,3,3.1766666666666663,"Piksters Wax for Orthodontics and Braces, 2 Count (Pack of 1)",900+ bought in past month,4.3,1261,7,10,1261,2019-02-06,100.0
Health & Personal Care,20,1.24,B07C8QSSR2,2024-11-09,,4.84,3.89,3.89,6.284153005464479,1,fbm,4214,6,1193,31.5,7.244999999999999,858,5,3.344,"Piksters Wax for Orthodontics and Braces, 2 Count (Pack of 1)",900+ bought in past month,4.3,1261,7,10,1261,2019-02-06,100.0
Health & Personal Care,20,1.24,B07C8QSSR2,2024-11-10,,4.84,3.9,3.9,6.557377049180321,1,fbm,3746,7,1194,31.5,7.5599999999999925,854,12,4.7725,"Piksters Wax for Orthodontics and Braces, 2 Count (Pack of 1)",900+ bought in past month,4.3,1261,7,10,1261,2019-02-06,100.0
Health & Personal Care,20,1.24,B07C8QSSR2,2024-11-11,,4.84,,4.84,32.24043715846994,3,fba,4508,7,1194,31.5,37.16999999999999,844,2,4.84,"Piksters Wax for Orthodontics and Braces, 2 Count (Pack of 1)",900+ bought in past month,4.3,1261,7,10,1261,2019-02-06,100.0
Health & Personal Care,20,1.24,B07C8QSSR2,2024-11-12,,4.84,3.9,3.9,6.557377049180321,1,fbm,4485,7,1194,31.5,7.5599999999999925,836,11,4.379090909090909,"Piksters Wax for Orthodontics and Braces, 2 Count (Pack of 1)",900+ bought in past month,4.3,1261,7,10,1261,2019-02-06,100.0
Health & Personal Care,20,1.24,B07C8QSSR2,2024-11-13,,4.84,3.89,3.89,6.284153005464479,1,fbm,4692,7,1194,31.5,7.244999999999999,825,12,4.340833333333333,"Piksters Wax for Orthodontics and Braces, 2 Count (Pack of 1)",900+ bought in past month,4.3,1261,7,10,1261,2019-02-06,100.0
