Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Baby Products,20,2.5,B07DY1R6YX,2025-03-28,,8.25,8.14,8.14,101.98511166253101,5,fbm,5240,9,2056,0.26666666666666666,1.096,4,0,0.0,400 Bamboo Cotton Buds | Q Tips | Ear Sticks | Cotton Swab | Wooden Cotton Bud | Eco Friendly Cotton Buds| Ear Buds Cotton | Biodegradable Cotton Buds | Bamboo Earbuds | Wooden Ear Buds | Bambaw,,4.7,381,0,3,2077,2018-06-06,18.343765045739048
Baby Products,20,2.5,B07DY1R6YX,2025-03-29,,8.25,8.14,8.14,101.98511166253101,5,fbm,5240,9,2056,0.26666666666666666,1.096,9,0,0.0,400 Bamboo Cotton Buds | Q Tips | Ear Sticks | Cotton Swab | Wooden Cotton Bud | Eco Friendly Cotton Buds| Ear Buds Cotton | Biodegradable Cotton Buds | Bamboo Earbuds | Wooden Ear Buds | Bambaw,,4.7,381,0,3,2077,2018-06-06,18.343765045739048
Baby Products,20,2.5,B07DY1R6YX,2025-03-31,,8.25,7.4,7.4,83.62282878411911,5,fbm,11050,9,2056,0.26666666666666666,0.8986666666666667,9,0,0.0,400 Bamboo Cotton Buds | Q Tips | Ear Sticks | Cotton Swab | Wooden Cotton Bud | Eco Friendly Cotton Buds| Ear Buds Cotton | Biodegradable Cotton Buds | Bamboo Earbuds | Wooden Ear Buds | Bambaw,,4.7,381,0,3,2077,2018-06-06,18.343765045739048
Baby Products,20,2.5,B07DY1R6YX,2025-04-01,,8.25,7.4,7.4,83.62282878411911,5,fbm,11050,9,2056,0.26666666666666666,0.8986666666666667,9,0,0.0,400 Bamboo Cotton Buds | Q Tips | Ear Sticks | Cotton Swab | Wooden Cotton Bud | Eco Friendly Cotton Buds| Ear Buds Cotton | Biodegradable Cotton Buds | Bamboo Earbuds | Wooden Ear Buds | Bambaw,,4.7,381,0,3,2077,2018-06-06,18.343765045739048
Baby Products,20,2.5,B07DY1R6YX,2025-04-02,,8.25,7.4,7.4,83.62282878411911,5,fbm,14312,9,2056,0.26666666666666666,0.8986666666666667,9,0,0.0,400 Bamboo Cotton Buds | Q Tips | Ear Sticks | Cotton Swab | Wooden Cotton Bud | Eco Friendly Cotton Buds| Ear Buds Cotton | Biodegradable Cotton Buds | Bamboo Earbuds | Wooden Ear Buds | Bambaw,,4.7,381,0,3,2077,2018-06-06,18.343765045739048
Baby Products,20,2.5,B07DY1R6YX,2025-04-03,,8.25,7.4,7.4,83.62282878411911,5,fbm,14312,9,2056,0.26666666666666666,0.8986666666666667,10,0,0.0,400 Bamboo Cotton Buds | Q Tips | Ear Sticks | Cotton Swab | Wooden Cotton Bud | Eco Friendly Cotton Buds| Ear Buds Cotton | Biodegradable Cotton Buds | Bamboo Earbuds | Wooden Ear Buds | Bambaw,,4.7,381,0,3,2077,2018-06-06,18.343765045739048
Baby Products,20,2.5,B07DY1R6YX,2025-04-04,,8.25,7.4,7.4,83.62282878411911,5,fbm,13051,9,2056,0.26666666666666666,0.8986666666666667,10,0,0.0,400 Bamboo Cotton Buds | Q Tips | Ear Sticks | Cotton Swab | Wooden Cotton Bud | Eco Friendly Cotton Buds| Ear Buds Cotton | Biodegradable Cotton Buds | Bamboo Earbuds | Wooden Ear Buds | Bambaw,,4.7,381,0,3,2077,2018-06-06,18.343765045739048
Baby Products,20,2.5,B07DY1R6YX,2025-04-05,,8.25,7.4,7.4,83.62282878411911,5,fbm,9737,9,2056,0.26666666666666666,0.8986666666666667,10,0,0.0,400 Bamboo Cotton Buds | Q Tips | Ear Sticks | Cotton Swab | Wooden Cotton Bud | Eco Friendly Cotton Buds| Ear Buds Cotton | Biodegradable Cotton Buds | Bamboo Earbuds | Wooden Ear Buds | Bambaw,,4.7,381,0,3,2077,2018-06-06,18.343765045739048
Baby Products,20,2.5,B07DY1R6YX,2025-04-06,,8.25,7.4,7.4,83.62282878411911,5,fbm,9737,9,2056,0.26666666666666666,0.8986666666666667,10,0,0.0,400 Bamboo Cotton Buds | Q Tips | Ear Sticks | Cotton Swab | Wooden Cotton Bud | Eco Friendly Cotton Buds| Ear Buds Cotton | Biodegradable Cotton Buds | Bamboo Earbuds | Wooden Ear Buds | Bambaw,,4.7,381,0,3,2077,2018-06-06,18.343765045739048
Baby Products,20,2.5,B07DY1R6YX,2025-04-07,,8.25,7.4,7.4,83.62282878411911,5,fbm,9439,9,2056,0.26666666666666666,0.8986666666666667,10,0,0.0,400 Bamboo Cotton Buds | Q Tips | Ear Sticks | Cotton Swab | Wooden Cotton Bud | Eco Friendly Cotton Buds| Ear Buds Cotton | Biodegradable Cotton Buds | Bamboo Earbuds | Wooden Ear Buds | Bambaw,,4.7,381,0,3,2077,2018-06-06,18.343765045739048
Baby Products,20,2.5,B07DY1R6YX,2025-04-08,,8.25,7.4,7.4,83.62282878411911,5,fbm,6430,9,2056,0.26666666666666666,0.8986666666666667,10,0,0.0,400 Bamboo Cotton Buds | Q Tips | Ear Sticks | Cotton Swab | Wooden Cotton Bud | Eco Friendly Cotton Buds| Ear Buds Cotton | Biodegradable Cotton Buds | Bamboo Earbuds | Wooden Ear Buds | Bambaw,,4.7,381,0,3,2077,2018-06-06,18.343765045739048
