Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Health & Personal Care,20,4.39,B07J9JGZZV,2024-10-26,,9.96,10.1,9.96,23.420074349442384,3,fba,19730,3,396,3.8333333333333335,7.245000000000003,194,1,9.96,Plaque Glo Plaque Disclosing Toothpaste and Torch System (Tropical),100+ bought in past month,4.4,413,6,10,415,N/A,99.51807228915662
Health & Personal Care,20,4.39,B07J9JGZZV,2024-10-27,,9.96,10.1,9.96,23.420074349442384,3,fba,17333,3,396,3.8333333333333335,7.245000000000003,194,2,9.96,Plaque Glo Plaque Disclosing Toothpaste and Torch System (Tropical),100+ bought in past month,4.4,413,6,10,415,N/A,99.51807228915662
Health & Personal Care,20,4.39,B07J9JGZZV,2024-10-28,,9.96,9.57,9.57,18.587360594795538,2,fbm,16991,3,396,3.8333333333333335,5.75,192,0,0.0,Plaque Glo Plaque Disclosing Toothpaste and Torch System (Tropical),100+ bought in past month,4.4,413,6,10,415,N/A,99.51807228915662
Health & Personal Care,20,4.39,B07J9JGZZV,2024-10-29,,9.96,9.57,9.57,18.587360594795538,2,fbm,19674,3,396,3.8333333333333335,5.75,192,0,0.0,Plaque Glo Plaque Disclosing Toothpaste and Torch System (Tropical),100+ bought in past month,4.4,413,6,10,415,N/A,99.51807228915662
Health & Personal Care,20,4.39,B07J9JGZZV,2024-10-30,,9.96,9.57,9.57,18.587360594795538,2,fbm,17216,3,396,3.8333333333333335,5.75,192,0,0.0,Plaque Glo Plaque Disclosing Toothpaste and Torch System (Tropical),100+ bought in past month,4.4,413,6,10,415,N/A,99.51807228915662
Health & Personal Care,20,4.39,B07J9JGZZV,2024-10-31,,9.96,9.57,9.57,18.587360594795538,2,fbm,23974,4,396,3.8333333333333335,5.75,192,1,9.96,Plaque Glo Plaque Disclosing Toothpaste and Torch System (Tropical),100+ bought in past month,4.4,413,6,10,415,N/A,99.51807228915662
Health & Personal Care,20,4.39,B07J9JGZZV,2024-11-01,,9.96,9.57,9.57,18.587360594795538,2,fbm,23507,4,396,3.8333333333333335,5.75,191,0,0.0,Plaque Glo Plaque Disclosing Toothpaste and Torch System (Tropical),100+ bought in past month,4.4,413,6,10,415,N/A,99.51807228915662
Health & Personal Care,20,4.39,B07J9JGZZV,2024-11-02,,9.96,9.57,9.57,18.587360594795538,2,fbm,18172,4,396,3.8333333333333335,5.75,191,1,9.96,Plaque Glo Plaque Disclosing Toothpaste and Torch System (Tropical),100+ bought in past month,4.4,413,6,10,415,N/A,99.51807228915662
Health & Personal Care,20,4.39,B07J9JGZZV,2024-11-03,,9.96,9.57,9.57,18.587360594795538,2,fbm,19224,4,396,3.8333333333333335,5.75,190,0,0.0,Plaque Glo Plaque Disclosing Toothpaste and Torch System (Tropical),100+ bought in past month,4.4,413,6,10,415,N/A,99.51807228915662
Health & Personal Care,20,4.39,B07J9JGZZV,2024-11-04,,9.96,9.57,9.57,18.587360594795538,2,fbm,16816,4,396,3.8333333333333335,5.75,190,1,9.96,Plaque Glo Plaque Disclosing Toothpaste and Torch System (Tropical),100+ bought in past month,4.4,413,6,10,415,N/A,99.51807228915662
Health & Personal Care,20,4.39,B07J9JGZZV,2024-11-05,,9.96,9.57,9.57,18.587360594795538,2,fbm,11075,4,396,3.8333333333333335,5.75,189,2,9.96,Plaque Glo Plaque Disclosing Toothpaste and Torch System (Tropical),100+ bought in past month,4.4,413,6,10,415,N/A,99.51807228915662
Health & Personal Care,20,4.39,B07J9JGZZV,2024-11-06,,9.99,9.57,9.57,18.587360594795538,2,fbm,13490,4,396,3.8333333333333335,5.75,187,4,9.975,Plaque Glo Plaque Disclosing Toothpaste and Torch System (Tropical),100+ bought in past month,4.4,413,6,10,415,N/A,99.51807228915662
Health & Personal Care,20,4.39,B07J9JGZZV,2024-11-07,,9.96,9.57,9.57,18.587360594795538,2,fbm,13831,3,396,3.8333333333333335,5.75,183,5,9.978,Plaque Glo Plaque Disclosing Toothpaste and Torch System (Tropical),100+ bought in past month,4.4,413,6,10,415,N/A,99.51807228915662
Health & Personal Care,20,4.39,B07J9JGZZV,2024-11-08,,9.95,9.57,9.57,18.587360594795538,2,fbm,14744,4,396,3.8333333333333335,5.75,178,2,9.99,Plaque Glo Plaque Disclosing Toothpaste and Torch System (Tropical),100+ bought in past month,4.4,413,6,10,415,N/A,99.51807228915662
