Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Toys & Games,20,5.86,B07NGGSR3D,2024-11-02,,12.54,13.55,12.54,-1.8779342723004713,-5,fba,45076,8,306,0.0,0.0,1,0,0.0,"Ultimate Guard - Katana Sleeves - Purple (100) [Standard Size, 66 x 91mm]",,4.7,338,0,4,344,N/A,98.25581395348837
Toys & Games,20,5.86,B07NGGSR3D,2024-11-03,,12.54,13.55,12.54,-1.8779342723004713,-5,fba,101895,8,306,0.0,0.0,1,0,0.0,"Ultimate Guard - Katana Sleeves - Purple (100) [Standard Size, 66 x 91mm]",,4.7,338,0,4,344,N/A,98.25581395348837
Toys & Games,20,5.86,B07NGGSR3D,2024-11-04,,12.58,13.55,12.58,-1.5649452269170523,-5,fba,48122,8,306,0.0,0.0,1,1,12.54,"Ultimate Guard - Katana Sleeves - Purple (100) [Standard Size, 66 x 91mm]",,4.7,338,0,4,344,N/A,98.25581395348837
Toys & Games,20,5.86,B07NGGSR3D,2024-11-26,,12.55,8.8,8.8,-31.142410015649443,-5,fbm,44930,9,325,0.0,0.0,5,0,0.0,"Ultimate Guard - Katana Sleeves - Purple (100) [Standard Size, 66 x 91mm]",,4.7,338,0,4,344,N/A,98.25581395348837
Toys & Games,20,5.86,B07NGGSR3D,2024-11-27,,12.95,8.8,8.8,-31.142410015649443,-5,fbm,46503,9,326,0.0,0.0,24,0,0.0,"Ultimate Guard - Katana Sleeves - Purple (100) [Standard Size, 66 x 91mm]",,4.7,338,0,4,344,N/A,98.25581395348837
Toys & Games,20,5.86,B07NGGSR3D,2024-11-28,,12.95,8.8,8.8,-31.142410015649443,-5,fbm,46503,9,326,0.0,0.0,29,0,0.0,"Ultimate Guard - Katana Sleeves - Purple (100) [Standard Size, 66 x 91mm]",,4.7,338,0,4,344,N/A,98.25581395348837
Toys & Games,20,5.86,B07NGGSR3D,2024-11-29,,12.99,8.8,8.8,-31.142410015649443,-5,fbm,89337,9,326,0.0,0.0,40,0,0.0,"Ultimate Guard - Katana Sleeves - Purple (100) [Standard Size, 66 x 91mm]",,4.7,338,0,4,344,N/A,98.25581395348837
Toys & Games,20,5.86,B07NGGSR3D,2024-11-30,,12.99,8.8,8.8,-31.142410015649443,-5,fbm,89337,9,326,0.0,0.0,47,0,0.0,"Ultimate Guard - Katana Sleeves - Purple (100) [Standard Size, 66 x 91mm]",,4.7,338,0,4,344,N/A,98.25581395348837
Toys & Games,20,5.86,B07NGGSR3D,2024-12-01,,12.99,8.8,8.8,-31.142410015649443,-5,fbm,89337,9,326,0.0,0.0,57,0,0.0,"Ultimate Guard - Katana Sleeves - Purple (100) [Standard Size, 66 x 91mm]",,4.7,338,0,4,344,N/A,98.25581395348837
Toys & Games,20,5.86,B07NGGSR3D,2024-12-02,,12.29,8.8,8.8,-31.142410015649443,-5,fbm,89199,9,325,0.0,0.0,59,0,0.0,"Ultimate Guard - Katana Sleeves - Purple (100) [Standard Size, 66 x 91mm]",,4.7,338,0,4,344,N/A,98.25581395348837
Toys & Games,20,5.86,B07NGGSR3D,2024-12-03,,12.49,8.8,8.8,-31.142410015649443,-5,fbm,29935,9,325,0.0,0.0,60,0,0.0,"Ultimate Guard - Katana Sleeves - Purple (100) [Standard Size, 66 x 91mm]",,4.7,338,0,4,344,N/A,98.25581395348837
Toys & Games,20,5.86,B07NGGSR3D,2024-12-04,,12.29,8.8,8.8,-31.142410015649443,-5,fbm,46708,9,325,0.0,0.0,60,0,0.0,"Ultimate Guard - Katana Sleeves - Purple (100) [Standard Size, 66 x 91mm]",,4.7,338,0,4,344,N/A,98.25581395348837
Toys & Games,20,5.86,B07NGGSR3D,2024-12-05,,14.29,8.8,8.8,-31.142410015649443,-5,fbm,54727,9,325,0.0,0.0,60,1,12.29,"Ultimate Guard - Katana Sleeves - Purple (100) [Standard Size, 66 x 91mm]",,4.7,338,0,4,344,N/A,98.25581395348837
Toys & Games,20,5.86,B07NGGSR3D,2024-12-06,,14.29,8.8,8.8,-31.142410015649443,-5,fbm,44438,9,325,0.0,0.0,59,0,0.0,"Ultimate Guard - Katana Sleeves - Purple (100) [Standard Size, 66 x 91mm]",,4.7,338,0,4,344,N/A,98.25581395348837
Toys & Games,20,5.86,B07NGGSR3D,2024-12-07,,12.41,8.8,8.8,-31.142410015649443,-5,fbm,83130,9,325,0.0,0.0,59,0,0.0,"Ultimate Guard - Katana Sleeves - Purple (100) [Standard Size, 66 x 91mm]",,4.7,338,0,4,344,N/A,98.25581395348837
Toys & Games,20,5.86,B07NGGSR3D,2024-12-08,,12.41,8.8,8.8,-31.142410015649443,-5,fbm,83130,9,325,0.0,0.0,59,1,12.29,"Ultimate Guard - Katana Sleeves - Purple (100) [Standard Size, 66 x 91mm]",,4.7,338,0,4,344,N/A,98.25581395348837
