Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Toys & Games,20,2.34,B07QPB3T1J,2024-10-26,,8.79,7.99,7.99,9.602194787379975,1,fbm,47944,5,280,0.5,0.3500000000000001,22,1,8.43,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-10-27,,8.35,7.99,7.99,9.602194787379975,1,fbm,53148,,,0.5,0.3500000000000001,21,1,8.35,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-10-28,,8.61,7.99,7.99,9.602194787379975,1,fbm,45153,5,280,0.5,0.3500000000000001,21,1,8.35,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-10-29,,9.35,7.99,7.99,9.602194787379975,1,fbm,49781,5,280,0.5,0.3500000000000001,19,0,0.0,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-10-30,,9.35,7.99,7.99,9.602194787379975,1,fbm,46373,6,280,0.5,0.3500000000000001,19,0,0.0,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-10-31,,7.53,7.99,7.53,3.292181069958851,0,fba,22310,6,280,0.5,0.1200000000000001,19,4,6.2749999999999995,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-11-01,,7.53,7.99,7.53,3.292181069958851,0,fba,40135,4,280,0.5,0.1200000000000001,15,3,7.346666666666667,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-11-02,,7.53,7.78,7.53,3.292181069958851,0,fba,33988,5,280,0.5,0.1200000000000001,12,3,7.53,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-11-03,,7.53,7.99,7.53,3.292181069958851,0,fba,43765,5,280,0.5,0.1200000000000001,9,1,7.53,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-11-04,,7.53,7.99,7.53,3.292181069958851,0,fba,47021,5,280,0.5,0.1200000000000001,8,2,7.53,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-11-05,,7.53,7.99,7.53,3.292181069958851,0,fba,43054,5,280,0.5,0.1200000000000001,6,0,0.0,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-11-06,,7.53,7.99,7.53,3.292181069958851,0,fba,56862,6,280,0.5,0.1200000000000001,6,0,0.0,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-11-07,,7.53,7.99,7.53,3.292181069958851,0,fba,39838,6,280,0.5,0.1200000000000001,6,1,7.53,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-11-08,,7.53,7.99,7.53,3.292181069958851,0,fba,24992,5,280,0.5,0.1200000000000001,5,2,7.54,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-11-09,,7.54,7.99,7.54,3.4293552812071333,0,fba,42560,6,280,0.5,0.125,3,2,7.53,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-11-10,,7.54,7.99,7.54,3.4293552812071333,0,fba,44854,6,280,0.5,0.125,1,1,7.53,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-11-25,,8.3,8.49,8.3,13.854595336076828,2,fba,50543,5,280,0.5,0.5050000000000003,176,0,0.0,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-11-26,,8.3,8.49,8.3,13.854595336076828,2,fba,50543,5,280,0.5,0.5050000000000003,176,0,0.0,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-11-27,,8.43,8.49,8.43,15.637860082304522,2,fba,74522,5,280,0.5,0.5699999999999998,176,1,8.3,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-11-27,,8.38,8.49,8.38,14.951989026063112,2,fba,74522,5,280,0.5,0.5450000000000004,176,1,8.3,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-11-28,,8.38,8.49,8.38,14.951989026063112,2,fba,80735,5,280,0.5,0.5450000000000004,175,2,8.3,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-11-29,,8.37,7.52,7.52,3.1550068587105558,0,fbm,62182,4,280,0.5,0.11499999999999977,173,3,8.37,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-11-30,,8.37,7.52,7.52,3.1550068587105558,0,fbm,48844,4,280,0.5,0.11499999999999977,170,1,9.37,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-01,,8.37,7.52,7.52,3.1550068587105558,0,fbm,57365,6,280,0.5,0.11499999999999977,169,1,8.37,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-02,,8.37,7.53,7.53,3.292181069958851,0,fbm,82173,5,280,0.5,0.1200000000000001,168,2,8.524999999999999,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-03,,8.37,7.53,7.53,3.292181069958851,0,fbm,82173,5,280,0.5,0.1200000000000001,166,3,8.35,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-04,,8.37,7.53,7.53,3.292181069958851,0,fbm,82173,5,280,0.5,0.1200000000000001,163,6,8.35,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-05,,8.37,7.99,7.99,9.602194787379975,1,fbm,41808,5,280,0.5,0.3500000000000001,158,2,10.17,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-06,,8.35,7.99,7.99,9.602194787379975,1,fbm,42899,4,280,0.5,0.3500000000000001,155,0,0.0,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-07,,8.35,7.99,7.99,9.602194787379975,1,fbm,54070,4,280,0.5,0.3500000000000001,155,2,8.3,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-08,,8.3,7.99,7.99,9.602194787379975,1,fbm,41885,5,281,0.5,0.3500000000000001,153,1,8.37,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-08,,9.3,7.99,7.99,9.602194787379975,1,fbm,41885,5,281,0.5,0.3500000000000001,153,1,8.37,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-09,,8.37,7.99,7.99,9.602194787379975,1,fbm,56842,5,281,0.5,0.3500000000000001,152,3,8.37,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-10,,8.37,7.99,7.99,9.602194787379975,1,fbm,56842,5,281,0.5,0.3500000000000001,149,1,8.37,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-11,,8.37,7.99,7.99,9.602194787379975,1,fbm,56842,5,281,0.5,0.3500000000000001,148,0,0.0,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-12,,8.35,7.99,7.99,9.602194787379975,1,fbm,95299,5,281,0.5,0.3500000000000001,148,0,0.0,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-13,,8.35,7.99,7.99,9.602194787379975,1,fbm,95817,5,281,0.5,0.3500000000000001,148,0,0.0,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-14,,8.35,7.99,7.99,9.602194787379975,1,fbm,123487,4,281,0.5,0.3500000000000001,148,1,8.35,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-15,,8.35,7.99,7.99,9.602194787379975,1,fbm,54370,5,281,0.5,0.3500000000000001,147,3,8.316666666666668,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-16,,8.35,7.99,7.99,9.602194787379975,1,fbm,47703,5,281,0.5,0.3500000000000001,144,3,8.3,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-17,,8.35,7.99,7.99,9.602194787379975,1,fbm,45203,5,281,0.5,0.3500000000000001,141,2,8.52,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-18,,8.35,7.99,7.99,9.602194787379975,1,fbm,70820,5,281,0.5,0.3500000000000001,139,1,8.35,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-19,,8.35,7.99,7.99,9.602194787379975,1,fbm,70820,5,281,0.5,0.3500000000000001,138,1,8.35,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-20,,8.35,7.99,7.99,9.602194787379975,1,fbm,80097,4,282,0.5,0.3500000000000001,137,1,8.35,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-21,,8.35,7.99,7.99,9.602194787379975,1,fbm,80097,4,282,0.5,0.3500000000000001,136,0,0.0,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-22,,8.35,7.99,7.99,9.602194787379975,1,fbm,74068,4,282,0.5,0.3500000000000001,136,1,8.35,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-23,,8.35,7.99,7.99,9.602194787379975,1,fbm,74068,4,282,0.5,0.3500000000000001,135,0,0.0,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-24,,8.3,7.99,7.99,9.602194787379975,1,fbm,83039,4,282,0.5,0.3500000000000001,135,0,0.0,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-25,,8.3,7.99,7.99,9.602194787379975,1,fbm,84174,4,282,0.5,0.3500000000000001,135,2,8.3,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-26,,8.3,7.99,7.99,9.602194787379975,1,fbm,47652,4,282,0.5,0.3500000000000001,133,0,0.0,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-27,,8.3,7.99,7.99,9.602194787379975,1,fbm,47652,4,282,0.5,0.3500000000000001,133,6,7.575,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-28,,8.3,7.99,7.99,9.602194787379975,1,fbm,47652,4,282,0.5,0.3500000000000001,128,1,8.35,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-29,,8.3,7.99,7.99,9.602194787379975,1,fbm,39921,4,282,0.5,0.3500000000000001,126,3,8.35,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-30,,8.3,12.07,8.3,13.854595336076828,2,fba,39921,4,282,0.5,0.5050000000000003,123,0,0.0,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2024-12-31,,8.35,12.07,8.35,14.540466392318239,2,fba,38378,3,284,0.5,0.5299999999999998,123,2,8.35,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2025-01-01,,8.35,12.07,8.35,14.540466392318239,2,fba,19904,3,284,0.5,0.5299999999999998,121,3,8.613333333333332,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2025-01-02,,8.38,12.07,8.38,14.951989026063112,2,fba,25573,3,284,0.5,0.5450000000000004,118,1,8.3,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2025-01-03,,8.38,7.99,7.99,9.602194787379975,1,fbm,25573,3,284,0.5,0.3500000000000001,117,2,8.8,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2025-01-04,,8.38,7.99,7.99,9.602194787379975,1,fbm,30840,3,284,0.5,0.3500000000000001,115,2,8.434999999999999,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2025-01-05,,8.38,7.99,7.99,9.602194787379975,1,fbm,20835,5,284,0.5,0.3500000000000001,113,2,8.3,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2025-01-06,,8.38,7.99,7.99,9.602194787379975,1,fbm,25901,5,284,0.5,0.3500000000000001,111,1,8.7,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
Toys & Games,20,2.34,B07QPB3T1J,2025-01-07,,8.3,7.99,7.99,9.602194787379975,1,fbm,38227,4,285,0.5,0.3500000000000001,110,1,8.3,The Army Painter | Basing Glue,,4.5,298,0,2,298,2019-04-29,100.0
