Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
DIY & Tools,20,2.46,B07QQDMJ6M,2024-10-26,,7.99,7.98,7.98,35.48387096774195,4,fbm,19344,6,644,2.0,4.1800000000000015,107,1,7.99,The Army Painter | Hobby: Super Glue,50+ bought in past month,4.4,694,1,1,694,N/A,100.0
DIY & Tools,20,2.46,B07QQDMJ6M,2024-10-27,,7.99,7.98,7.98,35.48387096774195,4,fbm,20670,,,2.0,4.1800000000000015,106,3,7.989999999999999,The Army Painter | Hobby: Super Glue,50+ bought in past month,4.4,694,1,1,694,N/A,100.0
DIY & Tools,20,2.46,B07QQDMJ6M,2024-10-28,,7.18,7.98,7.18,21.901528013582343,3,fba,12724,6,645,2.0,2.58,103,1,9.99,The Army Painter | Hobby: Super Glue,50+ bought in past month,4.4,694,1,1,694,N/A,100.0
DIY & Tools,20,2.46,B07QQDMJ6M,2024-10-29,,6.15,7.98,6.15,4.414261460101879,0,fba,20280,6,645,2.0,0.5200000000000014,102,5,6.786,The Army Painter | Hobby: Super Glue,50+ bought in past month,4.4,694,1,1,694,N/A,100.0
DIY & Tools,20,2.46,B07QQDMJ6M,2024-10-30,,6.15,7.98,6.15,4.414261460101879,0,fba,16754,6,645,2.0,0.5200000000000014,97,4,5.6866666666666665,The Army Painter | Hobby: Super Glue,50+ bought in past month,4.4,694,1,1,694,N/A,100.0
DIY & Tools,20,2.46,B07QQDMJ6M,2024-10-31,,6.15,7.98,6.15,4.414261460101879,0,fba,14349,6,645,2.0,0.5200000000000014,93,8,6.321428571428571,The Army Painter | Hobby: Super Glue,50+ bought in past month,4.4,694,1,1,694,N/A,100.0
DIY & Tools,20,2.46,B07QQDMJ6M,2024-11-01,,6.15,7.98,6.15,4.414261460101879,0,fba,12080,6,645,2.0,0.5200000000000014,85,3,6.72,The Army Painter | Hobby: Super Glue,50+ bought in past month,4.4,694,1,1,694,N/A,100.0
DIY & Tools,20,2.46,B07QQDMJ6M,2024-11-02,,6.15,7.98,6.15,4.414261460101879,0,fba,15637,6,645,2.0,0.5200000000000014,82,9,5.76125,The Army Painter | Hobby: Super Glue,50+ bought in past month,4.4,694,1,1,694,N/A,100.0
DIY & Tools,20,2.46,B07QQDMJ6M,2024-11-03,,6.15,7.98,6.15,4.414261460101879,0,fba,17585,6,645,2.0,0.5200000000000014,73,4,5.75,The Army Painter | Hobby: Super Glue,50+ bought in past month,4.4,694,1,1,694,N/A,100.0
DIY & Tools,20,2.46,B07QQDMJ6M,2024-11-04,,7.99,7.98,7.98,35.48387096774195,4,fbm,13365,5,645,2.0,4.1800000000000015,72,2,7.99,The Army Painter | Hobby: Super Glue,50+ bought in past month,4.4,694,1,1,694,N/A,100.0
