Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Toys & Games,20,4.2,B07QXSDZJM,2024-10-26,,11.84,11.72,11.72,155.3376906318083,5,fbm,82178,10,162,0.2,1.4260000000000002,38,0,0.0,"Shaun the Sheep Plush 61176 Backpack Clip, Black and White, Great Gift Idea,9 x 7 x 14 centimetres",,4.7,165,1,10,165,N/A,100.0
Toys & Games,20,4.2,B07QXSDZJM,2024-10-27,,11.84,11.51,11.51,150.76252723311546,5,fbm,109737,,,0.2,1.3840000000000001,38,0,0.0,"Shaun the Sheep Plush 61176 Backpack Clip, Black and White, Great Gift Idea,9 x 7 x 14 centimetres",,4.7,165,1,10,165,N/A,100.0
Toys & Games,20,4.2,B07QXSDZJM,2024-10-28,,11.84,11.51,11.51,150.76252723311546,5,fbm,109737,10,162,0.2,1.3840000000000001,38,0,0.0,"Shaun the Sheep Plush 61176 Backpack Clip, Black and White, Great Gift Idea,9 x 7 x 14 centimetres",,4.7,165,1,10,165,N/A,100.0
Toys & Games,20,4.2,B07QXSDZJM,2024-10-29,,11.84,11.51,11.51,150.76252723311546,5,fbm,87095,22,162,0.2,1.3840000000000001,38,0,0.0,"Shaun the Sheep Plush 61176 Backpack Clip, Black and White, Great Gift Idea,9 x 7 x 14 centimetres",,4.7,165,1,10,165,N/A,100.0
Toys & Games,20,4.2,B07QXSDZJM,2024-10-30,,11.84,11.65,11.65,153.81263616557737,5,fbm,100090,24,162,0.2,1.4120000000000001,38,0,0.0,"Shaun the Sheep Plush 61176 Backpack Clip, Black and White, Great Gift Idea,9 x 7 x 14 centimetres",,4.7,165,1,10,165,N/A,100.0
Toys & Games,20,4.2,B07QXSDZJM,2024-10-31,,11.84,11.51,11.51,150.76252723311546,5,fbm,79884,24,162,0.2,1.3840000000000001,38,0,0.0,"Shaun the Sheep Plush 61176 Backpack Clip, Black and White, Great Gift Idea,9 x 7 x 14 centimetres",,4.7,165,1,10,165,N/A,100.0
Toys & Games,20,4.2,B07QXSDZJM,2024-11-01,,11.84,11.51,11.51,150.76252723311546,5,fbm,98791,24,162,0.2,1.3840000000000001,38,0,0.0,"Shaun the Sheep Plush 61176 Backpack Clip, Black and White, Great Gift Idea,9 x 7 x 14 centimetres",,4.7,165,1,10,165,N/A,100.0
Toys & Games,20,4.2,B07QXSDZJM,2024-11-02,,11.84,11.51,11.51,150.76252723311546,5,fbm,101038,24,162,0.2,1.3840000000000001,38,0,0.0,"Shaun the Sheep Plush 61176 Backpack Clip, Black and White, Great Gift Idea,9 x 7 x 14 centimetres",,4.7,165,1,10,165,N/A,100.0
Toys & Games,20,4.2,B07QXSDZJM,2024-11-03,,11.84,11.51,11.51,150.76252723311546,5,fbm,101038,24,162,0.2,1.3840000000000001,38,1,11.85,"Shaun the Sheep Plush 61176 Backpack Clip, Black and White, Great Gift Idea,9 x 7 x 14 centimetres",,4.7,165,1,10,165,N/A,100.0
Toys & Games,20,4.2,B07QXSDZJM,2024-11-04,,11.84,11.51,11.51,150.76252723311546,5,fbm,101038,24,162,0.2,1.3840000000000001,37,1,11.85,"Shaun the Sheep Plush 61176 Backpack Clip, Black and White, Great Gift Idea,9 x 7 x 14 centimetres",,4.7,165,1,10,165,N/A,100.0
Toys & Games,20,4.2,B07QXSDZJM,2024-11-05,,11.85,11.51,11.51,150.76252723311546,5,fbm,72283,11,162,0.2,1.3840000000000001,36,1,11.85,"Shaun the Sheep Plush 61176 Backpack Clip, Black and White, Great Gift Idea,9 x 7 x 14 centimetres",,4.7,165,1,10,165,N/A,100.0
Toys & Games,20,4.2,B07QXSDZJM,2024-11-06,,11.85,11.41,11.41,148.58387799564272,5,fbm,72283,11,162,0.2,1.364,35,1,11.85,"Shaun the Sheep Plush 61176 Backpack Clip, Black and White, Great Gift Idea,9 x 7 x 14 centimetres",,4.7,165,1,10,165,N/A,100.0
Toys & Games,20,4.2,B07QXSDZJM,2024-11-07,,11.85,11.41,11.41,148.58387799564272,5,fbm,65112,20,162,0.2,1.364,34,1,11.85,"Shaun the Sheep Plush 61176 Backpack Clip, Black and White, Great Gift Idea,9 x 7 x 14 centimetres",,4.7,165,1,10,165,N/A,100.0
Toys & Games,20,4.2,B07QXSDZJM,2024-11-08,,11.85,11.41,11.41,148.58387799564272,5,fbm,57149,20,162,0.2,1.364,33,0,0.0,"Shaun the Sheep Plush 61176 Backpack Clip, Black and White, Great Gift Idea,9 x 7 x 14 centimetres",,4.7,165,1,10,165,N/A,100.0
