Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Health & Personal Care,20,1.54,B07RBWJ6W8,2024-10-26,,4.69,4.81,4.69,12.470023980815359,2,fba,4878,10,3622,3.8333333333333335,1.9933333333333352,79,1,4.69,THE HUMBLE CO. - Dental Floss Picks - 2 in 1 Charcoal Infused with Mint Flavour - Developed by Dentists - Designed in Sweden - Teeth Cleaning - Reusable - Vegan & Cruelty-Free - 50p,100+ bought in past month,4.6,96,3,10,3122,N/A,3.074951953875721
Health & Personal Care,20,1.54,B07RBWJ6W8,2024-10-27,,4.69,4.81,4.69,12.470023980815359,2,fba,4534,11,3622,3.8333333333333335,1.9933333333333352,79,2,4.69,THE HUMBLE CO. - Dental Floss Picks - 2 in 1 Charcoal Infused with Mint Flavour - Developed by Dentists - Designed in Sweden - Teeth Cleaning - Reusable - Vegan & Cruelty-Free - 50p,100+ bought in past month,4.6,96,3,10,3122,N/A,3.074951953875721
Health & Personal Care,20,1.54,B07RBWJ6W8,2024-10-28,,4.69,4.81,4.69,12.470023980815359,2,fba,5021,12,3622,3.8333333333333335,1.9933333333333352,75,2,4.69,THE HUMBLE CO. - Dental Floss Picks - 2 in 1 Charcoal Infused with Mint Flavour - Developed by Dentists - Designed in Sweden - Teeth Cleaning - Reusable - Vegan & Cruelty-Free - 50p,100+ bought in past month,4.6,96,3,10,3122,N/A,3.074951953875721
Health & Personal Care,20,1.54,B07RBWJ6W8,2024-10-29,,4.69,4.81,4.69,12.470023980815359,2,fba,4741,12,3621,3.8333333333333335,1.9933333333333352,74,3,4.69,THE HUMBLE CO. - Dental Floss Picks - 2 in 1 Charcoal Infused with Mint Flavour - Developed by Dentists - Designed in Sweden - Teeth Cleaning - Reusable - Vegan & Cruelty-Free - 50p,100+ bought in past month,4.6,96,3,10,3122,N/A,3.074951953875721
Health & Personal Care,20,1.54,B07RBWJ6W8,2024-10-30,,4.69,4.81,4.69,12.470023980815359,2,fba,4956,12,3623,3.8333333333333335,1.9933333333333352,71,4,4.272500000000001,THE HUMBLE CO. - Dental Floss Picks - 2 in 1 Charcoal Infused with Mint Flavour - Developed by Dentists - Designed in Sweden - Teeth Cleaning - Reusable - Vegan & Cruelty-Free - 50p,100+ bought in past month,4.6,96,3,10,3122,N/A,3.074951953875721
Health & Personal Care,20,1.54,B07RBWJ6W8,2024-10-31,,4.69,4.81,4.69,12.470023980815359,2,fba,5298,12,3624,3.8333333333333335,1.9933333333333352,66,4,4.69,THE HUMBLE CO. - Dental Floss Picks - 2 in 1 Charcoal Infused with Mint Flavour - Developed by Dentists - Designed in Sweden - Teeth Cleaning - Reusable - Vegan & Cruelty-Free - 50p,100+ bought in past month,4.6,96,3,10,3122,N/A,3.074951953875721
Health & Personal Care,20,1.54,B07RBWJ6W8,2024-11-01,,4.69,4.81,4.69,12.470023980815359,2,fba,5723,12,3626,3.8333333333333335,1.9933333333333352,62,0,0.0,THE HUMBLE CO. - Dental Floss Picks - 2 in 1 Charcoal Infused with Mint Flavour - Developed by Dentists - Designed in Sweden - Teeth Cleaning - Reusable - Vegan & Cruelty-Free - 50p,100+ bought in past month,4.6,96,3,10,3122,N/A,3.074951953875721
Health & Personal Care,20,1.54,B07RBWJ6W8,2024-11-02,,4.69,4.81,4.69,12.470023980815359,2,fba,5446,12,3627,3.8333333333333335,1.9933333333333352,62,1,4.69,THE HUMBLE CO. - Dental Floss Picks - 2 in 1 Charcoal Infused with Mint Flavour - Developed by Dentists - Designed in Sweden - Teeth Cleaning - Reusable - Vegan & Cruelty-Free - 50p,100+ bought in past month,4.6,96,3,10,3122,N/A,3.074951953875721
Health & Personal Care,20,1.54,B07RBWJ6W8,2024-11-03,,4.69,4.81,4.69,12.470023980815359,2,fba,4390,12,3628,3.8333333333333335,1.9933333333333352,61,4,4.065,THE HUMBLE CO. - Dental Floss Picks - 2 in 1 Charcoal Infused with Mint Flavour - Developed by Dentists - Designed in Sweden - Teeth Cleaning - Reusable - Vegan & Cruelty-Free - 50p,100+ bought in past month,4.6,96,3,10,3122,N/A,3.074951953875721
Health & Personal Care,20,1.54,B07RBWJ6W8,2024-11-04,,4.69,4.81,4.69,12.470023980815359,2,fba,3647,12,3628,3.8333333333333335,1.9933333333333352,57,5,4.692,THE HUMBLE CO. - Dental Floss Picks - 2 in 1 Charcoal Infused with Mint Flavour - Developed by Dentists - Designed in Sweden - Teeth Cleaning - Reusable - Vegan & Cruelty-Free - 50p,100+ bought in past month,4.6,96,3,10,3122,N/A,3.074951953875721
Health & Personal Care,20,1.54,B07RBWJ6W8,2024-11-05,,4.69,4.81,4.69,12.470023980815359,2,fba,3601,12,3628,3.8333333333333335,1.9933333333333352,53,5,4.692,THE HUMBLE CO. - Dental Floss Picks - 2 in 1 Charcoal Infused with Mint Flavour - Developed by Dentists - Designed in Sweden - Teeth Cleaning - Reusable - Vegan & Cruelty-Free - 50p,100+ bought in past month,4.6,96,3,10,3122,N/A,3.074951953875721
Health & Personal Care,20,1.54,B07RBWJ6W8,2024-11-06,,4.69,4.79,4.69,12.470023980815359,2,fba,4073,12,3628,3.8333333333333335,1.9933333333333352,49,2,2.345,THE HUMBLE CO. - Dental Floss Picks - 2 in 1 Charcoal Infused with Mint Flavour - Developed by Dentists - Designed in Sweden - Teeth Cleaning - Reusable - Vegan & Cruelty-Free - 50p,100+ bought in past month,4.6,96,3,10,3122,N/A,3.074951953875721
