Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Grocery,20,3.36,B0813VNJF8,2024-10-29,5.25,4.49,7.08,4.49,-44.772447724477246,-5,fba,7039,5.0,523.0,0,0,36,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-10-30,5.25,4.49,7.08,4.49,-44.772447724477246,-5,fba,6121,5.0,523.0,0,0,36,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-10-31,5.25,4.49,7.08,4.49,-44.772447724477246,-5,fba,8413,5.0,523.0,0,0,36,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-11-01,5.25,4.49,7.08,4.49,-44.772447724477246,-5,fba,5517,5.0,523.0,0,0,36,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-11-02,5.25,4.49,7.08,4.49,-44.772447724477246,-5,fba,5230,5.0,523.0,0,0,36,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-11-03,5.25,4.49,7.08,4.49,-44.772447724477246,-5,fba,6078,5.0,523.0,0,0,36,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-11-04,5.25,4.49,7.08,4.49,-44.772447724477246,-5,fba,4782,5.0,523.0,0,0,36,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-11-05,5.25,4.49,7.08,4.49,-44.772447724477246,-5,fba,4847,5.0,523.0,0,0,36,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-11-06,5.25,4.49,7.08,4.49,-44.772447724477246,-5,fba,5191,5.0,523.0,0,0,36,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-11-07,5.25,4.49,7.08,4.49,-44.772447724477246,-5,fba,5232,5.0,523.0,0,0,36,1,4.49,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
Grocery,20,3.36,B0813VNJF8,2024-11-08,5.25,4.49,7.08,4.49,-44.772447724477246,-5,fba,6141,5.0,523.0,0,0,35,0,0.0,Teapigs Limited Edition Winter Glühwein Herbal Tea Made With Whole Fruits and Spices (1 Pack of 10 Teabags) Naturally Caffeine Free | Christmas,,4.4,541,2,10,546,N/A,99.08424908424908
