Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Grocery,20,2.0,B084HF25YN,2024-11-13,3.99,7.99,8.7,3.99,-10.538116591928246,-5,amazon,7060,1.0,436,0.0,0.0,7,1,7.99,Marcel's Green Soap - Toilet Cleaner Orange & Jasmine - Kill bacteria and leave a fresh scent without bleach - Eco friendly - Vegan - 99% Biodegradable - 750 ML,100+ bought in past month,4.4,318,2,5,526,N/A,60.45627376425855
Grocery,20,2.0,B084HF25YN,2024-11-14,3.99,7.99,8.7,3.99,-10.538116591928246,-5,amazon,8832,1.0,437,0.0,0.0,28,0,0.0,Marcel's Green Soap - Toilet Cleaner Orange & Jasmine - Kill bacteria and leave a fresh scent without bleach - Eco friendly - Vegan - 99% Biodegradable - 750 ML,100+ bought in past month,4.4,318,2,5,526,N/A,60.45627376425855
Grocery,20,2.0,B084HF25YN,2024-11-15,3.99,7.99,8.7,3.99,-10.538116591928246,-5,amazon,12101,1.0,437,0.0,0.0,28,1,7.95,Marcel's Green Soap - Toilet Cleaner Orange & Jasmine - Kill bacteria and leave a fresh scent without bleach - Eco friendly - Vegan - 99% Biodegradable - 750 ML,100+ bought in past month,4.4,318,2,5,526,N/A,60.45627376425855
Grocery,20,2.0,B084HF25YN,2024-11-16,3.99,7.99,8.7,3.99,-10.538116591928246,-5,amazon,12101,1.0,437,0.0,0.0,27,0,0.0,Marcel's Green Soap - Toilet Cleaner Orange & Jasmine - Kill bacteria and leave a fresh scent without bleach - Eco friendly - Vegan - 99% Biodegradable - 750 ML,100+ bought in past month,4.4,318,2,5,526,N/A,60.45627376425855
Grocery,20,2.0,B084HF25YN,2024-11-17,3.99,7.99,8.7,3.99,-10.538116591928246,-5,amazon,8411,7.0,437,0.0,0.0,27,0,0.0,Marcel's Green Soap - Toilet Cleaner Orange & Jasmine - Kill bacteria and leave a fresh scent without bleach - Eco friendly - Vegan - 99% Biodegradable - 750 ML,100+ bought in past month,4.4,318,2,5,526,N/A,60.45627376425855
Grocery,20,2.0,B084HF25YN,2024-11-18,3.99,7.99,8.7,3.99,-10.538116591928246,-5,amazon,8411,7.0,437,0.0,0.0,27,0,0.0,Marcel's Green Soap - Toilet Cleaner Orange & Jasmine - Kill bacteria and leave a fresh scent without bleach - Eco friendly - Vegan - 99% Biodegradable - 750 ML,100+ bought in past month,4.4,318,2,5,526,N/A,60.45627376425855
Grocery,20,2.0,B084HF25YN,2024-11-19,3.99,7.99,8.7,3.99,-10.538116591928246,-5,amazon,10204,2.0,437,0.0,0.0,27,0,0.0,Marcel's Green Soap - Toilet Cleaner Orange & Jasmine - Kill bacteria and leave a fresh scent without bleach - Eco friendly - Vegan - 99% Biodegradable - 750 ML,100+ bought in past month,4.4,318,2,5,526,N/A,60.45627376425855
Grocery,20,2.0,B084HF25YN,2024-11-20,3.99,7.99,7.07,3.99,-10.538116591928246,-5,amazon,8573,1.0,437,0.0,0.0,27,0,0.0,Marcel's Green Soap - Toilet Cleaner Orange & Jasmine - Kill bacteria and leave a fresh scent without bleach - Eco friendly - Vegan - 99% Biodegradable - 750 ML,100+ bought in past month,4.4,318,2,5,526,N/A,60.45627376425855
Grocery,20,2.0,B084HF25YN,2024-11-21,3.99,7.99,7.07,3.99,-10.538116591928246,-5,amazon,13090,1.0,437,0.0,0.0,27,0,0.0,Marcel's Green Soap - Toilet Cleaner Orange & Jasmine - Kill bacteria and leave a fresh scent without bleach - Eco friendly - Vegan - 99% Biodegradable - 750 ML,100+ bought in past month,4.4,318,2,5,526,N/A,60.45627376425855
Grocery,20,2.0,B084HF25YN,2024-11-22,3.99,7.99,7.07,3.99,-10.538116591928246,-5,amazon,11387,1.0,437,0.0,0.0,27,1,7.99,Marcel's Green Soap - Toilet Cleaner Orange & Jasmine - Kill bacteria and leave a fresh scent without bleach - Eco friendly - Vegan - 99% Biodegradable - 750 ML,100+ bought in past month,4.4,318,2,5,526,N/A,60.45627376425855
Grocery,20,2.0,B084HF25YN,2024-11-23,3.99,7.99,7.07,3.99,-10.538116591928246,-5,amazon,12219,1.0,437,0.0,0.0,26,0,0.0,Marcel's Green Soap - Toilet Cleaner Orange & Jasmine - Kill bacteria and leave a fresh scent without bleach - Eco friendly - Vegan - 99% Biodegradable - 750 ML,100+ bought in past month,4.4,318,2,5,526,N/A,60.45627376425855
Grocery,20,2.0,B084HF25YN,2024-11-24,3.99,7.99,6.82,3.99,-10.538116591928246,-5,amazon,12219,1.0,437,0.0,0.0,26,1,7.99,Marcel's Green Soap - Toilet Cleaner Orange & Jasmine - Kill bacteria and leave a fresh scent without bleach - Eco friendly - Vegan - 99% Biodegradable - 750 ML,100+ bought in past month,4.4,318,2,5,526,N/A,60.45627376425855
Grocery,20,2.0,B084HF25YN,2024-11-25,3.99,7.99,6.82,3.99,-10.538116591928246,-5,amazon,9117,1.0,446,0.0,0.0,25,0,0.0,Marcel's Green Soap - Toilet Cleaner Orange & Jasmine - Kill bacteria and leave a fresh scent without bleach - Eco friendly - Vegan - 99% Biodegradable - 750 ML,100+ bought in past month,4.4,318,2,5,526,N/A,60.45627376425855
