Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Health & Personal Care,20,4.79,B086ZD7MG6,2025-03-16,,6.9,9.99,6.9,-17.661097852028643,-5,fba,7018,10,943,0.0,0.0,5,0,0.0,"Curaprox CPS 07 Prime Start Interdental Brush Kit, Red - 5 x 0.7mm - 2.5mm Interdental Brushes + 2 Interdental Toothbrush Holders",50+ bought in past month,4.4,362,1,10,1494,N/A,24.230254350736278
Health & Personal Care,20,4.79,B086ZD7MG6,2025-03-18,,6.9,9.99,6.9,-17.661097852028643,-5,fba,5110,10,944,0.0,0.0,11,0,0.0,"Curaprox CPS 07 Prime Start Interdental Brush Kit, Red - 5 x 0.7mm - 2.5mm Interdental Brushes + 2 Interdental Toothbrush Holders",50+ bought in past month,4.4,362,1,10,1494,N/A,24.230254350736278
Health & Personal Care,20,4.79,B086ZD7MG6,2025-03-19,,6.9,9.99,6.9,-17.661097852028643,-5,fba,5918,10,945,0.0,0.0,18,0,0.0,"Curaprox CPS 07 Prime Start Interdental Brush Kit, Red - 5 x 0.7mm - 2.5mm Interdental Brushes + 2 Interdental Toothbrush Holders",50+ bought in past month,4.4,362,1,10,1494,N/A,24.230254350736278
Health & Personal Care,20,4.79,B086ZD7MG6,2025-03-20,,6.9,9.99,6.9,-17.661097852028643,-5,fba,7937,10,945,0.0,0.0,29,0,0.0,"Curaprox CPS 07 Prime Start Interdental Brush Kit, Red - 5 x 0.7mm - 2.5mm Interdental Brushes + 2 Interdental Toothbrush Holders",50+ bought in past month,4.4,362,1,10,1494,N/A,24.230254350736278
Health & Personal Care,20,4.79,B086ZD7MG6,2025-03-21,,6.9,9.99,6.9,-17.661097852028643,-5,fba,7133,10,947,0.0,0.0,29,0,0.0,"Curaprox CPS 07 Prime Start Interdental Brush Kit, Red - 5 x 0.7mm - 2.5mm Interdental Brushes + 2 Interdental Toothbrush Holders",50+ bought in past month,4.4,362,1,10,1494,N/A,24.230254350736278
Health & Personal Care,20,4.79,B086ZD7MG6,2025-03-22,,6.9,9.99,6.9,-17.661097852028643,-5,fba,7646,10,949,0.0,0.0,30,0,0.0,"Curaprox CPS 07 Prime Start Interdental Brush Kit, Red - 5 x 0.7mm - 2.5mm Interdental Brushes + 2 Interdental Toothbrush Holders",50+ bought in past month,4.4,362,1,10,1494,N/A,24.230254350736278
Health & Personal Care,20,4.79,B086ZD7MG6,2025-03-23,,6.9,9.99,6.9,-17.661097852028643,-5,fba,8792,10,949,0.0,0.0,30,0,0.0,"Curaprox CPS 07 Prime Start Interdental Brush Kit, Red - 5 x 0.7mm - 2.5mm Interdental Brushes + 2 Interdental Toothbrush Holders",50+ bought in past month,4.4,362,1,10,1494,N/A,24.230254350736278
Health & Personal Care,20,4.79,B086ZD7MG6,2025-03-24,,6.9,9.99,6.9,-17.661097852028643,-5,fba,8972,10,949,0.0,0.0,30,0,0.0,"Curaprox CPS 07 Prime Start Interdental Brush Kit, Red - 5 x 0.7mm - 2.5mm Interdental Brushes + 2 Interdental Toothbrush Holders",50+ bought in past month,4.4,362,1,10,1494,N/A,24.230254350736278
Health & Personal Care,20,4.79,B086ZD7MG6,2025-03-25,,6.9,9.99,6.9,-17.661097852028643,-5,fba,7559,10,1491,0.0,0.0,30,0,0.0,"Curaprox CPS 07 Prime Start Interdental Brush Kit, Red - 5 x 0.7mm - 2.5mm Interdental Brushes + 2 Interdental Toothbrush Holders",50+ bought in past month,4.4,362,1,10,1494,N/A,24.230254350736278
Health & Personal Care,20,4.79,B086ZD7MG6,2025-03-26,,6.9,9.99,6.9,-17.661097852028643,-5,fba,10287,10,1491,0.0,0.0,30,0,0.0,"Curaprox CPS 07 Prime Start Interdental Brush Kit, Red - 5 x 0.7mm - 2.5mm Interdental Brushes + 2 Interdental Toothbrush Holders",50+ bought in past month,4.4,362,1,10,1494,N/A,24.230254350736278
Health & Personal Care,20,4.79,B086ZD7MG6,2025-03-27,,6.9,9.99,6.9,-17.661097852028643,-5,fba,11230,10,1491,0.0,0.0,30,0,0.0,"Curaprox CPS 07 Prime Start Interdental Brush Kit, Red - 5 x 0.7mm - 2.5mm Interdental Brushes + 2 Interdental Toothbrush Holders",50+ bought in past month,4.4,362,1,10,1494,N/A,24.230254350736278
Health & Personal Care,20,4.79,B086ZD7MG6,2025-03-28,,6.9,,6.9,-17.661097852028643,-5,fba,7588,10,1491,0.0,0.0,30,0,0.0,"Curaprox CPS 07 Prime Start Interdental Brush Kit, Red - 5 x 0.7mm - 2.5mm Interdental Brushes + 2 Interdental Toothbrush Holders",50+ bought in past month,4.4,362,1,10,1494,N/A,24.230254350736278
Health & Personal Care,20,4.79,B086ZD7MG6,2025-03-29,,6.9,,6.9,-17.661097852028643,-5,fba,10269,10,1487,0.0,0.0,30,0,0.0,"Curaprox CPS 07 Prime Start Interdental Brush Kit, Red - 5 x 0.7mm - 2.5mm Interdental Brushes + 2 Interdental Toothbrush Holders",50+ bought in past month,4.4,362,1,10,1494,N/A,24.230254350736278
Health & Personal Care,20,4.79,B086ZD7MG6,2025-03-31,,6.9,,6.9,-17.661097852028643,-5,fba,13532,10,1490,0.0,0.0,30,0,0.0,"Curaprox CPS 07 Prime Start Interdental Brush Kit, Red - 5 x 0.7mm - 2.5mm Interdental Brushes + 2 Interdental Toothbrush Holders",50+ bought in past month,4.4,362,1,10,1494,N/A,24.230254350736278
Health & Personal Care,20,4.79,B086ZD7MG6,2025-04-02,,6.9,,6.9,-17.661097852028643,-5,fba,9665,9,1490,0.0,0.0,30,0,0.0,"Curaprox CPS 07 Prime Start Interdental Brush Kit, Red - 5 x 0.7mm - 2.5mm Interdental Brushes + 2 Interdental Toothbrush Holders",50+ bought in past month,4.4,362,1,10,1494,N/A,24.230254350736278
Health & Personal Care,20,4.79,B086ZD7MG6,2025-04-03,,6.9,,6.9,-17.661097852028643,-5,fba,7080,8,1490,0.0,0.0,30,0,0.0,"Curaprox CPS 07 Prime Start Interdental Brush Kit, Red - 5 x 0.7mm - 2.5mm Interdental Brushes + 2 Interdental Toothbrush Holders",50+ bought in past month,4.4,362,1,10,1494,N/A,24.230254350736278
Health & Personal Care,20,4.79,B086ZD7MG6,2025-04-04,,6.9,,6.9,-17.661097852028643,-5,fba,9374,8,1491,0.0,0.0,30,0,0.0,"Curaprox CPS 07 Prime Start Interdental Brush Kit, Red - 5 x 0.7mm - 2.5mm Interdental Brushes + 2 Interdental Toothbrush Holders",50+ bought in past month,4.4,362,1,10,1494,N/A,24.230254350736278
Health & Personal Care,20,4.79,B086ZD7MG6,2025-04-05,,6.9,,6.9,-17.661097852028643,-5,fba,8459,8,1491,0.0,0.0,30,0,0.0,"Curaprox CPS 07 Prime Start Interdental Brush Kit, Red - 5 x 0.7mm - 2.5mm Interdental Brushes + 2 Interdental Toothbrush Holders",50+ bought in past month,4.4,362,1,10,1494,N/A,24.230254350736278
Health & Personal Care,20,4.79,B086ZD7MG6,2025-04-06,,6.9,,6.9,-17.661097852028643,-5,fba,8032,8,1493,0.0,0.0,30,0,0.0,"Curaprox CPS 07 Prime Start Interdental Brush Kit, Red - 5 x 0.7mm - 2.5mm Interdental Brushes + 2 Interdental Toothbrush Holders",50+ bought in past month,4.4,362,1,10,1494,N/A,24.230254350736278
Health & Personal Care,20,4.79,B086ZD7MG6,2025-04-07,,6.9,,6.9,-17.661097852028643,-5,fba,9729,8,1494,0.0,0.0,30,0,0.0,"Curaprox CPS 07 Prime Start Interdental Brush Kit, Red - 5 x 0.7mm - 2.5mm Interdental Brushes + 2 Interdental Toothbrush Holders",50+ bought in past month,4.4,362,1,10,1494,N/A,24.230254350736278
Health & Personal Care,20,4.79,B086ZD7MG6,2025-04-08,,6.9,,6.9,-17.661097852028643,-5,fba,10215,,,0.0,0.0,30,0,0.0,"Curaprox CPS 07 Prime Start Interdental Brush Kit, Red - 5 x 0.7mm - 2.5mm Interdental Brushes + 2 Interdental Toothbrush Holders",50+ bought in past month,4.4,362,1,10,1494,N/A,24.230254350736278
