Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Toys & Games,20,6.84,B089B7YDRN,2024-10-26,19.75,16.86,19.95,16.86,12.851405622489958,2,fba,31769,15,1145,0.5333333333333333,1.024,11,0,0.0,Funko POP! Games: Sonic 30th-Silver Hedgehog the Hedgehog - Sonic the Hedgehog - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Video Games Fans,,4.6,1171,0,10,1184,N/A,98.90202702702703
Toys & Games,20,6.84,B089B7YDRN,2024-10-27,19.47,16.86,19.95,16.86,12.851405622489958,2,fba,31769,,,0.5333333333333333,1.024,11,0,0.0,Funko POP! Games: Sonic 30th-Silver Hedgehog the Hedgehog - Sonic the Hedgehog - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Video Games Fans,,4.6,1171,0,10,1184,N/A,98.90202702702703
Toys & Games,20,6.84,B089B7YDRN,2024-10-28,19.84,17.11,19.95,17.11,14.524765729585006,2,fba,26080,15,1145,0.5333333333333333,1.1573333333333333,11,1,17.21,Funko POP! Games: Sonic 30th-Silver Hedgehog the Hedgehog - Sonic the Hedgehog - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Video Games Fans,,4.6,1171,0,10,1184,N/A,98.90202702702703
Toys & Games,20,6.84,B089B7YDRN,2024-10-29,19.56,17.11,19.95,17.11,14.524765729585006,2,fba,42485,15,1145,0.5333333333333333,1.1573333333333333,11,0,0.0,Funko POP! Games: Sonic 30th-Silver Hedgehog the Hedgehog - Sonic the Hedgehog - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Video Games Fans,,4.6,1171,0,10,1184,N/A,98.90202702702703
Toys & Games,20,6.84,B089B7YDRN,2024-10-30,19.0,16.86,17.95,16.86,12.851405622489958,2,fba,49798,16,1145,0.5333333333333333,1.024,11,0,0.0,Funko POP! Games: Sonic 30th-Silver Hedgehog the Hedgehog - Sonic the Hedgehog - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Video Games Fans,,4.6,1171,0,10,1184,N/A,98.90202702702703
Toys & Games,20,6.84,B089B7YDRN,2024-10-31,18.84,16.86,17.95,16.86,12.851405622489958,2,fba,28377,17,1145,0.5333333333333333,1.024,11,0,0.0,Funko POP! Games: Sonic 30th-Silver Hedgehog the Hedgehog - Sonic the Hedgehog - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Video Games Fans,,4.6,1171,0,10,1184,N/A,98.90202702702703
Toys & Games,20,6.84,B089B7YDRN,2024-11-01,18.56,16.86,17.95,16.86,12.851405622489958,2,fba,24869,17,1145,0.5333333333333333,1.024,11,0,0.0,Funko POP! Games: Sonic 30th-Silver Hedgehog the Hedgehog - Sonic the Hedgehog - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Video Games Fans,,4.6,1171,0,10,1184,N/A,98.90202702702703
Toys & Games,20,6.84,B089B7YDRN,2024-11-02,19.88,16.86,17.95,16.86,12.851405622489958,2,fba,18206,17,1145,0.5333333333333333,1.024,11,0,0.0,Funko POP! Games: Sonic 30th-Silver Hedgehog the Hedgehog - Sonic the Hedgehog - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Video Games Fans,,4.6,1171,0,10,1184,N/A,98.90202702702703
Toys & Games,20,6.84,B089B7YDRN,2024-11-03,18.96,16.86,17.95,16.86,12.851405622489958,2,fba,21315,17,1145,0.5333333333333333,1.024,11,0,0.0,Funko POP! Games: Sonic 30th-Silver Hedgehog the Hedgehog - Sonic the Hedgehog - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Video Games Fans,,4.6,1171,0,10,1184,N/A,98.90202702702703
Toys & Games,20,6.84,B089B7YDRN,2024-11-04,19.8,16.86,17.95,16.86,12.851405622489958,2,fba,10720,18,1146,0.5333333333333333,1.024,11,0,0.0,Funko POP! Games: Sonic 30th-Silver Hedgehog the Hedgehog - Sonic the Hedgehog - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Video Games Fans,,4.6,1171,0,10,1184,N/A,98.90202702702703
