Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Health & Personal Care,20,2.05,B08KFFY86W,2024-10-26,4.25,5.25,,4.25,-10.147991543340389,-5,amazon,1693,10,1289,0.0,0.0,404,20,4.9575,"TePe EasyPick Toothpicks, Purple, ISO XL, 36pcs, Plaque Remover, efficient Clean Between The Teeth, Durable Dental Picks for Wide Gaps, Travel case Included",1K+ bought in past month,4.6,1231,8,10,29639,N/A,4.153311515233307
Health & Personal Care,20,2.05,B08KFFY86W,2024-10-26,5.06,5.24,4.62,4.62,-2.3255813953488436,-5,fbm,1693,10,1289,0.0,0.0,404,20,4.9575,"TePe EasyPick Toothpicks, Purple, ISO XL, 36pcs, Plaque Remover, efficient Clean Between The Teeth, Durable Dental Picks for Wide Gaps, Travel case Included",1K+ bought in past month,4.6,1231,8,10,29639,N/A,4.153311515233307
Health & Personal Care,20,2.05,B08KFFY86W,2024-10-26,5.41,5.21,,5.21,10.14799154334037,2,fba,1693,10,1289,0.03333333333333333,0.015999999999999983,404,20,4.9575,"TePe EasyPick Toothpicks, Purple, ISO XL, 36pcs, Plaque Remover, efficient Clean Between The Teeth, Durable Dental Picks for Wide Gaps, Travel case Included",1K+ bought in past month,4.6,1231,8,10,29639,N/A,4.153311515233307
Health & Personal Care,20,2.05,B08KFFY86W,2024-10-27,4.25,5.24,,4.25,-10.147991543340389,-5,amazon,1824,,,0.0,0.0,394,20,4.460476190476191,"TePe EasyPick Toothpicks, Purple, ISO XL, 36pcs, Plaque Remover, efficient Clean Between The Teeth, Durable Dental Picks for Wide Gaps, Travel case Included",1K+ bought in past month,4.6,1231,8,10,29639,N/A,4.153311515233307
Health & Personal Care,20,2.05,B08KFFY86W,2024-10-27,5.29,5.15,,5.15,8.87949260042283,1,fba,1824,,,0.03333333333333333,0.013999999999999997,394,20,4.460476190476191,"TePe EasyPick Toothpicks, Purple, ISO XL, 36pcs, Plaque Remover, efficient Clean Between The Teeth, Durable Dental Picks for Wide Gaps, Travel case Included",1K+ bought in past month,4.6,1231,8,10,29639,N/A,4.153311515233307
Health & Personal Care,20,2.05,B08KFFY86W,2024-10-28,5.29,5.17,4.67,4.67,-1.268498942917558,-5,fbm,2162,11,1290,0.0,0.0,408,15,4.666923076923077,"TePe EasyPick Toothpicks, Purple, ISO XL, 36pcs, Plaque Remover, efficient Clean Between The Teeth, Durable Dental Picks for Wide Gaps, Travel case Included",1K+ bought in past month,4.6,1231,8,10,29639,N/A,4.153311515233307
Health & Personal Care,20,2.05,B08KFFY86W,2024-10-28,5.29,5.15,,5.15,8.87949260042283,1,fba,2162,11,1290,0.03333333333333333,0.013999999999999997,408,15,4.666923076923077,"TePe EasyPick Toothpicks, Purple, ISO XL, 36pcs, Plaque Remover, efficient Clean Between The Teeth, Durable Dental Picks for Wide Gaps, Travel case Included",1K+ bought in past month,4.6,1231,8,10,29639,N/A,4.153311515233307
Health & Personal Care,20,2.05,B08KFFY86W,2024-10-28,5.29,5.2,,5.2,9.936575052854115,1,fba,2162,11,1290,0.03333333333333333,0.01566666666666666,408,15,4.666923076923077,"TePe EasyPick Toothpicks, Purple, ISO XL, 36pcs, Plaque Remover, efficient Clean Between The Teeth, Durable Dental Picks for Wide Gaps, Travel case Included",1K+ bought in past month,4.6,1231,8,10,29639,N/A,4.153311515233307
Health & Personal Care,20,2.05,B08KFFY86W,2024-10-28,5.29,5.15,4.67,4.67,-1.268498942917558,-5,fbm,2162,11,1290,0.0,0.0,408,15,4.666923076923077,"TePe EasyPick Toothpicks, Purple, ISO XL, 36pcs, Plaque Remover, efficient Clean Between The Teeth, Durable Dental Picks for Wide Gaps, Travel case Included",1K+ bought in past month,4.6,1231,8,10,29639,N/A,4.153311515233307
Health & Personal Care,20,2.05,B08KFFY86W,2024-10-29,5.29,5.17,,5.17,9.302325581395337,1,fba,1830,10,1290,0.03333333333333333,0.014666666666666649,394,14,4.748333333333334,"TePe EasyPick Toothpicks, Purple, ISO XL, 36pcs, Plaque Remover, efficient Clean Between The Teeth, Durable Dental Picks for Wide Gaps, Travel case Included",1K+ bought in past month,4.6,1231,8,10,29639,N/A,4.153311515233307
Health & Personal Care,20,2.05,B08KFFY86W,2024-10-30,5.29,5.15,5.2,5.15,8.87949260042283,1,fba,1768,9,1292,0.03333333333333333,0.013999999999999997,379,20,5.173,"TePe EasyPick Toothpicks, Purple, ISO XL, 36pcs, Plaque Remover, efficient Clean Between The Teeth, Durable Dental Picks for Wide Gaps, Travel case Included",1K+ bought in past month,4.6,1231,8,10,29639,N/A,4.153311515233307
Health & Personal Care,20,2.05,B08KFFY86W,2024-10-31,5.29,5.15,4.68,4.68,-1.0570824524313045,-5,fbm,1762,11,1292,0.0,0.0,757,8,4.800714285714285,"TePe EasyPick Toothpicks, Purple, ISO XL, 36pcs, Plaque Remover, efficient Clean Between The Teeth, Durable Dental Picks for Wide Gaps, Travel case Included",1K+ bought in past month,4.6,1231,8,10,29639,N/A,4.153311515233307
