Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Toys & Games,20,8.48,B08M8CQHHV,2024-10-26,,23.99,20.99,20.99,21.61066048667437,3,fbm,123113,5,394,0.06666666666666667,0.24866666666666645,5,0,0.0,"AQUARIUS 65370 Lord of The Rings Map 1000 Piece Jigsaw Puzzle, Multi-Colored, One Size",,4.5,431,2,6,431,N/A,100.0
Toys & Games,20,8.48,B08M8CQHHV,2024-10-27,,23.99,20.99,20.99,21.61066048667437,3,fbm,127486,,,0.06666666666666667,0.24866666666666645,5,1,23.99,"AQUARIUS 65370 Lord of The Rings Map 1000 Piece Jigsaw Puzzle, Multi-Colored, One Size",,4.5,431,2,6,431,N/A,100.0
Toys & Games,20,8.48,B08M8CQHHV,2024-10-28,,23.99,19.99,19.99,15.81691772885282,2,fbm,79409,5,394,0.06666666666666667,0.1819999999999998,4,0,0.0,"AQUARIUS 65370 Lord of The Rings Map 1000 Piece Jigsaw Puzzle, Multi-Colored, One Size",,4.5,431,2,6,431,N/A,100.0
Toys & Games,20,8.48,B08M8CQHHV,2024-10-29,,23.99,19.99,19.99,15.81691772885282,2,fbm,120678,5,394,0.06666666666666667,0.1819999999999998,4,0,0.0,"AQUARIUS 65370 Lord of The Rings Map 1000 Piece Jigsaw Puzzle, Multi-Colored, One Size",,4.5,431,2,6,431,N/A,100.0
Toys & Games,20,8.48,B08M8CQHHV,2024-10-30,,23.99,19.99,19.99,15.81691772885282,2,fbm,90752,5,394,0.06666666666666667,0.1819999999999998,4,0,0.0,"AQUARIUS 65370 Lord of The Rings Map 1000 Piece Jigsaw Puzzle, Multi-Colored, One Size",,4.5,431,2,6,431,N/A,100.0
Toys & Games,20,8.48,B08M8CQHHV,2024-10-31,,23.99,19.99,19.99,15.81691772885282,2,fbm,83261,5,394,0.06666666666666667,0.1819999999999998,4,0,0.0,"AQUARIUS 65370 Lord of The Rings Map 1000 Piece Jigsaw Puzzle, Multi-Colored, One Size",,4.5,431,2,6,431,N/A,100.0
Toys & Games,20,8.48,B08M8CQHHV,2024-11-01,,23.99,19.99,19.99,15.81691772885282,2,fbm,111759,5,394,0.06666666666666667,0.1819999999999998,4,0,0.0,"AQUARIUS 65370 Lord of The Rings Map 1000 Piece Jigsaw Puzzle, Multi-Colored, One Size",,4.5,431,2,6,431,N/A,100.0
Toys & Games,20,8.48,B08M8CQHHV,2024-11-02,,23.99,19.99,19.99,15.81691772885282,2,fbm,126498,5,394,0.06666666666666667,0.1819999999999998,4,1,23.99,"AQUARIUS 65370 Lord of The Rings Map 1000 Piece Jigsaw Puzzle, Multi-Colored, One Size",,4.5,431,2,6,431,N/A,100.0
Toys & Games,20,8.48,B08M8CQHHV,2024-11-03,,23.99,19.99,19.99,15.81691772885282,2,fbm,88224,5,394,0.06666666666666667,0.1819999999999998,3,0,0.0,"AQUARIUS 65370 Lord of The Rings Map 1000 Piece Jigsaw Puzzle, Multi-Colored, One Size",,4.5,431,2,6,431,N/A,100.0
Toys & Games,20,8.48,B08M8CQHHV,2024-11-04,,23.99,19.99,19.99,15.81691772885282,2,fbm,107912,5,394,0.06666666666666667,0.1819999999999998,3,0,0.0,"AQUARIUS 65370 Lord of The Rings Map 1000 Piece Jigsaw Puzzle, Multi-Colored, One Size",,4.5,431,2,6,431,N/A,100.0
