Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Toys & Games,20,4.68,B08WYJM23V,2024-10-26,,11.61,11.85,11.61,21.443514644351453,3,fba,53999,9,262,0.2,0.4099999999999998,11,0,0.0,Ultra Pro E-15612 Eclipse Standard Matte Sleeves 100 Pack-Arctic White,,4.7,278,0,2,280,N/A,99.28571428571429
Toys & Games,20,4.68,B08WYJM23V,2024-10-27,,11.61,12.97,11.61,21.443514644351453,3,fba,58521,,,0.2,0.4099999999999998,11,0,0.0,Ultra Pro E-15612 Eclipse Standard Matte Sleeves 100 Pack-Arctic White,,4.7,278,0,2,280,N/A,99.28571428571429
Toys & Games,20,4.68,B08WYJM23V,2024-10-28,,11.67,12.97,11.67,22.071129707112963,3,fba,36889,10,262,0.2,0.42199999999999993,11,0,0.0,Ultra Pro E-15612 Eclipse Standard Matte Sleeves 100 Pack-Arctic White,,4.7,278,0,2,280,N/A,99.28571428571429
Toys & Games,20,4.68,B08WYJM23V,2024-10-29,,11.67,12.97,11.67,22.071129707112963,3,fba,78590,18,262,0.2,0.42199999999999993,11,0,0.0,Ultra Pro E-15612 Eclipse Standard Matte Sleeves 100 Pack-Arctic White,,4.7,278,0,2,280,N/A,99.28571428571429
Toys & Games,20,4.68,B08WYJM23V,2024-10-30,,11.67,12.97,11.67,22.071129707112963,3,fba,81567,18,262,0.2,0.42199999999999993,11,0,0.0,Ultra Pro E-15612 Eclipse Standard Matte Sleeves 100 Pack-Arctic White,,4.7,278,0,2,280,N/A,99.28571428571429
Toys & Games,20,4.68,B08WYJM23V,2024-10-31,,11.61,12.97,11.61,21.443514644351453,3,fba,76431,9,262,0.2,0.4099999999999998,11,0,0.0,Ultra Pro E-15612 Eclipse Standard Matte Sleeves 100 Pack-Arctic White,,4.7,278,0,2,280,N/A,99.28571428571429
Toys & Games,20,4.68,B08WYJM23V,2024-11-01,,11.61,11.85,11.61,21.443514644351453,3,fba,32864,9,262,0.2,0.4099999999999998,11,0,0.0,Ultra Pro E-15612 Eclipse Standard Matte Sleeves 100 Pack-Arctic White,,4.7,278,0,2,280,N/A,99.28571428571429
Toys & Games,20,4.68,B08WYJM23V,2024-11-02,,11.61,11.85,11.61,21.443514644351453,3,fba,32864,9,262,0.2,0.4099999999999998,11,0,0.0,Ultra Pro E-15612 Eclipse Standard Matte Sleeves 100 Pack-Arctic White,,4.7,278,0,2,280,N/A,99.28571428571429
Toys & Games,20,4.68,B08WYJM23V,2024-11-03,,11.61,11.85,11.61,21.443514644351453,3,fba,32864,9,262,0.2,0.4099999999999998,11,0,0.0,Ultra Pro E-15612 Eclipse Standard Matte Sleeves 100 Pack-Arctic White,,4.7,278,0,2,280,N/A,99.28571428571429
Toys & Games,20,4.68,B08WYJM23V,2024-11-04,,11.61,11.85,11.61,21.443514644351453,3,fba,56296,16,262,0.2,0.4099999999999998,11,0,0.0,Ultra Pro E-15612 Eclipse Standard Matte Sleeves 100 Pack-Arctic White,,4.7,278,0,2,280,N/A,99.28571428571429
Toys & Games,20,4.68,B08WYJM23V,2024-11-05,,11.67,11.85,11.67,22.071129707112963,3,fba,64810,9,262,0.2,0.42199999999999993,11,3,3.8833333333333333,Ultra Pro E-15612 Eclipse Standard Matte Sleeves 100 Pack-Arctic White,,4.7,278,0,2,280,N/A,99.28571428571429
Toys & Games,20,4.68,B08WYJM23V,2024-11-06,,11.67,11.85,11.67,22.071129707112963,3,fba,64810,9,262,0.2,0.42199999999999993,8,1,11.66,Ultra Pro E-15612 Eclipse Standard Matte Sleeves 100 Pack-Arctic White,,4.7,278,0,2,280,N/A,99.28571428571429
Toys & Games,20,4.68,B08WYJM23V,2024-11-07,,11.6,11.85,11.6,21.338912133891203,3,fba,30837,9,262,0.2,0.40799999999999986,7,1,11.6,Ultra Pro E-15612 Eclipse Standard Matte Sleeves 100 Pack-Arctic White,,4.7,278,0,2,280,N/A,99.28571428571429
Toys & Games,20,4.68,B08WYJM23V,2024-11-08,,11.67,11.85,11.67,22.071129707112963,3,fba,23377,9,262,0.2,0.42199999999999993,6,0,0.0,Ultra Pro E-15612 Eclipse Standard Matte Sleeves 100 Pack-Arctic White,,4.7,278,0,2,280,N/A,99.28571428571429
Toys & Games,20,4.68,B08WYJM23V,2024-11-09,,11.67,11.85,11.67,22.071129707112963,3,fba,23377,9,262,0.2,0.42199999999999993,6,2,5.805,Ultra Pro E-15612 Eclipse Standard Matte Sleeves 100 Pack-Arctic White,,4.7,278,0,2,280,N/A,99.28571428571429
Toys & Games,20,4.68,B08WYJM23V,2024-11-10,,11.67,11.85,11.67,22.071129707112963,3,fba,17687,20,262,0.2,0.42199999999999993,4,0,0.0,Ultra Pro E-15612 Eclipse Standard Matte Sleeves 100 Pack-Arctic White,,4.7,278,0,2,280,N/A,99.28571428571429
Toys & Games,20,4.68,B08WYJM23V,2024-11-11,,11.67,11.95,11.67,22.071129707112963,3,fba,43887,18,262,0.2,0.42199999999999993,4,0,0.0,Ultra Pro E-15612 Eclipse Standard Matte Sleeves 100 Pack-Arctic White,,4.7,278,0,2,280,N/A,99.28571428571429
Toys & Games,20,4.68,B08WYJM23V,2024-11-12,,11.67,11.95,11.67,22.071129707112963,3,fba,49410,16,262,0.2,0.42199999999999993,4,0,0.0,Ultra Pro E-15612 Eclipse Standard Matte Sleeves 100 Pack-Arctic White,,4.7,278,0,2,280,N/A,99.28571428571429
Toys & Games,20,4.68,B08WYJM23V,2024-11-13,,11.67,11.95,11.67,22.071129707112963,3,fba,27377,18,262,0.2,0.42199999999999993,4,0,0.0,Ultra Pro E-15612 Eclipse Standard Matte Sleeves 100 Pack-Arctic White,,4.7,278,0,2,280,N/A,99.28571428571429
Toys & Games,20,4.68,B08WYJM23V,2024-11-14,,11.67,11.85,11.67,22.071129707112963,3,fba,27377,18,262,0.2,0.42199999999999993,4,0,0.0,Ultra Pro E-15612 Eclipse Standard Matte Sleeves 100 Pack-Arctic White,,4.7,278,0,2,280,N/A,99.28571428571429
Toys & Games,20,4.68,B08WYJM23V,2024-11-15,,11.66,11.85,11.66,21.966527196652716,3,fba,40301,9,265,0.2,0.41999999999999993,4,0,0.0,Ultra Pro E-15612 Eclipse Standard Matte Sleeves 100 Pack-Arctic White,,4.7,278,0,2,280,N/A,99.28571428571429
Toys & Games,20,4.68,B08WYJM23V,2024-11-15,,11.6,11.85,11.6,21.338912133891203,3,fba,40301,9,265,0.2,0.40799999999999986,4,0,0.0,Ultra Pro E-15612 Eclipse Standard Matte Sleeves 100 Pack-Arctic White,,4.7,278,0,2,280,N/A,99.28571428571429
Toys & Games,20,4.68,B08WYJM23V,2024-11-16,,11.6,11.85,11.6,21.338912133891203,3,fba,57497,9,265,0.2,0.40799999999999986,4,0,0.0,Ultra Pro E-15612 Eclipse Standard Matte Sleeves 100 Pack-Arctic White,,4.7,278,0,2,280,N/A,99.28571428571429
Toys & Games,20,4.68,B08WYJM23V,2024-11-17,,11.6,11.85,11.6,21.338912133891203,3,fba,49360,9,265,0.2,0.40799999999999986,4,0,0.0,Ultra Pro E-15612 Eclipse Standard Matte Sleeves 100 Pack-Arctic White,,4.7,278,0,2,280,N/A,99.28571428571429
Toys & Games,20,4.68,B08WYJM23V,2024-11-18,,11.64,11.85,11.64,21.757322175732217,3,fba,75312,9,265,0.2,0.41600000000000004,4,0,0.0,Ultra Pro E-15612 Eclipse Standard Matte Sleeves 100 Pack-Arctic White,,4.7,278,0,2,280,N/A,99.28571428571429
Toys & Games,20,4.68,B08WYJM23V,2024-11-19,,11.64,11.85,11.64,21.757322175732217,3,fba,97100,9,265,0.2,0.41600000000000004,4,0,0.0,Ultra Pro E-15612 Eclipse Standard Matte Sleeves 100 Pack-Arctic White,,4.7,278,0,2,280,N/A,99.28571428571429
Toys & Games,20,4.68,B08WYJM23V,2024-11-20,,11.64,11.85,11.64,21.757322175732217,3,fba,107707,9,265,0.2,0.41600000000000004,4,0,0.0,Ultra Pro E-15612 Eclipse Standard Matte Sleeves 100 Pack-Arctic White,,4.7,278,0,2,280,N/A,99.28571428571429
Toys & Games,20,4.68,B08WYJM23V,2024-11-21,,11.64,11.85,11.64,21.757322175732217,3,fba,96462,18,265,0.2,0.41600000000000004,4,0,0.0,Ultra Pro E-15612 Eclipse Standard Matte Sleeves 100 Pack-Arctic White,,4.7,278,0,2,280,N/A,99.28571428571429
Toys & Games,20,4.68,B08WYJM23V,2024-11-22,,11.64,11.85,11.64,21.757322175732217,3,fba,94514,18,265,0.2,0.41600000000000004,4,0,0.0,Ultra Pro E-15612 Eclipse Standard Matte Sleeves 100 Pack-Arctic White,,4.7,278,0,2,280,N/A,99.28571428571429
Toys & Games,20,4.68,B08WYJM23V,2024-11-23,,11.64,11.85,11.64,21.757322175732217,3,fba,88809,18,265,0.2,0.41600000000000004,4,0,0.0,Ultra Pro E-15612 Eclipse Standard Matte Sleeves 100 Pack-Arctic White,,4.7,278,0,2,280,N/A,99.28571428571429
