Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Health & Personal Care,20,3.89,B093FQYQJH,2025-03-20,,7.05,11.5,7.05,-1.9471488178025114,-5,fba,8451,6,1272,0.0,0.0,50,0,0.0,Curaprox CS 12460 Velvet Ultra-Soft Toothbrush; Extra Soft bristles for Sensitive Gums,200+ bought in past month,4.6,1293,3,10,1293,N/A,100.0
Health & Personal Care,20,3.89,B093FQYQJH,2025-03-21,,7.05,11.5,7.05,-1.9471488178025114,-5,fba,8828,6,1273,0.0,0.0,50,0,0.0,Curaprox CS 12460 Velvet Ultra-Soft Toothbrush; Extra Soft bristles for Sensitive Gums,200+ bought in past month,4.6,1293,3,10,1293,N/A,100.0
Health & Personal Care,20,3.89,B093FQYQJH,2025-03-22,,7.05,11.5,7.05,-1.9471488178025114,-5,fba,9540,6,1275,0.0,0.0,50,0,0.0,Curaprox CS 12460 Velvet Ultra-Soft Toothbrush; Extra Soft bristles for Sensitive Gums,200+ bought in past month,4.6,1293,3,10,1293,N/A,100.0
Health & Personal Care,20,3.89,B093FQYQJH,2025-03-23,,7.05,11.5,7.05,-1.9471488178025114,-5,fba,9346,6,1275,0.0,0.0,50,0,0.0,Curaprox CS 12460 Velvet Ultra-Soft Toothbrush; Extra Soft bristles for Sensitive Gums,200+ bought in past month,4.6,1293,3,10,1293,N/A,100.0
Health & Personal Care,20,3.89,B093FQYQJH,2025-03-24,,7.05,11.5,7.05,-1.9471488178025114,-5,fba,11898,6,1279,0.0,0.0,50,0,0.0,Curaprox CS 12460 Velvet Ultra-Soft Toothbrush; Extra Soft bristles for Sensitive Gums,200+ bought in past month,4.6,1293,3,10,1293,N/A,100.0
Health & Personal Care,20,3.89,B093FQYQJH,2025-03-25,,7.05,11.5,7.05,-1.9471488178025114,-5,fba,11386,6,1279,0.0,0.0,50,2,3.895,Curaprox CS 12460 Velvet Ultra-Soft Toothbrush; Extra Soft bristles for Sensitive Gums,200+ bought in past month,4.6,1293,3,10,1293,N/A,100.0
Health & Personal Care,20,3.89,B093FQYQJH,2025-03-26,,7.05,11.5,7.05,-1.9471488178025114,-5,fba,9974,7,1280,0.0,0.0,47,0,0.0,Curaprox CS 12460 Velvet Ultra-Soft Toothbrush; Extra Soft bristles for Sensitive Gums,200+ bought in past month,4.6,1293,3,10,1293,N/A,100.0
Health & Personal Care,20,3.89,B093FQYQJH,2025-03-27,,7.05,11.5,7.05,-1.9471488178025114,-5,fba,10141,8,1280,0.0,0.0,47,1,7.79,Curaprox CS 12460 Velvet Ultra-Soft Toothbrush; Extra Soft bristles for Sensitive Gums,200+ bought in past month,4.6,1293,3,10,1293,N/A,100.0
Health & Personal Care,20,3.89,B093FQYQJH,2025-03-28,,7.05,11.5,7.05,-1.9471488178025114,-5,fba,11152,8,1280,0.0,0.0,46,0,0.0,Curaprox CS 12460 Velvet Ultra-Soft Toothbrush; Extra Soft bristles for Sensitive Gums,200+ bought in past month,4.6,1293,3,10,1293,N/A,100.0
Health & Personal Care,20,3.89,B093FQYQJH,2025-03-29,,7.05,11.5,7.05,-1.9471488178025114,-5,fba,9116,8,1285,0.0,0.0,47,0,0.0,Curaprox CS 12460 Velvet Ultra-Soft Toothbrush; Extra Soft bristles for Sensitive Gums,200+ bought in past month,4.6,1293,3,10,1293,N/A,100.0
