Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Toys & Games,20,2.45,B096BPSDRZ,2025-03-09,6.09,9.29,9.33,6.09,-17.591339648173204,-5,amazon,59901,6,897,0.0,0.0,6,0,0.0,Ravensburger Bluey 35 Piece Jigsaw Puzzle for Kids Age 3 Years Up - Educational Toddler Toys,,4.7,912,0,10,912,N/A,100.0
Toys & Games,20,2.45,B096BPSDRZ,2025-03-10,6.09,9.29,9.33,6.09,-17.591339648173204,-5,amazon,43527,6,898,0.0,0.0,6,0,0.0,Ravensburger Bluey 35 Piece Jigsaw Puzzle for Kids Age 3 Years Up - Educational Toddler Toys,,4.7,912,0,10,912,N/A,100.0
Toys & Games,20,2.45,B096BPSDRZ,2025-03-11,6.09,9.29,9.48,6.09,-17.591339648173204,-5,amazon,65625,6,900,0.0,0.0,6,0,0.0,Ravensburger Bluey 35 Piece Jigsaw Puzzle for Kids Age 3 Years Up - Educational Toddler Toys,,4.7,912,0,10,912,N/A,100.0
Toys & Games,20,2.45,B096BPSDRZ,2025-03-12,6.09,9.29,12.99,6.09,-17.591339648173204,-5,amazon,73438,6,900,0.0,0.0,6,0,0.0,Ravensburger Bluey 35 Piece Jigsaw Puzzle for Kids Age 3 Years Up - Educational Toddler Toys,,4.7,912,0,10,912,N/A,100.0
Toys & Games,20,2.45,B096BPSDRZ,2025-03-13,6.09,9.29,12.99,6.09,-17.591339648173204,-5,amazon,45138,7,900,0.0,0.0,6,1,9.29,Ravensburger Bluey 35 Piece Jigsaw Puzzle for Kids Age 3 Years Up - Educational Toddler Toys,,4.7,912,0,10,912,N/A,100.0
Toys & Games,20,2.45,B096BPSDRZ,2025-03-14,6.09,9.29,9.27,6.09,-17.591339648173204,-5,amazon,44892,7,901,0.0,0.0,5,0,0.0,Ravensburger Bluey 35 Piece Jigsaw Puzzle for Kids Age 3 Years Up - Educational Toddler Toys,,4.7,912,0,10,912,N/A,100.0
Toys & Games,20,2.45,B096BPSDRZ,2025-03-15,6.09,9.29,9.27,6.09,-17.591339648173204,-5,amazon,59864,7,901,0.0,0.0,5,0,0.0,Ravensburger Bluey 35 Piece Jigsaw Puzzle for Kids Age 3 Years Up - Educational Toddler Toys,,4.7,912,0,10,912,N/A,100.0
Toys & Games,20,2.45,B096BPSDRZ,2025-03-16,6.09,9.29,9.27,6.09,-17.591339648173204,-5,amazon,66314,7,901,0.0,0.0,5,0,0.0,Ravensburger Bluey 35 Piece Jigsaw Puzzle for Kids Age 3 Years Up - Educational Toddler Toys,,4.7,912,0,10,912,N/A,100.0
Toys & Games,20,2.45,B096BPSDRZ,2025-03-17,8.99,9.29,9.48,8.99,21.650879566982418,3,amazon,57104,7,902,0.6333333333333333,1.0133333333333336,5,0,0.0,Ravensburger Bluey 35 Piece Jigsaw Puzzle for Kids Age 3 Years Up - Educational Toddler Toys,,4.7,912,0,10,912,N/A,100.0
Toys & Games,20,2.45,B096BPSDRZ,2025-03-18,8.99,9.29,9.48,8.99,21.650879566982418,3,amazon,62190,8,903,0.6333333333333333,1.0133333333333336,5,0,0.0,Ravensburger Bluey 35 Piece Jigsaw Puzzle for Kids Age 3 Years Up - Educational Toddler Toys,,4.7,912,0,10,912,N/A,100.0
