Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Toys & Games,20,7.59,B09LHXLGKD,2024-10-26,12.0,17.7,37.78,12.0,-24.19456727732154,-5,amazon,144717,8,543,0.0,0.0,7,0,0.0,Funko POP! Vinyl: Formula One - Valtteri Bottas - Mercedes-Benz - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Sports Fans - Model Figure for Collectors,,4.8,589,1,10,589,N/A,100.0
Toys & Games,20,7.59,B09LHXLGKD,2024-10-27,12.0,17.7,37.78,12.0,-24.19456727732154,-5,amazon,146398,,,0.0,0.0,7,0,0.0,Funko POP! Vinyl: Formula One - Valtteri Bottas - Mercedes-Benz - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Sports Fans - Model Figure for Collectors,,4.8,589,1,10,589,N/A,100.0
Toys & Games,20,7.59,B09LHXLGKD,2024-10-28,12.0,17.7,37.78,12.0,-24.19456727732154,-5,amazon,42307,8,543,0.0,0.0,7,0,0.0,Funko POP! Vinyl: Formula One - Valtteri Bottas - Mercedes-Benz - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Sports Fans - Model Figure for Collectors,,4.8,589,1,10,589,N/A,100.0
Toys & Games,20,7.59,B09LHXLGKD,2024-10-29,12.0,17.7,37.74,12.0,-24.19456727732154,-5,amazon,94618,10,543,0.0,0.0,7,0,0.0,Funko POP! Vinyl: Formula One - Valtteri Bottas - Mercedes-Benz - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Sports Fans - Model Figure for Collectors,,4.8,589,1,10,589,N/A,100.0
Toys & Games,20,7.59,B09LHXLGKD,2024-10-30,12.0,17.7,36.81,12.0,-24.19456727732154,-5,amazon,121481,9,543,0.0,0.0,7,0,0.0,Funko POP! Vinyl: Formula One - Valtteri Bottas - Mercedes-Benz - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Sports Fans - Model Figure for Collectors,,4.8,589,1,10,589,N/A,100.0
Toys & Games,20,7.59,B09LHXLGKD,2024-10-31,12.0,17.7,36.81,12.0,-24.19456727732154,-5,amazon,121634,9,543,0.0,0.0,7,0,0.0,Funko POP! Vinyl: Formula One - Valtteri Bottas - Mercedes-Benz - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Sports Fans - Model Figure for Collectors,,4.8,589,1,10,589,N/A,100.0
Toys & Games,20,7.59,B09LHXLGKD,2024-11-01,12.0,17.7,36.81,12.0,-24.19456727732154,-5,amazon,74538,10,543,0.0,0.0,7,1,17.7,Funko POP! Vinyl: Formula One - Valtteri Bottas - Mercedes-Benz - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Sports Fans - Model Figure for Collectors,,4.8,589,1,10,589,N/A,100.0
Toys & Games,20,7.59,B09LHXLGKD,2024-11-02,12.0,17.7,36.81,12.0,-24.19456727732154,-5,amazon,31054,9,543,0.0,0.0,6,0,0.0,Funko POP! Vinyl: Formula One - Valtteri Bottas - Mercedes-Benz - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Sports Fans - Model Figure for Collectors,,4.8,589,1,10,589,N/A,100.0
Toys & Games,20,7.59,B09LHXLGKD,2024-11-03,12.0,17.7,36.81,12.0,-24.19456727732154,-5,amazon,35323,9,543,0.0,0.0,6,0,0.0,Funko POP! Vinyl: Formula One - Valtteri Bottas - Mercedes-Benz - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Sports Fans - Model Figure for Collectors,,4.8,589,1,10,589,N/A,100.0
Toys & Games,20,7.59,B09LHXLGKD,2024-11-04,12.0,17.7,36.81,12.0,-24.19456727732154,-5,amazon,29070,10,543,0.0,0.0,6,0,0.0,Funko POP! Vinyl: Formula One - Valtteri Bottas - Mercedes-Benz - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Sports Fans - Model Figure for Collectors,,4.8,589,1,10,589,N/A,100.0
