Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Health & Personal Care,20,3.6,B09M3PQRBG,2025-03-16,,6.05,,6.05,58.79265091863516,4,fba,4012,3,300,11.0,24.639999999999997,3,0,0.0,"Curaprox Children's Toothpaste CS Kids Strawberry, 60ml - Strawberry Toothpaste for Kids 2 + Years with 950 ppm Fluoride - SLS Free, Microplastic Free & Triclosan Free Kids Toothpaste., Clear",300+ bought in past month,4.6,157,2,10,312,N/A,50.32051282051282
Health & Personal Care,20,3.6,B09M3PQRBG,2025-03-18,,6.05,,6.05,58.79265091863516,4,fba,4761,3,301,11.0,24.639999999999997,6,0,0.0,"Curaprox Children's Toothpaste CS Kids Strawberry, 60ml - Strawberry Toothpaste for Kids 2 + Years with 950 ppm Fluoride - SLS Free, Microplastic Free & Triclosan Free Kids Toothpaste., Clear",300+ bought in past month,4.6,157,2,10,312,N/A,50.32051282051282
Health & Personal Care,20,3.6,B09M3PQRBG,2025-03-19,,6.05,,6.05,58.79265091863516,4,fba,4502,3,301,11.0,24.639999999999997,9,0,0.0,"Curaprox Children's Toothpaste CS Kids Strawberry, 60ml - Strawberry Toothpaste for Kids 2 + Years with 950 ppm Fluoride - SLS Free, Microplastic Free & Triclosan Free Kids Toothpaste., Clear",300+ bought in past month,4.6,157,2,10,312,N/A,50.32051282051282
Health & Personal Care,20,3.6,B09M3PQRBG,2025-03-20,,6.05,,6.05,58.79265091863516,4,fba,5432,3,302,11.0,24.639999999999997,15,0,0.0,"Curaprox Children's Toothpaste CS Kids Strawberry, 60ml - Strawberry Toothpaste for Kids 2 + Years with 950 ppm Fluoride - SLS Free, Microplastic Free & Triclosan Free Kids Toothpaste., Clear",300+ bought in past month,4.6,157,2,10,312,N/A,50.32051282051282
Health & Personal Care,20,3.6,B09M3PQRBG,2025-03-21,,6.05,,6.05,58.79265091863516,4,fba,4797,3,304,11.0,24.639999999999997,15,0,0.0,"Curaprox Children's Toothpaste CS Kids Strawberry, 60ml - Strawberry Toothpaste for Kids 2 + Years with 950 ppm Fluoride - SLS Free, Microplastic Free & Triclosan Free Kids Toothpaste., Clear",300+ bought in past month,4.6,157,2,10,312,N/A,50.32051282051282
Health & Personal Care,20,3.6,B09M3PQRBG,2025-03-22,,6.05,,6.05,58.79265091863516,4,fba,4948,3,304,11.0,24.639999999999997,15,0,0.0,"Curaprox Children's Toothpaste CS Kids Strawberry, 60ml - Strawberry Toothpaste for Kids 2 + Years with 950 ppm Fluoride - SLS Free, Microplastic Free & Triclosan Free Kids Toothpaste., Clear",300+ bought in past month,4.6,157,2,10,312,N/A,50.32051282051282
Health & Personal Care,20,3.6,B09M3PQRBG,2025-03-23,,6.05,,6.05,58.79265091863516,4,fba,4719,3,304,11.0,24.639999999999997,15,0,0.0,"Curaprox Children's Toothpaste CS Kids Strawberry, 60ml - Strawberry Toothpaste for Kids 2 + Years with 950 ppm Fluoride - SLS Free, Microplastic Free & Triclosan Free Kids Toothpaste., Clear",300+ bought in past month,4.6,157,2,10,312,N/A,50.32051282051282
Health & Personal Care,20,3.6,B09M3PQRBG,2025-03-24,,6.05,,6.05,58.79265091863516,4,fba,4144,3,304,11.0,24.639999999999997,15,0,0.0,"Curaprox Children's Toothpaste CS Kids Strawberry, 60ml - Strawberry Toothpaste for Kids 2 + Years with 950 ppm Fluoride - SLS Free, Microplastic Free & Triclosan Free Kids Toothpaste., Clear",300+ bought in past month,4.6,157,2,10,312,N/A,50.32051282051282
Health & Personal Care,20,3.6,B09M3PQRBG,2025-03-25,,6.05,,6.05,58.79265091863516,4,fba,4337,3,305,11.0,24.639999999999997,15,0,0.0,"Curaprox Children's Toothpaste CS Kids Strawberry, 60ml - Strawberry Toothpaste for Kids 2 + Years with 950 ppm Fluoride - SLS Free, Microplastic Free & Triclosan Free Kids Toothpaste., Clear",300+ bought in past month,4.6,157,2,10,312,N/A,50.32051282051282
Health & Personal Care,20,3.6,B09M3PQRBG,2025-03-26,,6.05,,6.05,58.79265091863516,4,fba,4440,3,305,11.0,24.639999999999997,15,0,0.0,"Curaprox Children's Toothpaste CS Kids Strawberry, 60ml - Strawberry Toothpaste for Kids 2 + Years with 950 ppm Fluoride - SLS Free, Microplastic Free & Triclosan Free Kids Toothpaste., Clear",300+ bought in past month,4.6,157,2,10,312,N/A,50.32051282051282
Health & Personal Care,20,3.6,B09M3PQRBG,2025-03-27,,6.05,,6.05,58.79265091863516,4,fba,4584,3,305,11.0,24.639999999999997,15,1,8.93,"Curaprox Children's Toothpaste CS Kids Strawberry, 60ml - Strawberry Toothpaste for Kids 2 + Years with 950 ppm Fluoride - SLS Free, Microplastic Free & Triclosan Free Kids Toothpaste., Clear",300+ bought in past month,4.6,157,2,10,312,N/A,50.32051282051282
Health & Personal Care,20,3.6,B09M3PQRBG,2025-03-28,,6.05,,6.05,58.79265091863516,4,fba,4339,3,305,11.0,24.639999999999997,14,0,0.0,"Curaprox Children's Toothpaste CS Kids Strawberry, 60ml - Strawberry Toothpaste for Kids 2 + Years with 950 ppm Fluoride - SLS Free, Microplastic Free & Triclosan Free Kids Toothpaste., Clear",300+ bought in past month,4.6,157,2,10,312,N/A,50.32051282051282
Health & Personal Care,20,3.6,B09M3PQRBG,2025-03-29,,6.05,,6.05,58.79265091863516,4,fba,5049,3,305,11.0,24.639999999999997,14,0,0.0,"Curaprox Children's Toothpaste CS Kids Strawberry, 60ml - Strawberry Toothpaste for Kids 2 + Years with 950 ppm Fluoride - SLS Free, Microplastic Free & Triclosan Free Kids Toothpaste., Clear",300+ bought in past month,4.6,157,2,10,312,N/A,50.32051282051282
Health & Personal Care,20,3.6,B09M3PQRBG,2025-03-31,,6.05,,6.05,58.79265091863516,4,fba,4597,3,309,11.0,24.639999999999997,14,0,0.0,"Curaprox Children's Toothpaste CS Kids Strawberry, 60ml - Strawberry Toothpaste for Kids 2 + Years with 950 ppm Fluoride - SLS Free, Microplastic Free & Triclosan Free Kids Toothpaste., Clear",300+ bought in past month,4.6,157,2,10,312,N/A,50.32051282051282
Health & Personal Care,20,3.6,B09M3PQRBG,2025-04-01,,6.05,,6.05,58.79265091863516,4,fba,4833,3,309,11.0,24.639999999999997,14,0,0.0,"Curaprox Children's Toothpaste CS Kids Strawberry, 60ml - Strawberry Toothpaste for Kids 2 + Years with 950 ppm Fluoride - SLS Free, Microplastic Free & Triclosan Free Kids Toothpaste., Clear",300+ bought in past month,4.6,157,2,10,312,N/A,50.32051282051282
Health & Personal Care,20,3.6,B09M3PQRBG,2025-04-02,,6.05,,6.05,58.79265091863516,4,fba,5263,3,309,11.0,24.639999999999997,14,0,0.0,"Curaprox Children's Toothpaste CS Kids Strawberry, 60ml - Strawberry Toothpaste for Kids 2 + Years with 950 ppm Fluoride - SLS Free, Microplastic Free & Triclosan Free Kids Toothpaste., Clear",300+ bought in past month,4.6,157,2,10,312,N/A,50.32051282051282
Health & Personal Care,20,3.6,B09M3PQRBG,2025-04-03,,6.05,,6.05,58.79265091863516,4,fba,4508,3,309,11.0,24.639999999999997,14,1,8.93,"Curaprox Children's Toothpaste CS Kids Strawberry, 60ml - Strawberry Toothpaste for Kids 2 + Years with 950 ppm Fluoride - SLS Free, Microplastic Free & Triclosan Free Kids Toothpaste., Clear",300+ bought in past month,4.6,157,2,10,312,N/A,50.32051282051282
Health & Personal Care,20,3.6,B09M3PQRBG,2025-04-04,,6.05,,6.05,58.79265091863516,4,fba,4408,3,309,11.0,24.639999999999997,13,0,0.0,"Curaprox Children's Toothpaste CS Kids Strawberry, 60ml - Strawberry Toothpaste for Kids 2 + Years with 950 ppm Fluoride - SLS Free, Microplastic Free & Triclosan Free Kids Toothpaste., Clear",300+ bought in past month,4.6,157,2,10,312,N/A,50.32051282051282
Health & Personal Care,20,3.6,B09M3PQRBG,2025-04-05,,6.05,,6.05,58.79265091863516,4,fba,4415,3,309,11.0,24.639999999999997,13,0,0.0,"Curaprox Children's Toothpaste CS Kids Strawberry, 60ml - Strawberry Toothpaste for Kids 2 + Years with 950 ppm Fluoride - SLS Free, Microplastic Free & Triclosan Free Kids Toothpaste., Clear",300+ bought in past month,4.6,157,2,10,312,N/A,50.32051282051282
Health & Personal Care,20,3.6,B09M3PQRBG,2025-04-06,,6.05,,6.05,58.79265091863516,4,fba,5384,3,312,11.0,24.639999999999997,13,0,0.0,"Curaprox Children's Toothpaste CS Kids Strawberry, 60ml - Strawberry Toothpaste for Kids 2 + Years with 950 ppm Fluoride - SLS Free, Microplastic Free & Triclosan Free Kids Toothpaste., Clear",300+ bought in past month,4.6,157,2,10,312,N/A,50.32051282051282
Health & Personal Care,20,3.6,B09M3PQRBG,2025-04-07,,6.05,,6.05,58.79265091863516,4,fba,4591,3,312,11.0,24.639999999999997,13,2,8.93,"Curaprox Children's Toothpaste CS Kids Strawberry, 60ml - Strawberry Toothpaste for Kids 2 + Years with 950 ppm Fluoride - SLS Free, Microplastic Free & Triclosan Free Kids Toothpaste., Clear",300+ bought in past month,4.6,157,2,10,312,N/A,50.32051282051282
Health & Personal Care,20,3.6,B09M3PQRBG,2025-04-08,,6.05,,6.05,58.79265091863516,4,fba,4208,3,312,11.0,24.639999999999997,11,0,0.0,"Curaprox Children's Toothpaste CS Kids Strawberry, 60ml - Strawberry Toothpaste for Kids 2 + Years with 950 ppm Fluoride - SLS Free, Microplastic Free & Triclosan Free Kids Toothpaste., Clear",300+ bought in past month,4.6,157,2,10,312,N/A,50.32051282051282
