Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Health & Personal Care,20,3.6,B09M3RB8R1,2025-03-18,,6.05,,6.05,58.79265091863516,4,fba,4909,5,303,14.666666666666666,32.85333333333333,2,0,0.0,"Curaprox Children's Toothpaste Watermelon, 60ml - Fresh & Fruity Watermelon Flavoured Toothpaste for Kids 6 Years +., Clear",400+ bought in past month,4.5,215,3,10,317,N/A,67.82334384858044
Health & Personal Care,20,3.6,B09M3RB8R1,2025-03-19,,6.05,,6.05,58.79265091863516,4,fba,4442,5,303,14.666666666666666,32.85333333333333,2,0,0.0,"Curaprox Children's Toothpaste Watermelon, 60ml - Fresh & Fruity Watermelon Flavoured Toothpaste for Kids 6 Years +., Clear",400+ bought in past month,4.5,215,3,10,317,N/A,67.82334384858044
Health & Personal Care,20,3.6,B09M3RB8R1,2025-03-20,,6.05,,6.05,58.79265091863516,4,fba,4567,5,303,14.666666666666666,32.85333333333333,3,0,0.0,"Curaprox Children's Toothpaste Watermelon, 60ml - Fresh & Fruity Watermelon Flavoured Toothpaste for Kids 6 Years +., Clear",400+ bought in past month,4.5,215,3,10,317,N/A,67.82334384858044
Health & Personal Care,20,3.6,B09M3RB8R1,2025-03-21,,6.05,,6.05,58.79265091863516,4,fba,3949,5,303,14.666666666666666,32.85333333333333,3,0,0.0,"Curaprox Children's Toothpaste Watermelon, 60ml - Fresh & Fruity Watermelon Flavoured Toothpaste for Kids 6 Years +., Clear",400+ bought in past month,4.5,215,3,10,317,N/A,67.82334384858044
Health & Personal Care,20,3.6,B09M3RB8R1,2025-03-22,,6.05,,6.05,58.79265091863516,4,fba,4568,5,303,14.666666666666666,32.85333333333333,3,1,8.93,"Curaprox Children's Toothpaste Watermelon, 60ml - Fresh & Fruity Watermelon Flavoured Toothpaste for Kids 6 Years +., Clear",400+ bought in past month,4.5,215,3,10,317,N/A,67.82334384858044
Health & Personal Care,20,3.6,B09M3RB8R1,2025-03-23,,6.05,,6.05,58.79265091863516,4,fba,4468,5,303,14.666666666666666,32.85333333333333,2,0,0.0,"Curaprox Children's Toothpaste Watermelon, 60ml - Fresh & Fruity Watermelon Flavoured Toothpaste for Kids 6 Years +., Clear",400+ bought in past month,4.5,215,3,10,317,N/A,67.82334384858044
Health & Personal Care,20,3.6,B09M3RB8R1,2025-03-24,,6.05,,6.05,58.79265091863516,4,fba,3818,5,303,14.666666666666666,32.85333333333333,2,0,0.0,"Curaprox Children's Toothpaste Watermelon, 60ml - Fresh & Fruity Watermelon Flavoured Toothpaste for Kids 6 Years +., Clear",400+ bought in past month,4.5,215,3,10,317,N/A,67.82334384858044
Health & Personal Care,20,3.6,B09M3RB8R1,2025-03-25,,6.05,,6.05,58.79265091863516,4,fba,3166,5,303,14.666666666666666,32.85333333333333,2,0,0.0,"Curaprox Children's Toothpaste Watermelon, 60ml - Fresh & Fruity Watermelon Flavoured Toothpaste for Kids 6 Years +., Clear",400+ bought in past month,4.5,215,3,10,317,N/A,67.82334384858044
Health & Personal Care,20,3.6,B09M3RB8R1,2025-03-26,,6.05,,6.05,58.79265091863516,4,fba,3209,5,303,14.666666666666666,32.85333333333333,2,0,0.0,"Curaprox Children's Toothpaste Watermelon, 60ml - Fresh & Fruity Watermelon Flavoured Toothpaste for Kids 6 Years +., Clear",400+ bought in past month,4.5,215,3,10,317,N/A,67.82334384858044
Health & Personal Care,20,3.6,B09M3RB8R1,2025-03-27,,6.05,,6.05,58.79265091863516,4,fba,4151,5,303,14.666666666666666,32.85333333333333,2,1,8.71,"Curaprox Children's Toothpaste Watermelon, 60ml - Fresh & Fruity Watermelon Flavoured Toothpaste for Kids 6 Years +., Clear",400+ bought in past month,4.5,215,3,10,317,N/A,67.82334384858044
