Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Beauty,20,2.5,B09P24SGN5,2025-02-19,5.99,5.5,7.74,5.5,135.04273504273505,5,fba,17470,9,700.0,0.4666666666666667,1.4746666666666668,4,0,0.0,"ATTITUDE Lip Balm, Natural Origin, Nourishes & Protects, Shea Butter, Coconut & Olive Oils, EWG Verified, For Dry Lips, Men and Women, Vegan, Fresh Mint, 8.5 g",,4.2,157,0,1,761,N/A,20.630749014454665
Beauty,20,2.5,B09P24SGN5,2025-02-20,5.99,5.5,7.74,5.5,135.04273504273505,5,fba,9163,9,709.0,0.4666666666666667,1.4746666666666668,8,0,0.0,"ATTITUDE Lip Balm, Natural Origin, Nourishes & Protects, Shea Butter, Coconut & Olive Oils, EWG Verified, For Dry Lips, Men and Women, Vegan, Fresh Mint, 8.5 g",,4.2,157,0,1,761,N/A,20.630749014454665
Beauty,20,2.5,B09P24SGN5,2025-02-21,5.99,5.5,7.74,5.5,135.04273504273505,5,fba,13136,9,709.0,0.4666666666666667,1.4746666666666668,14,0,0.0,"ATTITUDE Lip Balm, Natural Origin, Nourishes & Protects, Shea Butter, Coconut & Olive Oils, EWG Verified, For Dry Lips, Men and Women, Vegan, Fresh Mint, 8.5 g",,4.2,157,0,1,761,N/A,20.630749014454665
Beauty,20,2.5,B09P24SGN5,2025-02-22,5.99,5.5,7.74,5.5,135.04273504273505,5,fba,16040,9,709.0,0.4666666666666667,1.4746666666666668,14,0,0.0,"ATTITUDE Lip Balm, Natural Origin, Nourishes & Protects, Shea Butter, Coconut & Olive Oils, EWG Verified, For Dry Lips, Men and Women, Vegan, Fresh Mint, 8.5 g",,4.2,157,0,1,761,N/A,20.630749014454665
Beauty,20,2.5,B09P24SGN5,2025-02-23,5.99,5.5,7.74,5.5,135.04273504273505,5,fba,16040,9,709.0,0.4666666666666667,1.4746666666666668,14,0,0.0,"ATTITUDE Lip Balm, Natural Origin, Nourishes & Protects, Shea Butter, Coconut & Olive Oils, EWG Verified, For Dry Lips, Men and Women, Vegan, Fresh Mint, 8.5 g",,4.2,157,0,1,761,N/A,20.630749014454665
Beauty,20,2.5,B09P24SGN5,2025-02-24,5.99,5.5,7.74,5.5,135.04273504273505,5,fba,10774,9,712.0,0.4666666666666667,1.4746666666666668,17,0,0.0,"ATTITUDE Lip Balm, Natural Origin, Nourishes & Protects, Shea Butter, Coconut & Olive Oils, EWG Verified, For Dry Lips, Men and Women, Vegan, Fresh Mint, 8.5 g",,4.2,157,0,1,761,N/A,20.630749014454665
Beauty,20,2.5,B09P24SGN5,2025-02-25,5.99,5.5,7.74,5.5,135.04273504273505,5,fba,11141,9,713.0,0.4666666666666667,1.4746666666666668,17,0,0.0,"ATTITUDE Lip Balm, Natural Origin, Nourishes & Protects, Shea Butter, Coconut & Olive Oils, EWG Verified, For Dry Lips, Men and Women, Vegan, Fresh Mint, 8.5 g",,4.2,157,0,1,761,N/A,20.630749014454665
Beauty,20,2.5,B09P24SGN5,2025-02-26,5.99,5.5,7.74,5.5,135.04273504273505,5,fba,15621,9,712.0,0.4666666666666667,1.4746666666666668,17,0,0.0,"ATTITUDE Lip Balm, Natural Origin, Nourishes & Protects, Shea Butter, Coconut & Olive Oils, EWG Verified, For Dry Lips, Men and Women, Vegan, Fresh Mint, 8.5 g",,4.2,157,0,1,761,N/A,20.630749014454665
Beauty,20,2.5,B09P24SGN5,2025-02-27,5.99,5.5,7.74,5.5,135.04273504273505,5,fba,16570,9,712.0,0.4666666666666667,1.4746666666666668,17,0,0.0,"ATTITUDE Lip Balm, Natural Origin, Nourishes & Protects, Shea Butter, Coconut & Olive Oils, EWG Verified, For Dry Lips, Men and Women, Vegan, Fresh Mint, 8.5 g",,4.2,157,0,1,761,N/A,20.630749014454665
Beauty,20,2.5,B09P24SGN5,2025-02-28,5.99,5.5,7.74,5.5,135.04273504273505,5,fba,9238,9,713.0,0.4666666666666667,1.4746666666666668,17,0,0.0,"ATTITUDE Lip Balm, Natural Origin, Nourishes & Protects, Shea Butter, Coconut & Olive Oils, EWG Verified, For Dry Lips, Men and Women, Vegan, Fresh Mint, 8.5 g",,4.2,157,0,1,761,N/A,20.630749014454665
Beauty,20,2.5,B09P24SGN5,2025-03-01,5.99,5.5,7.74,5.5,135.04273504273505,5,fba,9392,9,713.0,0.4666666666666667,1.4746666666666668,17,0,0.0,"ATTITUDE Lip Balm, Natural Origin, Nourishes & Protects, Shea Butter, Coconut & Olive Oils, EWG Verified, For Dry Lips, Men and Women, Vegan, Fresh Mint, 8.5 g",,4.2,157,0,1,761,N/A,20.630749014454665
Beauty,20,2.5,B09P24SGN5,2025-03-02,5.99,5.5,7.74,5.5,135.04273504273505,5,fba,9392,9,713.0,0.4666666666666667,1.4746666666666668,17,0,0.0,"ATTITUDE Lip Balm, Natural Origin, Nourishes & Protects, Shea Butter, Coconut & Olive Oils, EWG Verified, For Dry Lips, Men and Women, Vegan, Fresh Mint, 8.5 g",,4.2,157,0,1,761,N/A,20.630749014454665
