Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Toys & Games,20,5.05,B09SBGM9Q8,2024-10-26,18.79,16.03,,16.03,29.37853107344633,3,fba,48567,15,527,0.5,1.8200000000000003,28,0,0.0,Funko Pop! Albums: Queen - Freddie Mercury - Flash Gordon - Music - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Music Fans - Model Figure for Collectors,,4.7,596,0,8,596,N/A,100.0
Toys & Games,20,5.05,B09SBGM9Q8,2024-10-27,18.79,16.03,15.43,15.43,24.535916061339783,3,fbm,45855,,,0.5,1.5199999999999996,28,0,0.0,Funko Pop! Albums: Queen - Freddie Mercury - Flash Gordon - Music - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Music Fans - Model Figure for Collectors,,4.7,596,0,8,596,N/A,100.0
Toys & Games,20,5.05,B09SBGM9Q8,2024-10-28,18.99,16.03,15.43,15.43,24.535916061339783,3,fbm,90569,15,528,0.5,1.5199999999999996,28,2,8.015,Funko Pop! Albums: Queen - Freddie Mercury - Flash Gordon - Music - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Music Fans - Model Figure for Collectors,,4.7,596,0,8,596,N/A,100.0
Toys & Games,20,5.05,B09SBGM9Q8,2024-10-29,18.99,16.03,15.43,15.43,24.535916061339783,3,fbm,47227,16,528,0.5,1.5199999999999996,26,0,0.0,Funko Pop! Albums: Queen - Freddie Mercury - Flash Gordon - Music - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Music Fans - Model Figure for Collectors,,4.7,596,0,8,596,N/A,100.0
Toys & Games,20,5.05,B09SBGM9Q8,2024-10-30,18.99,16.03,15.43,15.43,24.535916061339783,3,fbm,47297,16,528,0.5,1.5199999999999996,26,1,16.03,Funko Pop! Albums: Queen - Freddie Mercury - Flash Gordon - Music - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Music Fans - Model Figure for Collectors,,4.7,596,0,8,596,N/A,100.0
Toys & Games,20,5.05,B09SBGM9Q8,2024-10-31,18.99,16.03,15.43,15.43,24.535916061339783,3,fbm,45691,17,529,0.5,1.5199999999999996,25,2,16.03,Funko Pop! Albums: Queen - Freddie Mercury - Flash Gordon - Music - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Music Fans - Model Figure for Collectors,,4.7,596,0,8,596,N/A,100.0
Toys & Games,20,5.05,B09SBGM9Q8,2024-11-01,18.99,16.03,15.43,15.43,24.535916061339783,3,fbm,32126,18,529,0.5,1.5199999999999996,23,0,0.0,Funko Pop! Albums: Queen - Freddie Mercury - Flash Gordon - Music - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Music Fans - Model Figure for Collectors,,4.7,596,0,8,596,N/A,100.0
Toys & Games,20,5.05,B09SBGM9Q8,2024-11-02,18.99,16.03,15.43,15.43,24.535916061339783,3,fbm,47230,18,530,0.5,1.5199999999999996,23,1,16.03,Funko Pop! Albums: Queen - Freddie Mercury - Flash Gordon - Music - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Music Fans - Model Figure for Collectors,,4.7,596,0,8,596,N/A,100.0
Toys & Games,20,5.05,B09SBGM9Q8,2024-11-03,18.99,16.03,15.43,15.43,24.535916061339783,3,fbm,44085,18,530,0.5,1.5199999999999996,22,0,0.0,Funko Pop! Albums: Queen - Freddie Mercury - Flash Gordon - Music - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Music Fans - Model Figure for Collectors,,4.7,596,0,8,596,N/A,100.0
Toys & Games,20,5.05,B09SBGM9Q8,2024-11-04,18.99,16.03,15.41,15.41,24.374495560936236,3,fbm,42216,18,530,0.5,1.5099999999999998,22,0,0.0,Funko Pop! Albums: Queen - Freddie Mercury - Flash Gordon - Music - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Music Fans - Model Figure for Collectors,,4.7,596,0,8,596,N/A,100.0
Toys & Games,20,5.05,B09SBGM9Q8,2024-11-05,,16.03,15.41,15.41,24.374495560936236,3,fbm,77919,18,530,0.5,1.5099999999999998,22,0,0.0,Funko Pop! Albums: Queen - Freddie Mercury - Flash Gordon - Music - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Music Fans - Model Figure for Collectors,,4.7,596,0,8,596,N/A,100.0
Toys & Games,20,5.05,B09SBGM9Q8,2024-11-06,,16.03,15.43,15.43,24.535916061339783,3,fbm,92840,18,530,0.5,1.5199999999999996,22,1,16.03,Funko Pop! Albums: Queen - Freddie Mercury - Flash Gordon - Music - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Music Fans - Model Figure for Collectors,,4.7,596,0,8,596,N/A,100.0
Toys & Games,20,5.05,B09SBGM9Q8,2024-11-07,,16.03,15.43,15.43,24.535916061339783,3,fbm,56702,17,531,0.5,1.5199999999999996,21,0,0.0,Funko Pop! Albums: Queen - Freddie Mercury - Flash Gordon - Music - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Music Fans - Model Figure for Collectors,,4.7,596,0,8,596,N/A,100.0
Toys & Games,20,5.05,B09SBGM9Q8,2024-11-08,,16.03,15.43,15.43,24.535916061339783,3,fbm,61941,18,531,0.5,1.5199999999999996,21,1,16.03,Funko Pop! Albums: Queen - Freddie Mercury - Flash Gordon - Music - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Music Fans - Model Figure for Collectors,,4.7,596,0,8,596,N/A,100.0
Toys & Games,20,5.05,B09SBGM9Q8,2024-11-09,,16.03,15.43,15.43,24.535916061339783,3,fbm,45005,18,531,0.5,1.5199999999999996,20,1,16.03,Funko Pop! Albums: Queen - Freddie Mercury - Flash Gordon - Music - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Music Fans - Model Figure for Collectors,,4.7,596,0,8,596,N/A,100.0
Toys & Games,20,5.05,B09SBGM9Q8,2024-11-10,,16.03,15.43,15.43,24.535916061339783,3,fbm,50013,18,532,0.5,1.5199999999999996,19,0,0.0,Funko Pop! Albums: Queen - Freddie Mercury - Flash Gordon - Music - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Music Fans - Model Figure for Collectors,,4.7,596,0,8,596,N/A,100.0
Toys & Games,20,5.05,B09SBGM9Q8,2024-11-11,,16.03,15.57,15.57,25.665859564164645,3,fbm,59012,18,532,0.5,1.5899999999999999,19,0,0.0,Funko Pop! Albums: Queen - Freddie Mercury - Flash Gordon - Music - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Music Fans - Model Figure for Collectors,,4.7,596,0,8,596,N/A,100.0
Toys & Games,20,5.05,B09SBGM9Q8,2024-11-12,,16.03,,16.03,29.37853107344633,3,fba,64356,18,532,0.5,1.8200000000000003,19,0,0.0,Funko Pop! Albums: Queen - Freddie Mercury - Flash Gordon - Music - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Music Fans - Model Figure for Collectors,,4.7,596,0,8,596,N/A,100.0
Toys & Games,20,5.05,B09SBGM9Q8,2024-11-13,,16.03,15.43,15.43,24.535916061339783,3,fbm,51343,18,532,0.5,1.5199999999999996,19,0,0.0,Funko Pop! Albums: Queen - Freddie Mercury - Flash Gordon - Music - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Music Fans - Model Figure for Collectors,,4.7,596,0,8,596,N/A,100.0
Toys & Games,20,5.05,B09SBGM9Q8,2024-11-14,,16.03,15.43,15.43,24.535916061339783,3,fbm,72172,18,532,0.5,1.5199999999999996,19,1,16.03,Funko Pop! Albums: Queen - Freddie Mercury - Flash Gordon - Music - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Music Fans - Model Figure for Collectors,,4.7,596,0,8,596,N/A,100.0
Toys & Games,20,5.05,B09SBGM9Q8,2024-11-15,,16.03,15.43,15.43,24.535916061339783,3,fbm,47271,19,532,0.5,1.5199999999999996,18,0,0.0,Funko Pop! Albums: Queen - Freddie Mercury - Flash Gordon - Music - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Music Fans - Model Figure for Collectors,,4.7,596,0,8,596,N/A,100.0
Toys & Games,20,5.05,B09SBGM9Q8,2024-11-16,,16.03,15.43,15.43,24.535916061339783,3,fbm,60744,19,532,0.5,1.5199999999999996,18,1,16.03,Funko Pop! Albums: Queen - Freddie Mercury - Flash Gordon - Music - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Music Fans - Model Figure for Collectors,,4.7,596,0,8,596,N/A,100.0
