Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Toys & Games,20,10.0,B0B1P26Q8H,2024-11-26,,19.6,19.99,19.6,359.01639344262304,5,fba,207602,10.0,765.0,0.36666666666666664,5.621,2,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2024-11-27,,19.6,19.99,19.6,359.01639344262304,5,fba,207602,10.0,765.0,0.36666666666666664,5.621,5,1,21.25,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2024-11-28,,20.83,19.99,19.99,368.1498829039813,5,fbm,89798,12.0,767.0,0.36666666666666664,5.763999999999999,4,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2024-11-29,,21.95,19.99,19.99,368.1498829039813,5,fbm,128555,11.0,767.0,0.36666666666666664,5.763999999999999,4,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2024-11-30,,21.95,19.99,19.99,368.1498829039813,5,fbm,170785,11.0,767.0,0.36666666666666664,5.763999999999999,7,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2024-12-01,,21.95,19.99,19.99,368.1498829039813,5,fbm,175368,11.0,767.0,0.36666666666666664,5.763999999999999,7,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2024-12-02,,21.95,19.99,19.99,368.1498829039813,5,fbm,203882,10.0,767.0,0.36666666666666664,5.763999999999999,8,1,21.03,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2024-12-03,,21.95,22.78,21.95,414.0515222482436,5,fba,127091,11.0,767.0,0.36666666666666664,6.482666666666666,8,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2024-12-04,,21.95,22.78,21.95,414.0515222482436,5,fba,127091,11.0,772.0,0.36666666666666664,6.482666666666666,8,3,15.57,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2024-12-05,,21.95,22.78,21.95,414.0515222482436,5,fba,77486,8.0,772.0,0.36666666666666664,6.482666666666666,7,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2024-12-06,,21.95,22.78,21.95,414.0515222482436,5,fba,84444,8.0,772.0,0.36666666666666664,6.482666666666666,5,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2024-12-07,,21.95,22.78,21.95,414.0515222482436,5,fba,84444,8.0,772.0,0.36666666666666664,6.482666666666666,5,4,17.31,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2024-12-08,,21.95,22.78,21.95,414.0515222482436,5,fba,84444,8.0,773.0,0.36666666666666664,6.482666666666666,1,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2024-12-09,,20.89,22.78,20.89,389.2271662763467,5,fba,128285,8.0,773.0,0.36666666666666664,6.094,1,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2024-12-10,,20.89,22.78,20.89,389.2271662763467,5,fba,148963,4.0,774.0,0.36666666666666664,6.094,1,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2024-12-11,,46.68,22.78,22.78,433.4894613583139,5,fbm,111842,3.0,774.0,0.36666666666666664,6.787,1,1,24.89,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2024-12-11,,46.7,22.24,22.24,420.84309133489467,5,fbm,111842,3.0,774.0,0.36666666666666664,6.5889999999999995,1,1,24.89,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2024-12-17,,30.0,21.75,21.75,409.36768149882903,5,fbm,190369,3.0,773.0,0.36666666666666664,6.409333333333333,8,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2024-12-18,,30.0,22.03,22.03,415.9250585480095,5,fbm,91927,2.0,773.0,0.36666666666666664,6.5120000000000005,17,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2024-12-19,,30.0,22.03,22.03,415.9250585480095,5,fbm,141700,3.0,773.0,0.36666666666666664,6.5120000000000005,19,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2024-12-20,,30.0,22.03,22.03,415.9250585480095,5,fbm,158043,2.0,773.0,0.36666666666666664,6.5120000000000005,19,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2024-12-21,,30.0,22.03,22.03,415.9250585480095,5,fbm,172615,3.0,773.0,0.36666666666666664,6.5120000000000005,19,1,30.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2024-12-22,,30.0,18.64,18.64,336.5339578454333,5,fbm,172615,3.0,773.0,0.36666666666666664,5.269,18,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2024-12-23,,30.0,18.64,18.64,336.5339578454333,5,fbm,172615,3.0,777.0,0.36666666666666664,5.269,18,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2024-12-24,,30.0,18.64,18.64,336.5339578454333,5,fbm,172615,3.0,777.0,0.36666666666666664,5.269,18,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2024-12-25,,30.0,18.64,18.64,336.5339578454333,5,fbm,142862,3.0,777.0,0.36666666666666664,5.269,18,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2024-12-26,,30.0,18.64,18.64,336.5339578454333,5,fbm,153678,3.0,777.0,0.36666666666666664,5.269,18,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2024-12-27,,30.0,18.64,18.64,336.5339578454333,5,fbm,154430,3.0,777.0,0.36666666666666664,5.269,18,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2024-12-28,,30.0,18.64,18.64,336.5339578454333,5,fbm,154430,3.0,777.0,0.36666666666666664,5.269,18,1,30.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2024-12-29,,30.0,18.64,18.64,336.5339578454333,5,fbm,81618,3.0,777.0,0.36666666666666664,5.269,17,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2024-12-30,,30.0,18.64,18.64,336.5339578454333,5,fbm,116339,3.0,777.0,0.36666666666666664,5.269,17,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2024-12-31,,30.0,18.64,18.64,336.5339578454333,5,fbm,116339,3.0,777.0,0.36666666666666664,5.269,17,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-01-01,,30.0,18.64,18.64,336.5339578454333,5,fbm,116339,3.0,777.0,0.36666666666666664,5.269,17,1,30.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-01-02,,30.0,18.64,18.64,336.5339578454333,5,fbm,61900,3.0,782.0,0.36666666666666664,5.269,16,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-01-03,,30.0,18.64,18.64,336.5339578454333,5,fbm,98643,3.0,782.0,0.36666666666666664,5.269,16,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-01-04,,30.0,18.64,18.64,336.5339578454333,5,fbm,101624,3.0,782.0,0.36666666666666664,5.269,16,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-01-05,,30.0,18.05,18.05,322.7166276346605,5,fbm,101624,3.0,782.0,0.36666666666666664,5.052666666666667,16,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-01-06,,30.0,17.93,17.93,319.90632318501173,5,fbm,156686,3.0,788.0,0.36666666666666664,5.008666666666667,16,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-01-07,,30.0,17.93,17.93,319.90632318501173,5,fbm,167625,3.0,790.0,0.36666666666666664,5.008666666666667,16,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-01-08,,30.0,17.93,17.93,319.90632318501173,5,fbm,173708,3.0,790.0,0.36666666666666664,5.008666666666667,16,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-01-09,,30.0,17.93,17.93,319.90632318501173,5,fbm,181055,3.0,794.0,0.36666666666666664,5.008666666666667,16,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-01-10,,30.0,17.93,17.93,319.90632318501173,5,fbm,185930,3.0,795.0,0.36666666666666664,5.008666666666667,16,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-01-11,,30.0,17.93,17.93,319.90632318501173,5,fbm,186531,3.0,795.0,0.36666666666666664,5.008666666666667,16,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-01-12,,30.0,17.93,17.93,319.90632318501173,5,fbm,191658,3.0,795.0,0.36666666666666664,5.008666666666667,16,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-01-13,,30.0,17.93,17.93,319.90632318501173,5,fbm,195203,2.0,795.0,0.36666666666666664,5.008666666666667,16,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-01-14,,30.0,17.93,17.93,319.90632318501173,5,fbm,197901,2.0,799.0,0.36666666666666664,5.008666666666667,16,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-01-15,,30.0,17.93,17.93,319.90632318501173,5,fbm,199631,4.0,799.0,0.36666666666666664,5.008666666666667,16,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-01-16,,30.0,17.93,17.93,319.90632318501173,5,fbm,201121,4.0,799.0,0.36666666666666664,5.008666666666667,16,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-01-17,,30.0,17.93,17.93,319.90632318501173,5,fbm,203554,5.0,799.0,0.36666666666666664,5.008666666666667,16,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-01-18,,30.0,25.85,25.85,505.3864168618268,5,fbm,204387,5.0,799.0,0.36666666666666664,7.9126666666666665,16,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-01-19,,30.0,25.85,25.85,505.3864168618268,5,fbm,204387,5.0,799.0,0.36666666666666664,7.9126666666666665,16,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-01-20,,30.0,25.85,25.85,505.3864168618268,5,fbm,207695,5.0,799.0,0.36666666666666664,7.9126666666666665,16,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-01-21,,30.0,25.85,25.85,505.3864168618268,5,fbm,209031,5.0,799.0,0.36666666666666664,7.9126666666666665,16,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-01-22,,30.0,25.85,25.85,505.3864168618268,5,fbm,211083,5.0,799.0,0.36666666666666664,7.9126666666666665,16,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-01-23,,30.0,34.7,30.0,602.5761124121781,5,fba,212009,5.0,9.0,0.36666666666666664,9.434333333333333,17,1,22.14,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-01-24,,30.0,34.7,30.0,602.5761124121781,5,fba,212009,5.0,9.0,0.36666666666666664,9.434333333333333,16,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-01-25,,30.0,34.7,30.0,602.5761124121781,5,fba,94758,5.0,9.0,0.36666666666666664,9.434333333333333,16,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-01-26,,30.0,34.7,30.0,602.5761124121781,5,fba,94758,5.0,9.0,0.36666666666666664,9.434333333333333,16,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-01-27,,23.28,34.7,23.28,445.1990632318502,5,fba,150065,5.0,10.0,0.36666666666666664,6.9703333333333335,16,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-01-28,,22.97,34.7,22.97,437.9391100702576,5,fba,161063,6.0,10.0,0.36666666666666664,6.856666666666666,16,1,22.97,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-01-29,,22.97,34.7,22.97,437.9391100702576,5,fba,69374,5.0,10.0,0.36666666666666664,6.856666666666666,15,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-01-30,,22.97,34.7,22.97,437.9391100702576,5,fba,92475,5.0,10.0,0.36666666666666664,6.856666666666666,15,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-01-31,,22.97,34.7,22.97,437.9391100702576,5,fba,80477,6.0,10.0,0.36666666666666664,6.856666666666666,15,1,22.67,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-02-01,,22.7,34.7,22.7,431.61592505854804,5,fba,66057,6.0,10.0,0.36666666666666664,6.757666666666666,14,1,22.61,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-02-02,,22.7,34.7,22.7,431.61592505854804,5,fba,57707,5.0,10.0,0.36666666666666664,6.757666666666666,13,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-02-03,,22.7,34.7,22.7,431.61592505854804,5,fba,69080,5.0,10.0,0.36666666666666664,6.757666666666666,13,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-02-04,,22.78,34.7,22.78,433.4894613583139,5,fba,50850,6.0,6133.0,0.36666666666666664,6.787,13,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-02-05,,22.78,34.7,22.78,433.4894613583139,5,fba,31655,6.0,6133.0,0.36666666666666664,6.787,13,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-02-06,,22.78,34.86,22.78,433.4894613583139,5,fba,51437,6.0,6133.0,0.36666666666666664,6.787,13,1,22.84,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-02-07,,24.77,35.6,24.77,480.0936768149883,5,fba,53257,6.0,6932.0,0.36666666666666664,7.516666666666666,12,1,22.84,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-02-07,,22.77,35.53,22.77,433.2552693208432,5,fba,53257,6.0,6932.0,0.36666666666666664,6.783333333333333,12,1,22.84,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-02-08,,22.86,35.53,22.86,435.3629976580796,5,fba,42703,6.0,6933.0,0.36666666666666664,6.816333333333333,11,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-02-09,,22.86,25.13,22.86,435.3629976580796,5,fba,63173,6.0,6933.0,0.36666666666666664,6.816333333333333,11,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-02-10,,22.8,25.13,22.8,433.95784543325533,5,fba,75372,6.0,6932.0,0.36666666666666664,6.794333333333333,11,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-02-11,,22.82,25.13,22.82,434.42622950819674,5,fba,88273,6.0,6934.0,0.36666666666666664,6.801666666666667,11,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-02-11,,22.79,25.13,22.79,433.7236533957846,5,fba,88273,6.0,6934.0,0.36666666666666664,6.790666666666666,11,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-02-11,,22.77,25.13,22.77,433.2552693208432,5,fba,88273,6.0,6934.0,0.36666666666666664,6.783333333333333,11,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-02-12,,22.68,25.13,22.68,431.14754098360663,5,fba,78395,5.0,6938.0,0.36666666666666664,6.750333333333333,11,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-02-12,,22.64,25.13,22.64,430.2107728337237,5,fba,78395,5.0,6938.0,0.36666666666666664,6.735666666666667,11,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-02-13,,22.63,25.13,22.63,429.97658079625296,5,fba,36449,5.0,6938.0,0.36666666666666664,6.731999999999999,11,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-02-13,,22.57,25.13,22.57,428.57142857142867,5,fba,36449,5.0,6938.0,0.36666666666666664,6.71,11,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-02-14,,22.57,25.13,22.57,428.57142857142867,5,fba,48875,5.0,6938.0,0.36666666666666664,6.71,11,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-02-15,,22.47,25.13,22.47,426.2295081967213,5,fba,50017,6.0,6940.0,0.36666666666666664,6.673333333333333,11,1,22.49,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-02-16,,22.47,25.13,22.47,426.2295081967213,5,fba,33318,6.0,6940.0,0.36666666666666664,6.673333333333333,10,0,0.0,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-02-17,,22.47,25.13,22.47,426.2295081967213,5,fba,76624,6.0,6940.0,0.36666666666666664,6.673333333333333,10,1,22.39,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
Toys & Games,20,10.0,B0B1P26Q8H,2025-02-18,,22.43,25.13,22.43,425.29274004683845,5,fba,50562,7.0,6948.0,0.36666666666666664,6.658666666666666,9,1,23.36,Top Secret Toys Giga Pets Animal Toy (1108),,4.2,810,0,5,7039,N/A,11.507316380167637
