Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Toys & Games,20,3.97,B0B6GC25G1,2024-10-26,14.99,13.5,11.17,11.17,11.923847695390775,2,fbm,66903,21,85,0.2,0.2379999999999999,2,0,0.0,Funko POP! TV: Witcher - Geralt - (shield) - the Witcher - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,4.8,121,1,4,121,N/A,100.0
Toys & Games,20,3.97,B0B6GC25G1,2024-10-27,14.99,13.5,11.17,11.17,11.923847695390775,2,fbm,84156,,,0.2,0.2379999999999999,2,0,0.0,Funko POP! TV: Witcher - Geralt - (shield) - the Witcher - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,4.8,121,1,4,121,N/A,100.0
Toys & Games,20,3.97,B0B6GC25G1,2024-10-28,14.99,13.48,11.17,11.17,11.923847695390775,2,fbm,108304,23,85,0.2,0.2379999999999999,2,0,0.0,Funko POP! TV: Witcher - Geralt - (shield) - the Witcher - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,4.8,121,1,4,121,N/A,100.0
Toys & Games,20,3.97,B0B6GC25G1,2024-10-29,14.99,13.48,11.17,11.17,11.923847695390775,2,fbm,134793,24,85,0.2,0.2379999999999999,2,0,0.0,Funko POP! TV: Witcher - Geralt - (shield) - the Witcher - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,4.8,121,1,4,121,N/A,100.0
Toys & Games,20,3.97,B0B6GC25G1,2024-10-30,14.99,13.48,11.17,11.17,11.923847695390775,2,fbm,152529,24,85,0.2,0.2379999999999999,2,0,0.0,Funko POP! TV: Witcher - Geralt - (shield) - the Witcher - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,4.8,121,1,4,121,N/A,100.0
Toys & Games,20,3.97,B0B6GC25G1,2024-10-31,14.99,13.48,11.17,11.17,11.923847695390775,2,fbm,158281,24,85,0.2,0.2379999999999999,2,0,0.0,Funko POP! TV: Witcher - Geralt - (shield) - the Witcher - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,4.8,121,1,4,121,N/A,100.0
Toys & Games,20,3.97,B0B6GC25G1,2024-11-01,14.99,13.48,11.17,11.17,11.923847695390775,2,fbm,178444,24,85,0.2,0.2379999999999999,2,0,0.0,Funko POP! TV: Witcher - Geralt - (shield) - the Witcher - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,4.8,121,1,4,121,N/A,100.0
Toys & Games,20,3.97,B0B6GC25G1,2024-11-02,14.99,13.5,11.17,11.17,11.923847695390775,2,fbm,187303,25,85,0.2,0.2379999999999999,2,0,0.0,Funko POP! TV: Witcher - Geralt - (shield) - the Witcher - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,4.8,121,1,4,121,N/A,100.0
Toys & Games,20,3.97,B0B6GC25G1,2024-11-03,14.99,13.38,11.17,11.17,11.923847695390775,2,fbm,191819,25,86,0.2,0.2379999999999999,2,0,0.0,Funko POP! TV: Witcher - Geralt - (shield) - the Witcher - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,4.8,121,1,4,121,N/A,100.0
Toys & Games,20,3.97,B0B6GC25G1,2024-11-04,14.99,13.38,11.17,11.17,11.923847695390775,2,fbm,196019,25,86,0.2,0.2379999999999999,2,0,0.0,Funko POP! TV: Witcher - Geralt - (shield) - the Witcher - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,4.8,121,1,4,121,N/A,100.0
Toys & Games,20,3.97,B0B6GC25G1,2024-11-05,14.99,13.38,11.17,11.17,11.923847695390775,2,fbm,201650,25,86,0.2,0.2379999999999999,2,0,0.0,Funko POP! TV: Witcher - Geralt - (shield) - the Witcher - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,4.8,121,1,4,121,N/A,100.0
Toys & Games,20,3.97,B0B6GC25G1,2024-11-06,14.99,12.78,11.17,11.17,11.923847695390775,2,fbm,205962,26,86,0.2,0.2379999999999999,2,0,0.0,Funko POP! TV: Witcher - Geralt - (shield) - the Witcher - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,4.8,121,1,4,121,N/A,100.0
Toys & Games,20,3.97,B0B6GC25G1,2024-11-07,14.99,12.51,11.17,11.17,11.923847695390775,2,fbm,209712,26,86,0.2,0.2379999999999999,2,0,0.0,Funko POP! TV: Witcher - Geralt - (shield) - the Witcher - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,4.8,121,1,4,121,N/A,100.0
Toys & Games,20,3.97,B0B6GC25G1,2024-11-08,14.99,12.49,11.17,11.17,11.923847695390775,2,fbm,212978,26,86,0.2,0.2379999999999999,2,0,0.0,Funko POP! TV: Witcher - Geralt - (shield) - the Witcher - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,4.8,121,1,4,121,N/A,100.0
Toys & Games,20,3.97,B0B6GC25G1,2024-11-08,14.99,12.4,10.28,10.28,3.0060120240480854,0,fbm,212978,26,86,0.2,0.05999999999999979,2,0,0.0,Funko POP! TV: Witcher - Geralt - (shield) - the Witcher - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,4.8,121,1,4,121,N/A,100.0
Toys & Games,20,3.97,B0B6GC25G1,2024-11-09,14.99,12.4,10.28,10.28,3.0060120240480854,0,fbm,215313,27,86,0.2,0.05999999999999979,2,0,0.0,Funko POP! TV: Witcher - Geralt - (shield) - the Witcher - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,4.8,121,1,4,121,N/A,100.0
Toys & Games,20,3.97,B0B6GC25G1,2024-11-10,14.99,12.4,10.28,10.28,3.0060120240480854,0,fbm,217986,27,86,0.2,0.05999999999999979,2,0,0.0,Funko POP! TV: Witcher - Geralt - (shield) - the Witcher - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,4.8,121,1,4,121,N/A,100.0
Toys & Games,20,3.97,B0B6GC25G1,2024-11-11,14.99,12.14,10.28,10.28,3.0060120240480854,0,fbm,221196,27,86,0.2,0.05999999999999979,2,0,0.0,Funko POP! TV: Witcher - Geralt - (shield) - the Witcher - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,4.8,121,1,4,121,N/A,100.0
Toys & Games,20,3.97,B0B6GC25G1,2024-11-12,14.99,12.22,10.28,10.28,3.0060120240480854,0,fbm,224113,26,86,0.2,0.05999999999999979,2,0,0.0,Funko POP! TV: Witcher - Geralt - (shield) - the Witcher - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,4.8,121,1,4,121,N/A,100.0
Toys & Games,20,3.97,B0B6GC25G1,2024-11-12,12.98,12.13,12.14,12.13,21.54308617234469,3,fba,224113,26,86,0.2,0.4300000000000001,2,0,0.0,Funko POP! TV: Witcher - Geralt - (shield) - the Witcher - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,4.8,121,1,4,121,N/A,100.0
Toys & Games,20,3.97,B0B6GC25G1,2024-11-13,12.98,11.97,12.22,11.97,19.939879759519037,2,fba,226146,25,86,0.2,0.3980000000000001,2,0,0.0,Funko POP! TV: Witcher - Geralt - (shield) - the Witcher - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,4.8,121,1,4,121,N/A,100.0
Toys & Games,20,3.97,B0B6GC25G1,2024-11-14,12.98,11.97,,11.97,19.939879759519037,2,fba,229092,25,86,0.2,0.3980000000000001,2,0,0.0,Funko POP! TV: Witcher - Geralt - (shield) - the Witcher - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,4.8,121,1,4,121,N/A,100.0
Toys & Games,20,3.97,B0B6GC25G1,2024-11-15,12.98,11.97,11.97,11.97,19.939879759519037,2,fba,231222,26,86,0.2,0.3980000000000001,2,0,0.0,Funko POP! TV: Witcher - Geralt - (shield) - the Witcher - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,4.8,121,1,4,121,N/A,100.0
Toys & Games,20,3.97,B0B6GC25G1,2024-11-16,12.98,11.97,11.97,11.97,19.939879759519037,2,fba,233870,27,86,0.2,0.3980000000000001,2,0,0.0,Funko POP! TV: Witcher - Geralt - (shield) - the Witcher - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,4.8,121,1,4,121,N/A,100.0
Toys & Games,20,3.97,B0B6GC25G1,2024-11-17,12.98,11.97,11.97,11.97,19.939879759519037,2,fba,112350,27,86,0.2,0.3980000000000001,2,0,0.0,Funko POP! TV: Witcher - Geralt - (shield) - the Witcher - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,4.8,121,1,4,121,N/A,100.0
Toys & Games,20,3.97,B0B6GC25G1,2024-11-18,12.98,11.15,11.97,11.15,11.723446893787575,2,fba,133326,27,86,0.2,0.23399999999999999,2,0,0.0,Funko POP! TV: Witcher - Geralt - (shield) - the Witcher - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,4.8,121,1,4,121,N/A,100.0
Toys & Games,20,3.97,B0B6GC25G1,2024-11-19,12.98,11.27,11.97,11.27,12.925851703406805,2,fba,158685,27,86,0.2,0.25799999999999984,2,0,0.0,Funko POP! TV: Witcher - Geralt - (shield) - the Witcher - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,4.8,121,1,4,121,N/A,100.0
Toys & Games,20,3.97,B0B6GC25G1,2024-11-20,12.98,11.27,11.15,11.15,11.723446893787575,2,fbm,87132,26,86,0.2,0.23399999999999999,2,0,0.0,Funko POP! TV: Witcher - Geralt - (shield) - the Witcher - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,4.8,121,1,4,121,N/A,100.0
Toys & Games,20,3.97,B0B6GC25G1,2024-11-21,12.98,11.27,11.27,11.27,12.925851703406805,2,fba,64118,27,86,0.2,0.25799999999999984,2,0,0.0,Funko POP! TV: Witcher - Geralt - (shield) - the Witcher - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,4.8,121,1,4,121,N/A,100.0
