Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Toys & Games,20,2.42,B0BLQRDTLL,2024-10-26,13.0,11.49,9.49,9.49,23.246753246753247,3,fbm,96069,17,94,0.1,0.17900000000000002,17,0,0.0,Funko Pop! Movies: Teenage Mutant Ninja Turtles - (Teenage Mutant Ninja Turtles (TMNT) ) - April O'Neil O Neil - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults,,4.8,113,0,1,113,N/A,100.0
Toys & Games,20,2.42,B0BLQRDTLL,2024-10-27,13.0,11.49,9.49,9.49,23.246753246753247,3,fbm,111289,,,0.1,0.17900000000000002,18,0,0.0,Funko Pop! Movies: Teenage Mutant Ninja Turtles - (Teenage Mutant Ninja Turtles (TMNT) ) - April O'Neil O Neil - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults,,4.8,113,0,1,113,N/A,100.0
Toys & Games,20,2.42,B0BLQRDTLL,2024-10-28,13.0,11.49,9.49,9.49,23.246753246753247,3,fbm,125560,17,94,0.1,0.17900000000000002,18,0,0.0,Funko Pop! Movies: Teenage Mutant Ninja Turtles - (Teenage Mutant Ninja Turtles (TMNT) ) - April O'Neil O Neil - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults,,4.8,113,0,1,113,N/A,100.0
Toys & Games,20,2.42,B0BLQRDTLL,2024-10-29,13.0,11.49,9.49,9.49,23.246753246753247,3,fbm,144281,18,94,0.1,0.17900000000000002,18,0,0.0,Funko Pop! Movies: Teenage Mutant Ninja Turtles - (Teenage Mutant Ninja Turtles (TMNT) ) - April O'Neil O Neil - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults,,4.8,113,0,1,113,N/A,100.0
Toys & Games,20,2.42,B0BLQRDTLL,2024-10-30,13.0,11.49,9.49,9.49,23.246753246753247,3,fbm,150430,18,94,0.1,0.17900000000000002,18,0,0.0,Funko Pop! Movies: Teenage Mutant Ninja Turtles - (Teenage Mutant Ninja Turtles (TMNT) ) - April O'Neil O Neil - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults,,4.8,113,0,1,113,N/A,100.0
Toys & Games,20,2.42,B0BLQRDTLL,2024-10-31,13.0,11.49,9.49,9.49,23.246753246753247,3,fbm,158311,18,94,0.1,0.17900000000000002,18,0,0.0,Funko Pop! Movies: Teenage Mutant Ninja Turtles - (Teenage Mutant Ninja Turtles (TMNT) ) - April O'Neil O Neil - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults,,4.8,113,0,1,113,N/A,100.0
Toys & Games,20,2.42,B0BLQRDTLL,2024-11-01,13.0,11.49,9.49,9.49,23.246753246753247,3,fbm,158311,18,94,0.1,0.17900000000000002,18,1,11.49,Funko Pop! Movies: Teenage Mutant Ninja Turtles - (Teenage Mutant Ninja Turtles (TMNT) ) - April O'Neil O Neil - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults,,4.8,113,0,1,113,N/A,100.0
Toys & Games,20,2.42,B0BLQRDTLL,2024-11-02,13.0,11.49,9.49,9.49,23.246753246753247,3,fbm,71072,19,94,0.1,0.17900000000000002,17,0,0.0,Funko Pop! Movies: Teenage Mutant Ninja Turtles - (Teenage Mutant Ninja Turtles (TMNT) ) - April O'Neil O Neil - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults,,4.8,113,0,1,113,N/A,100.0
Toys & Games,20,2.42,B0BLQRDTLL,2024-11-03,13.0,11.49,9.49,9.49,23.246753246753247,3,fbm,68917,19,94,0.1,0.17900000000000002,17,0,0.0,Funko Pop! Movies: Teenage Mutant Ninja Turtles - (Teenage Mutant Ninja Turtles (TMNT) ) - April O'Neil O Neil - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults,,4.8,113,0,1,113,N/A,100.0
Toys & Games,20,2.42,B0BLQRDTLL,2024-11-04,13.0,11.49,9.49,9.49,23.246753246753247,3,fbm,102145,19,94,0.1,0.17900000000000002,17,0,0.0,Funko Pop! Movies: Teenage Mutant Ninja Turtles - (Teenage Mutant Ninja Turtles (TMNT) ) - April O'Neil O Neil - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults,,4.8,113,0,1,113,N/A,100.0
Toys & Games,20,2.42,B0BLQRDTLL,2024-11-05,13.0,11.49,9.49,9.49,23.246753246753247,3,fbm,124459,19,94,0.1,0.17900000000000002,17,0,0.0,Funko Pop! Movies: Teenage Mutant Ninja Turtles - (Teenage Mutant Ninja Turtles (TMNT) ) - April O'Neil O Neil - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults,,4.8,113,0,1,113,N/A,100.0
Toys & Games,20,2.42,B0BLQRDTLL,2024-11-06,13.0,11.49,9.49,9.49,23.246753246753247,3,fbm,59693,20,94,0.1,0.17900000000000002,17,0,0.0,Funko Pop! Movies: Teenage Mutant Ninja Turtles - (Teenage Mutant Ninja Turtles (TMNT) ) - April O'Neil O Neil - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults,,4.8,113,0,1,113,N/A,100.0
Toys & Games,20,2.42,B0BLQRDTLL,2024-11-07,13.0,11.49,9.49,9.49,23.246753246753247,3,fbm,94720,20,94,0.1,0.17900000000000002,17,0,0.0,Funko Pop! Movies: Teenage Mutant Ninja Turtles - (Teenage Mutant Ninja Turtles (TMNT) ) - April O'Neil O Neil - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults,,4.8,113,0,1,113,N/A,100.0
Toys & Games,20,2.42,B0BLQRDTLL,2024-11-08,13.0,11.49,9.49,9.49,23.246753246753247,3,fbm,112170,20,94,0.1,0.17900000000000002,17,0,0.0,Funko Pop! Movies: Teenage Mutant Ninja Turtles - (Teenage Mutant Ninja Turtles (TMNT) ) - April O'Neil O Neil - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults,,4.8,113,0,1,113,N/A,100.0
Toys & Games,20,2.42,B0BLQRDTLL,2024-11-09,13.0,11.49,9.49,9.49,23.246753246753247,3,fbm,129856,20,94,0.1,0.17900000000000002,17,0,0.0,Funko Pop! Movies: Teenage Mutant Ninja Turtles - (Teenage Mutant Ninja Turtles (TMNT) ) - April O'Neil O Neil - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults,,4.8,113,0,1,113,N/A,100.0
Toys & Games,20,2.42,B0BLQRDTLL,2024-11-10,13.0,11.49,9.49,9.49,23.246753246753247,3,fbm,129856,20,94,0.1,0.17900000000000002,17,1,11.49,Funko Pop! Movies: Teenage Mutant Ninja Turtles - (Teenage Mutant Ninja Turtles (TMNT) ) - April O'Neil O Neil - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults,,4.8,113,0,1,113,N/A,100.0
Toys & Games,20,2.42,B0BLQRDTLL,2024-11-11,13.0,11.49,9.49,9.49,23.246753246753247,3,fbm,109156,21,94,0.1,0.17900000000000002,16,0,0.0,Funko Pop! Movies: Teenage Mutant Ninja Turtles - (Teenage Mutant Ninja Turtles (TMNT) ) - April O'Neil O Neil - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults,,4.8,113,0,1,113,N/A,100.0
Toys & Games,20,2.42,B0BLQRDTLL,2024-11-12,13.0,11.49,9.49,9.49,23.246753246753247,3,fbm,83628,19,94,0.1,0.17900000000000002,16,0,0.0,Funko Pop! Movies: Teenage Mutant Ninja Turtles - (Teenage Mutant Ninja Turtles (TMNT) ) - April O'Neil O Neil - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults,,4.8,113,0,1,113,N/A,100.0
Toys & Games,20,2.42,B0BLQRDTLL,2024-11-13,13.0,11.49,9.49,9.49,23.246753246753247,3,fbm,91733,19,94,0.1,0.17900000000000002,16,1,11.77,Funko Pop! Movies: Teenage Mutant Ninja Turtles - (Teenage Mutant Ninja Turtles (TMNT) ) - April O'Neil O Neil - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults,,4.8,113,0,1,113,N/A,100.0
Toys & Games,20,2.42,B0BLQRDTLL,2024-11-14,13.0,11.49,9.49,9.49,23.246753246753247,3,fbm,87799,19,94,0.1,0.17900000000000002,15,0,0.0,Funko Pop! Movies: Teenage Mutant Ninja Turtles - (Teenage Mutant Ninja Turtles (TMNT) ) - April O'Neil O Neil - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults,,4.8,113,0,1,113,N/A,100.0
