Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Toys & Games,20,13.4,B0BZQCZYN7,2025-02-23,29.92,28.96,26.87,26.87,293.411420204978,5,fbm,3719,8,123,3.8333333333333335,76.82,1,1,28.96,Yu-Gi-Oh! Speed Duel: Streets of Battle City,100+ bought in past month,4.6,134,2,5,134,N/A,100.0
Toys & Games,20,13.4,B0BZQCZYN7,2025-02-24,29.99,28.96,26.87,26.87,293.411420204978,5,fbm,2231,8,123,3.8333333333333335,76.82,1,0,0.0,Yu-Gi-Oh! Speed Duel: Streets of Battle City,100+ bought in past month,4.6,134,2,5,134,N/A,100.0
Toys & Games,20,13.4,B0BZQCZYN7,2025-02-25,29.92,28.94,26.87,26.87,293.411420204978,5,fbm,1779,8,123,3.8333333333333335,76.82,1,0,0.0,Yu-Gi-Oh! Speed Duel: Streets of Battle City,100+ bought in past month,4.6,134,2,5,134,N/A,100.0
Toys & Games,20,13.4,B0BZQCZYN7,2025-02-26,29.92,28.94,26.87,26.87,293.411420204978,5,fbm,1443,8,124,3.8333333333333335,76.82,2,0,0.0,Yu-Gi-Oh! Speed Duel: Streets of Battle City,100+ bought in past month,4.6,134,2,5,134,N/A,100.0
Toys & Games,20,13.4,B0BZQCZYN7,2025-02-27,29.99,28.94,26.87,26.87,293.411420204978,5,fbm,2252,7,124,3.8333333333333335,76.82,2,0,0.0,Yu-Gi-Oh! Speed Duel: Streets of Battle City,100+ bought in past month,4.6,134,2,5,134,N/A,100.0
Toys & Games,20,13.4,B0BZQCZYN7,2025-02-28,29.99,28.89,26.83,26.83,292.82576866764276,5,fbm,4598,10,126,3.8333333333333335,76.66666666666667,3,0,0.0,Yu-Gi-Oh! Speed Duel: Streets of Battle City,100+ bought in past month,4.6,134,2,5,134,N/A,100.0
Toys & Games,20,13.4,B0BZQCZYN7,2025-03-01,29.99,28.88,26.83,26.83,292.82576866764276,5,fbm,2051,9,127,3.8333333333333335,76.66666666666667,3,0,0.0,Yu-Gi-Oh! Speed Duel: Streets of Battle City,100+ bought in past month,4.6,134,2,5,134,N/A,100.0
Toys & Games,20,13.4,B0BZQCZYN7,2025-03-02,29.99,28.88,26.83,26.83,292.82576866764276,5,fbm,1564,8,127,3.8333333333333335,76.66666666666667,3,1,28.87,Yu-Gi-Oh! Speed Duel: Streets of Battle City,100+ bought in past month,4.6,134,2,5,134,N/A,100.0
Toys & Games,20,13.4,B0BZQCZYN7,2025-03-03,29.71,28.87,26.83,26.83,292.82576866764276,5,fbm,1721,9,127,3.8333333333333335,76.66666666666667,3,0,0.0,Yu-Gi-Oh! Speed Duel: Streets of Battle City,100+ bought in past month,4.6,134,2,5,134,N/A,100.0
Toys & Games,20,13.4,B0BZQCZYN7,2025-03-04,29.99,28.87,26.82,26.82,292.67935578330895,5,fbm,3265,7,127,3.8333333333333335,76.62833333333334,3,2,28.87,Yu-Gi-Oh! Speed Duel: Streets of Battle City,100+ bought in past month,4.6,134,2,5,134,N/A,100.0
Toys & Games,20,13.4,B0BZQCZYN7,2025-03-05,29.71,28.87,25.99,25.99,280.5270863836017,5,fbm,1398,7,127,3.8333333333333335,73.44666666666666,1,1,28.89,Yu-Gi-Oh! Speed Duel: Streets of Battle City,100+ bought in past month,4.6,134,2,5,134,N/A,100.0
Toys & Games,20,13.4,B0BZQCZYN7,2025-03-22,29.99,27.98,,27.98,309.6632503660322,5,fba,2724,9,131,3.8333333333333335,81.075,2,0,0.0,Yu-Gi-Oh! Speed Duel: Streets of Battle City,100+ bought in past month,4.6,134,2,5,134,N/A,100.0
Toys & Games,20,13.4,B0BZQCZYN7,2025-03-23,29.99,27.98,,27.98,309.6632503660322,5,fba,3736,9,131,3.8333333333333335,81.075,4,0,0.0,Yu-Gi-Oh! Speed Duel: Streets of Battle City,100+ bought in past month,4.6,134,2,5,134,N/A,100.0
Toys & Games,20,13.4,B0BZQCZYN7,2025-03-24,29.99,27.95,25.95,25.95,279.9414348462664,5,fbm,1735,10,131,3.8333333333333335,73.29333333333332,6,0,0.0,Yu-Gi-Oh! Speed Duel: Streets of Battle City,100+ bought in past month,4.6,134,2,5,134,N/A,100.0
Toys & Games,20,13.4,B0BZQCZYN7,2025-03-25,29.99,14.99,25.85,14.99,119.47291361639824,5,fba,1348,9,131,3.8333333333333335,31.28,6,3,25.95,Yu-Gi-Oh! Speed Duel: Streets of Battle City,100+ bought in past month,4.6,134,2,5,134,N/A,100.0
Toys & Games,20,13.4,B0BZQCZYN7,2025-03-25,29.99,27.95,25.85,25.85,278.4773060029283,5,fbm,1348,9,131,3.8333333333333335,72.91000000000001,6,3,25.95,Yu-Gi-Oh! Speed Duel: Streets of Battle City,100+ bought in past month,4.6,134,2,5,134,N/A,100.0
Toys & Games,20,13.4,B0BZQCZYN7,2025-03-25,29.99,25.71,,25.71,276.4275256222548,5,fba,1348,9,131,3.8333333333333335,72.37333333333335,6,3,25.95,Yu-Gi-Oh! Speed Duel: Streets of Battle City,100+ bought in past month,4.6,134,2,5,134,N/A,100.0
Toys & Games,20,13.4,B0BZQCZYN7,2025-03-25,29.99,27.95,,27.95,309.22401171303073,5,fba,1348,9,131,3.8333333333333335,80.96,6,3,25.95,Yu-Gi-Oh! Speed Duel: Streets of Battle City,100+ bought in past month,4.6,134,2,5,134,N/A,100.0
Toys & Games,20,13.4,B0BZQCZYN7,2025-03-25,29.99,25.71,,25.71,276.4275256222548,5,fba,1348,9,131,3.8333333333333335,72.37333333333335,6,3,25.95,Yu-Gi-Oh! Speed Duel: Streets of Battle City,100+ bought in past month,4.6,134,2,5,134,N/A,100.0
Toys & Games,20,13.4,B0BZQCZYN7,2025-03-25,28.86,25.79,25.84,25.79,277.59882869692535,5,fba,1348,9,131,3.8333333333333335,72.68,6,3,25.95,Yu-Gi-Oh! Speed Duel: Streets of Battle City,100+ bought in past month,4.6,134,2,5,134,N/A,100.0
Toys & Games,20,13.4,B0BZQCZYN7,2025-03-25,28.88,27.95,,27.95,309.22401171303073,5,fba,1348,9,131,3.8333333333333335,80.96,6,3,25.95,Yu-Gi-Oh! Speed Duel: Streets of Battle City,100+ bought in past month,4.6,134,2,5,134,N/A,100.0
Toys & Games,20,13.4,B0BZQCZYN7,2025-03-25,29.99,14.99,,14.99,119.47291361639824,5,fba,1348,9,131,3.8333333333333335,31.28,6,3,25.95,Yu-Gi-Oh! Speed Duel: Streets of Battle City,100+ bought in past month,4.6,134,2,5,134,N/A,100.0
Toys & Games,20,13.4,B0BZQCZYN7,2025-03-25,28.87,27.95,,27.95,309.22401171303073,5,fba,1348,9,131,3.8333333333333335,80.96,6,3,25.95,Yu-Gi-Oh! Speed Duel: Streets of Battle City,100+ bought in past month,4.6,134,2,5,134,N/A,100.0
Toys & Games,20,13.4,B0BZQCZYN7,2025-03-25,29.99,25.71,,25.71,276.4275256222548,5,fba,1348,9,131,3.8333333333333335,72.37333333333335,6,3,25.95,Yu-Gi-Oh! Speed Duel: Streets of Battle City,100+ bought in past month,4.6,134,2,5,134,N/A,100.0
Toys & Games,20,13.4,B0BZQCZYN7,2025-03-25,29.99,14.99,25.84,14.99,119.47291361639824,5,fba,1348,9,131,3.8333333333333335,31.28,6,3,25.95,Yu-Gi-Oh! Speed Duel: Streets of Battle City,100+ bought in past month,4.6,134,2,5,134,N/A,100.0
