Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Toys & Games,20,5.01,B0CJMRL1WT,2024-10-26,,13.88,14.25,13.88,21.64767747589834,3,fba,17158,14,1684,0.7,1.7290000000000003,48,0,0.0,Dragon Shield Dual Matte Sleeves - Truth (100),,4.8,173,0,1,2382,N/A,7.2628043660789245
Toys & Games,20,5.01,B0CJMRL1WT,2024-10-27,,13.88,14.25,13.88,21.64767747589834,3,fba,13522,,,0.7,1.7290000000000003,48,0,0.0,Dragon Shield Dual Matte Sleeves - Truth (100),,4.8,173,0,1,2382,N/A,7.2628043660789245
Toys & Games,20,5.01,B0CJMRL1WT,2024-10-28,,13.88,14.25,13.88,21.64767747589834,3,fba,14931,14,1684,0.7,1.7290000000000003,48,0,0.0,Dragon Shield Dual Matte Sleeves - Truth (100),,4.8,173,0,1,2382,N/A,7.2628043660789245
Toys & Games,20,5.01,B0CJMRL1WT,2024-10-29,,13.88,14.25,13.88,21.64767747589834,3,fba,14648,8,1690,0.7,1.7290000000000003,48,3,13.88,Dragon Shield Dual Matte Sleeves - Truth (100),,4.8,173,0,1,2382,N/A,7.2628043660789245
Toys & Games,20,5.01,B0CJMRL1WT,2024-10-30,,13.88,14.25,13.88,21.64767747589834,3,fba,11587,7,1690,0.7,1.7290000000000003,45,0,0.0,Dragon Shield Dual Matte Sleeves - Truth (100),,4.8,173,0,1,2382,N/A,7.2628043660789245
Toys & Games,20,5.01,B0CJMRL1WT,2024-10-31,,13.88,14.25,13.88,21.64767747589834,3,fba,10111,8,1691,0.7,1.7290000000000003,45,0,0.0,Dragon Shield Dual Matte Sleeves - Truth (100),,4.8,173,0,1,2382,N/A,7.2628043660789245
Toys & Games,20,5.01,B0CJMRL1WT,2024-11-01,,13.88,14.25,13.88,21.64767747589834,3,fba,14083,14,1691,0.7,1.7290000000000003,45,0,0.0,Dragon Shield Dual Matte Sleeves - Truth (100),,4.8,173,0,1,2382,N/A,7.2628043660789245
Toys & Games,20,5.01,B0CJMRL1WT,2024-11-02,,13.88,14.25,13.88,21.64767747589834,3,fba,14903,14,1691,0.7,1.7290000000000003,45,1,13.88,Dragon Shield Dual Matte Sleeves - Truth (100),,4.8,173,0,1,2382,N/A,7.2628043660789245
Toys & Games,20,5.01,B0CJMRL1WT,2024-11-03,,13.88,14.25,13.88,21.64767747589834,3,fba,8690,14,1692,0.7,1.7290000000000003,44,0,0.0,Dragon Shield Dual Matte Sleeves - Truth (100),,4.8,173,0,1,2382,N/A,7.2628043660789245
Toys & Games,20,5.01,B0CJMRL1WT,2024-11-04,,13.88,14.25,13.88,21.64767747589834,3,fba,10348,9,1693,0.7,1.7290000000000003,44,0,0.0,Dragon Shield Dual Matte Sleeves - Truth (100),,4.8,173,0,1,2382,N/A,7.2628043660789245
Toys & Games,20,5.01,B0CJMRL1WT,2024-11-05,,13.88,14.25,13.88,21.64767747589834,3,fba,10765,9,1694,0.7,1.7290000000000003,44,0,0.0,Dragon Shield Dual Matte Sleeves - Truth (100),,4.8,173,0,1,2382,N/A,7.2628043660789245
Toys & Games,20,5.01,B0CJMRL1WT,2024-11-06,,13.88,14.25,13.88,21.64767747589834,3,fba,10772,8,1694,0.7,1.7290000000000003,44,0,0.0,Dragon Shield Dual Matte Sleeves - Truth (100),,4.8,173,0,1,2382,N/A,7.2628043660789245
Toys & Games,20,5.01,B0CJMRL1WT,2024-11-07,,13.88,14.25,13.88,21.64767747589834,3,fba,12954,16,1695,0.7,1.7290000000000003,44,0,0.0,Dragon Shield Dual Matte Sleeves - Truth (100),,4.8,173,0,1,2382,N/A,7.2628043660789245
Toys & Games,20,5.01,B0CJMRL1WT,2024-11-08,,13.88,14.35,13.88,21.64767747589834,3,fba,12730,14,1700,0.7,1.7290000000000003,44,0,0.0,Dragon Shield Dual Matte Sleeves - Truth (100),,4.8,173,0,1,2382,N/A,7.2628043660789245
Toys & Games,20,5.01,B0CJMRL1WT,2024-11-09,,13.88,14.35,13.88,21.64767747589834,3,fba,11424,8,1700,0.7,1.7290000000000003,44,0,0.0,Dragon Shield Dual Matte Sleeves - Truth (100),,4.8,173,0,1,2382,N/A,7.2628043660789245
Toys & Games,20,5.01,B0CJMRL1WT,2024-11-10,,13.88,14.35,13.88,21.64767747589834,3,fba,12424,8,1700,0.7,1.7290000000000003,44,0,0.0,Dragon Shield Dual Matte Sleeves - Truth (100),,4.8,173,0,1,2382,N/A,7.2628043660789245
