Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Toys & Games,20,5.49,B0CND68C7W,2024-10-26,,15.0,26.51,15.0,36.73655423883317,4,fba,43132,4,46,0.0,0.0,38,0,0.0,Dungeons & Dragons Baldur's Gate 3 Collectible Soul Coin,,4.5,58,0,7,58,2023-11-15,100.0
Toys & Games,20,5.49,B0CND68C7W,2024-10-27,,15.0,28.31,15.0,36.73655423883317,4,fba,63183,,,0.0,0.0,38,0,0.0,Dungeons & Dragons Baldur's Gate 3 Collectible Soul Coin,,4.5,58,0,7,58,2023-11-15,100.0
Toys & Games,20,5.49,B0CND68C7W,2024-10-28,,15.0,28.31,15.0,36.73655423883317,4,fba,29683,2,46,0.0,0.0,66,1,14.96,Dungeons & Dragons Baldur's Gate 3 Collectible Soul Coin,,4.5,58,0,7,58,2023-11-15,100.0
Toys & Games,20,5.49,B0CND68C7W,2024-10-29,,15.0,17.92,15.0,36.73655423883317,4,fba,53365,4,46,0.0,0.0,65,0,0.0,Dungeons & Dragons Baldur's Gate 3 Collectible Soul Coin,,4.5,58,0,7,58,2023-11-15,100.0
Toys & Games,20,5.49,B0CND68C7W,2024-10-30,,15.0,17.92,15.0,36.73655423883317,4,fba,39167,6,46,0.0,0.0,65,0,0.0,Dungeons & Dragons Baldur's Gate 3 Collectible Soul Coin,,4.5,58,0,7,58,2023-11-15,100.0
Toys & Games,20,5.49,B0CND68C7W,2024-10-31,,13.09,17.92,13.09,19.325432999088417,2,fba,33115,3,46,0.0,0.0,65,0,0.0,Dungeons & Dragons Baldur's Gate 3 Collectible Soul Coin,,4.5,58,0,7,58,2023-11-15,100.0
Toys & Games,20,5.49,B0CND68C7W,2024-11-01,,13.09,17.92,13.09,19.325432999088417,2,fba,14132,6,46,0.0,0.0,65,7,13.09,Dungeons & Dragons Baldur's Gate 3 Collectible Soul Coin,,4.5,58,0,7,58,2023-11-15,100.0
Toys & Games,20,5.49,B0CND68C7W,2024-11-02,,13.09,17.85,13.09,19.325432999088417,2,fba,18715,3,46,0.0,0.0,58,2,13.09,Dungeons & Dragons Baldur's Gate 3 Collectible Soul Coin,,4.5,58,0,7,58,2023-11-15,100.0
Toys & Games,20,5.49,B0CND68C7W,2024-11-03,,13.09,17.85,13.09,19.325432999088417,2,fba,23386,3,46,0.0,0.0,56,4,13.09,Dungeons & Dragons Baldur's Gate 3 Collectible Soul Coin,,4.5,58,0,7,58,2023-11-15,100.0
Toys & Games,20,5.49,B0CND68C7W,2024-11-04,,13.09,17.85,13.09,19.325432999088417,2,fba,22596,6,46,0.0,0.0,52,1,13.09,Dungeons & Dragons Baldur's Gate 3 Collectible Soul Coin,,4.5,58,0,7,58,2023-11-15,100.0
