Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Toys & Games,20,5.04,B0CRRPLF9J,2024-11-11,,14.95,19.45,14.95,25.52476910159529,3,fba,8641,7,1701,2.0,6.079999999999998,49,0,0.0,Arcane Tinmen ApS ART15063 Dragon Shield: Matte - Dual Power (Metallic Green),50+ bought in past month,4.7,N/A,N/A,0,240,N/A,N/A
Toys & Games,20,5.04,B0CRRPLF9J,2024-11-12,,14.95,19.45,14.95,25.52476910159529,3,fba,10462,7,1584,2.0,6.079999999999998,49,0,0.0,Arcane Tinmen ApS ART15063 Dragon Shield: Matte - Dual Power (Metallic Green),50+ bought in past month,4.7,N/A,N/A,0,240,N/A,N/A
Toys & Games,20,5.04,B0CRRPLF9J,2024-11-13,,14.95,16.46,14.95,25.52476910159529,3,fba,13667,7,1585,2.0,6.079999999999998,49,0,0.0,Arcane Tinmen ApS ART15063 Dragon Shield: Matte - Dual Power (Metallic Green),50+ bought in past month,4.7,N/A,N/A,0,240,N/A,N/A
Toys & Games,20,5.04,B0CRRPLF9J,2024-11-14,,14.95,16.12,14.95,25.52476910159529,3,fba,19452,7,1589,2.0,6.079999999999998,49,0,0.0,Arcane Tinmen ApS ART15063 Dragon Shield: Matte - Dual Power (Metallic Green),50+ bought in past month,4.7,N/A,N/A,0,240,N/A,N/A
Toys & Games,20,5.04,B0CRRPLF9J,2024-11-15,,14.95,17.46,14.95,25.52476910159529,3,fba,10754,13,1589,2.0,6.079999999999998,49,0,0.0,Arcane Tinmen ApS ART15063 Dragon Shield: Matte - Dual Power (Metallic Green),50+ bought in past month,4.7,N/A,N/A,0,240,N/A,N/A
Toys & Games,20,5.04,B0CRRPLF9J,2024-11-16,,14.95,17.46,14.95,25.52476910159529,3,fba,11998,7,1592,2.0,6.079999999999998,49,0,0.0,Arcane Tinmen ApS ART15063 Dragon Shield: Matte - Dual Power (Metallic Green),50+ bought in past month,4.7,N/A,N/A,0,240,N/A,N/A
Toys & Games,20,5.04,B0CRRPLF9J,2024-11-17,,14.95,17.46,14.95,25.52476910159529,3,fba,12476,7,1592,2.0,6.079999999999998,49,0,0.0,Arcane Tinmen ApS ART15063 Dragon Shield: Matte - Dual Power (Metallic Green),50+ bought in past month,4.7,N/A,N/A,0,240,N/A,N/A
Toys & Games,20,5.04,B0CRRPLF9J,2024-11-18,,14.95,17.1,14.95,25.52476910159529,3,fba,15113,7,1592,2.0,6.079999999999998,49,0,0.0,Arcane Tinmen ApS ART15063 Dragon Shield: Matte - Dual Power (Metallic Green),50+ bought in past month,4.7,N/A,N/A,0,240,N/A,N/A
Toys & Games,20,5.04,B0CRRPLF9J,2024-11-19,,14.95,17.1,14.95,25.52476910159529,3,fba,13741,7,1596,2.0,6.079999999999998,49,0,0.0,Arcane Tinmen ApS ART15063 Dragon Shield: Matte - Dual Power (Metallic Green),50+ bought in past month,4.7,N/A,N/A,0,240,N/A,N/A
Toys & Games,20,5.04,B0CRRPLF9J,2024-11-20,,14.95,17.1,14.95,25.52476910159529,3,fba,11442,7,1596,2.0,6.079999999999998,49,0,0.0,Arcane Tinmen ApS ART15063 Dragon Shield: Matte - Dual Power (Metallic Green),50+ bought in past month,4.7,N/A,N/A,0,240,N/A,N/A
Toys & Games,20,5.04,B0CRRPLF9J,2024-11-21,,14.95,17.1,14.95,25.52476910159529,3,fba,14553,7,1599,2.0,6.079999999999998,49,0,0.0,Arcane Tinmen ApS ART15063 Dragon Shield: Matte - Dual Power (Metallic Green),50+ bought in past month,4.7,N/A,N/A,0,240,N/A,N/A
Toys & Games,20,5.04,B0CRRPLF9J,2024-11-22,,14.95,17.1,14.95,25.52476910159529,3,fba,15994,7,1601,2.0,6.079999999999998,49,0,0.0,Arcane Tinmen ApS ART15063 Dragon Shield: Matte - Dual Power (Metallic Green),50+ bought in past month,4.7,N/A,N/A,0,240,N/A,N/A
Toys & Games,20,5.04,B0CRRPLF9J,2024-11-23,,14.95,17.1,14.95,25.52476910159529,3,fba,15378,7,1601,2.0,6.079999999999998,49,0,0.0,Arcane Tinmen ApS ART15063 Dragon Shield: Matte - Dual Power (Metallic Green),50+ bought in past month,4.7,N/A,N/A,0,240,N/A,N/A
Toys & Games,20,5.04,B0CRRPLF9J,2024-11-24,,14.95,17.1,14.95,25.52476910159529,3,fba,18966,8,1604,2.0,6.079999999999998,49,0,0.0,Arcane Tinmen ApS ART15063 Dragon Shield: Matte - Dual Power (Metallic Green),50+ bought in past month,4.7,N/A,N/A,0,240,N/A,N/A
Toys & Games,20,5.04,B0CRRPLF9J,2024-11-25,,14.95,15.99,14.95,25.52476910159529,3,fba,21039,8,842,2.0,6.079999999999998,49,0,0.0,Arcane Tinmen ApS ART15063 Dragon Shield: Matte - Dual Power (Metallic Green),50+ bought in past month,4.7,N/A,N/A,0,240,N/A,N/A
Toys & Games,20,5.04,B0CRRPLF9J,2024-11-26,,14.95,15.99,14.95,25.52476910159529,3,fba,38270,7,842,2.0,6.079999999999998,49,0,0.0,Arcane Tinmen ApS ART15063 Dragon Shield: Matte - Dual Power (Metallic Green),50+ bought in past month,4.7,N/A,N/A,0,240,N/A,N/A
Toys & Games,20,5.04,B0CRRPLF9J,2024-11-27,,14.95,15.99,14.95,25.52476910159529,3,fba,38270,7,845,2.0,6.079999999999998,49,0,0.0,Arcane Tinmen ApS ART15063 Dragon Shield: Matte - Dual Power (Metallic Green),50+ bought in past month,4.7,N/A,N/A,0,240,N/A,N/A
