Category,VAT %,CPU,ASIN,Date,Amazon Price,FBA Price,FBM Price,Chosen Price,ROI %,ROI Score,Source,BSR,Offer Count,Review Count,Simulated Sales,Daily Profit,Stock,Actual Sales Volume,Avg Real Price,Scraper2_Title,Scraper2_MonthlySold,Scraper2_Rating,Scraper2_VariantReviews,Scraper2_3MonthUKReviews,Scraper2_HistoricalUKReviews,Scraper2_ParentTotalReviews,Scraper2_LaunchDate,Review Share %
Stationery & Office Supplies,20,28.75,B0D2Y4NPKZ,2024-10-26,49.99,47.99,,47.99,14.891070146037821,2,fba,115185,3,136.0,0.5333333333333333,3.3173333333333326,8,0,0.0,"OM SYSTEM VN-541 PC (Successor Olympus VN-541 PC) Digital Voice Recorder with Omnidirectional Microphone, One-Touch Recording, Noise Cancellation & 4 GB Memory",,4.1,160,1,10,160,N/A,100.0
Stationery & Office Supplies,20,28.75,B0D2Y4NPKZ,2024-10-27,49.99,47.99,,47.99,14.891070146037821,2,fba,121053,3,136.0,0.5333333333333333,3.3173333333333326,8,0,0.0,"OM SYSTEM VN-541 PC (Successor Olympus VN-541 PC) Digital Voice Recorder with Omnidirectional Microphone, One-Touch Recording, Noise Cancellation & 4 GB Memory",,4.1,160,1,10,160,N/A,100.0
Stationery & Office Supplies,20,28.75,B0D2Y4NPKZ,2024-10-28,49.99,47.99,,47.99,14.891070146037821,2,fba,99158,3,137.0,0.5333333333333333,3.3173333333333326,8,0,0.0,"OM SYSTEM VN-541 PC (Successor Olympus VN-541 PC) Digital Voice Recorder with Omnidirectional Microphone, One-Touch Recording, Noise Cancellation & 4 GB Memory",,4.1,160,1,10,160,N/A,100.0
Stationery & Office Supplies,20,28.75,B0D2Y4NPKZ,2024-10-29,49.99,47.99,,47.99,14.891070146037821,2,fba,52309,4,137.0,0.5333333333333333,3.3173333333333326,8,0,0.0,"OM SYSTEM VN-541 PC (Successor Olympus VN-541 PC) Digital Voice Recorder with Omnidirectional Microphone, One-Touch Recording, Noise Cancellation & 4 GB Memory",,4.1,160,1,10,160,N/A,100.0
Stationery & Office Supplies,20,28.75,B0D2Y4NPKZ,2024-10-30,49.99,47.99,,47.99,14.891070146037821,2,fba,43249,3,137.0,0.5333333333333333,3.3173333333333326,8,0,0.0,"OM SYSTEM VN-541 PC (Successor Olympus VN-541 PC) Digital Voice Recorder with Omnidirectional Microphone, One-Touch Recording, Noise Cancellation & 4 GB Memory",,4.1,160,1,10,160,N/A,100.0
Stationery & Office Supplies,20,28.75,B0D2Y4NPKZ,2024-10-31,49.99,47.99,,47.99,14.891070146037821,2,fba,70226,4,137.0,0.5333333333333333,3.3173333333333326,8,0,0.0,"OM SYSTEM VN-541 PC (Successor Olympus VN-541 PC) Digital Voice Recorder with Omnidirectional Microphone, One-Touch Recording, Noise Cancellation & 4 GB Memory",,4.1,160,1,10,160,N/A,100.0
Stationery & Office Supplies,20,28.75,B0D2Y4NPKZ,2024-11-01,49.99,47.99,,47.99,14.891070146037821,2,fba,94146,3,137.0,0.5333333333333333,3.3173333333333326,8,0,0.0,"OM SYSTEM VN-541 PC (Successor Olympus VN-541 PC) Digital Voice Recorder with Omnidirectional Microphone, One-Touch Recording, Noise Cancellation & 4 GB Memory",,4.1,160,1,10,160,N/A,100.0
Stationery & Office Supplies,20,28.75,B0D2Y4NPKZ,2024-11-02,49.99,47.99,,47.99,14.891070146037821,2,fba,102502,3,138.0,0.5333333333333333,3.3173333333333326,32,0,0.0,"OM SYSTEM VN-541 PC (Successor Olympus VN-541 PC) Digital Voice Recorder with Omnidirectional Microphone, One-Touch Recording, Noise Cancellation & 4 GB Memory",,4.1,160,1,10,160,N/A,100.0
Stationery & Office Supplies,20,28.75,B0D2Y4NPKZ,2024-11-03,49.99,47.49,,47.49,13.694038783816131,2,fba,114047,3,138.0,0.5333333333333333,3.050666666666666,32,0,0.0,"OM SYSTEM VN-541 PC (Successor Olympus VN-541 PC) Digital Voice Recorder with Omnidirectional Microphone, One-Touch Recording, Noise Cancellation & 4 GB Memory",,4.1,160,1,10,160,N/A,100.0
Stationery & Office Supplies,20,28.75,B0D2Y4NPKZ,2024-11-04,49.99,47.49,,47.49,13.694038783816131,2,fba,46009,4,140.0,0.5333333333333333,3.050666666666666,32,0,0.0,"OM SYSTEM VN-541 PC (Successor Olympus VN-541 PC) Digital Voice Recorder with Omnidirectional Microphone, One-Touch Recording, Noise Cancellation & 4 GB Memory",,4.1,160,1,10,160,N/A,100.0
Stationery & Office Supplies,20,28.75,B0D2Y4NPKZ,2024-11-05,49.99,47.49,,47.49,13.694038783816131,2,fba,83609,3,140.0,0.5333333333333333,3.050666666666666,32,0,0.0,"OM SYSTEM VN-541 PC (Successor Olympus VN-541 PC) Digital Voice Recorder with Omnidirectional Microphone, One-Touch Recording, Noise Cancellation & 4 GB Memory",,4.1,160,1,10,160,N/A,100.0
Stationery & Office Supplies,20,28.75,B0D2Y4NPKZ,2024-11-06,49.99,47.49,,47.49,13.694038783816131,2,fba,57460,4,140.0,0.5333333333333333,3.050666666666666,32,0,0.0,"OM SYSTEM VN-541 PC (Successor Olympus VN-541 PC) Digital Voice Recorder with Omnidirectional Microphone, One-Touch Recording, Noise Cancellation & 4 GB Memory",,4.1,160,1,10,160,N/A,100.0
Stationery & Office Supplies,20,28.75,B0D2Y4NPKZ,2024-11-07,49.99,47.49,,47.49,13.694038783816131,2,fba,80210,3,140.0,0.5333333333333333,3.050666666666666,32,0,0.0,"OM SYSTEM VN-541 PC (Successor Olympus VN-541 PC) Digital Voice Recorder with Omnidirectional Microphone, One-Touch Recording, Noise Cancellation & 4 GB Memory",,4.1,160,1,10,160,N/A,100.0
Stationery & Office Supplies,20,28.75,B0D2Y4NPKZ,2024-11-08,49.99,47.49,,47.49,13.694038783816131,2,fba,100709,3,140.0,0.5333333333333333,3.050666666666666,32,0,0.0,"OM SYSTEM VN-541 PC (Successor Olympus VN-541 PC) Digital Voice Recorder with Omnidirectional Microphone, One-Touch Recording, Noise Cancellation & 4 GB Memory",,4.1,160,1,10,160,N/A,100.0
